,instance,status,obj,model time (s),total time (s)
0,FTQL_modified_deadline,2,34533.0,0.06999993324279785,0.0988316535949707
0,Fattahi_setup_01_modified_deadline,2,80.0,0.003000020980834961,0.013035058975219727
0,Fattahi_setup_02_modified_deadline,2,132.0,0.003999948501586914,0.010112762451171875
0,Fattahi_setup_03_modified_deadline,2,445.0,0.013000011444091797,0.021224260330200195
0,Fattahi_setup_04_modified_deadline,2,653.0,0.010999917984008789,0.022204160690307617
0,Fattahi_setup_05_modified_deadline,2,221.0,0.04400014877319336,0.05490398406982422
0,Fattahi_setup_06_modified_deadline,2,626.0,0.021000146865844727,0.033280372619628906
0,Fattahi_setup_07_modified_deadline,2,696.0,0.006000041961669922,0.01728653907775879
0,Fattahi_setup_08_modified_deadline,2,519.0,0.023000001907348633,0.035739898681640625
0,Fattahi_setup_09_modified_deadline,2,443.0,0.0840001106262207,0.09964370727539062
0,Fattahi_setup_10_modified_deadline,2,1599.0,0.042999982833862305,0.0569300651550293
0,Fattahi_setup_11_modified_deadline,2,1703.0,0.3959999084472656,0.4191873073577881
0,Fattahi_setup_12_modified_deadline,2,1620.0,0.6610000133514404,0.6869597434997559
0,Fattahi_setup_13_modified_deadline,2,2078.0,7.716999769210815,7.7550437450408936
0,Fattahi_setup_14_modified_deadline,2,2741.0,17.935999870300293,17.983953952789307
0,Fattahi_setup_15_modified_deadline,11,2714.0,83.32299995422363,83.36975359916687
0,Fattahi_setup_16_modified_deadline,11,3617.0,5.733000040054321,5.884922504425049
0,FTQL_modified_deadline,2,34533.0,0.0709998607635498,0.0958399772644043
0,Fattahi_setup_01_modified_deadline,2,80.0,0.0029997825622558594,0.012520551681518555
0,Fattahi_setup_02_modified_deadline,2,113.0,0.002000093460083008,0.00959157943725586
0,Fattahi_setup_03_modified_deadline,2,303.00000001709094,0.003000020980834961,0.013523101806640625
0,Fattahi_setup_04_modified_deadline,2,473.0,0.004000186920166016,0.012512445449829102
0,Fattahi_setup_05_modified_deadline,2,221.0,0.051000118255615234,0.06086301803588867
0,Fattahi_setup_06_modified_deadline,2,517.0000004957576,0.003999948501586914,0.01615428924560547
0,Fattahi_setup_07_modified_deadline,2,673.0,0.006000041961669922,0.018183231353759766
0,Fattahi_setup_08_modified_deadline,2,427.0000025342308,0.004000186920166016,0.01842641830444336
