Job;Op;Start;Finish;Start_f;Finish_f;Resource
0;0;2023-01-01 04:22:00;2023-01-01 08:29:00;262.0;509.0;Machine 01
0;1;2023-01-01 09:42:00;2023-01-01 11:52:00;582.0;712.0;Machine 02
0;2;2023-01-01 11:52:00;2023-01-01 14:22:00;712.0;862.0;Machine 04
0;3;2023-01-01 14:22:00;2023-01-01 16:47:00;862.0;1007.0;Machine 06
1;0;2023-01-01 00:00:00;2023-01-01 02:30:00;0.0;150.0;Machine 03
1;1;2023-01-01 02:30:00;2023-01-01 03:36:00;150.0;216.0;Machine 02
1;2;2023-01-01 03:36:00;2023-01-01 05:11:00;216.0;311.0;Machine 06
1;3;2023-01-01 05:14:00;2023-01-01 07:14:00;314.0;434.0;Machine 05
2;0;2023-01-01 00:10:00;2023-01-01 01:37:00;10.0;97.0;Machine 01
2;1;2023-01-01 01:37:00;2023-01-01 04:02:00;97.0;242.0;Machine 07
2;2;2023-01-01 07:34:00;2023-01-01 09:14:00;454.0;554.0;Machine 05
2;3;2023-01-01 09:14:00;2023-01-01 11:59:00;554.0;719.0;Machine 07
3;0;2023-01-01 00:00:00;2023-01-01 01:05:00;0.0;65.0;Machine 02
3;1;2023-01-01 01:05:00;2023-01-01 03:58:00;65.0;238.0;Machine 05
3;2;2023-01-01 03:58:00;2023-01-01 06:23:00;238.0;383.0;Machine 04
3;3;2023-01-01 06:23:00;2023-01-01 09:13:00;383.0;553.0;Machine 06
4;0;2023-01-01 01:53:00;2023-01-01 04:01:00;113.0;241.0;Machine 01
4;1;2023-01-01 04:09:00;2023-01-01 04:56:00;249.0;296.0;Machine 05
4;2;2023-01-01 04:56:00;2023-01-01 06:36:00;296.0;396.0;Machine 02
4;3;2023-01-01 06:40:00;2023-01-01 09:25:00;400.0;565.0;Machine 04
5;0;2023-01-01 00:10:00;2023-01-01 02:44:00;10.0;164.0;Machine 04
5;1;2023-01-01 02:44:00;2023-01-01 04:47:00;164.0;287.0;Machine 03
5;2;2023-01-01 04:47:00;2023-01-01 07:47:00;287.0;467.0;Machine 07
5;3;2023-01-01 08:00:00;2023-01-01 08:50:00;480.0;530.0;Machine 07
6;0;2023-01-01 06:51:00;2023-01-01 09:28:00;411.0;568.0;Machine 02
6;1;2023-01-01 09:40:00;2023-01-01 11:44:00;580.0;704.0;Machine 03
6;2;2023-01-01 11:44:00;2023-01-01 14:09:00;704.0;849.0;Machine 05
6;3;2023-01-01 14:23:00;2023-01-01 16:43:00;863.0;1003.0;Machine 05
7;0;2023-01-01 05:02:00;2023-01-01 09:19:00;302.0;559.0;Machine 03
7;1;2023-01-01 09:34:00;2023-01-01 13:18:00;574.0;798.0;Machine 06
7;2;2023-01-01 13:18:00;2023-01-01 16:16:00;798.0;976.0;Machine 07
7;3;2023-01-01 16:33:00;2023-01-01 19:03:00;993.0;1143.0;Machine 07
