Job;Op;Start;Finish;Start_f;Finish_f;Resource
0;0;2023-01-01 00:08:00;2023-01-01 01:48:00;8.0;108.0;Machine 03
0;1;2023-01-01 02:28:00;2023-01-01 04:38:00;148.0;278.0;Machine 02
0;2;2023-01-01 04:38:00;2023-01-01 07:58:00;278.0;478.0;Machine 07
0;3;2023-01-01 07:58:00;2023-01-01 10:23:00;478.0;623.0;Machine 08
1;0;2023-01-01 03:31:00;2023-01-01 07:05:00;211.0;425.0;Machine 01
1;1;2023-01-01 10:32:00;2023-01-01 11:38:00;632.0;698.0;Machine 02
1;2;2023-01-01 11:38:00;2023-01-01 14:08:00;698.0;848.0;Machine 07
1;3;2023-01-01 14:08:00;2023-01-01 16:08:00;848.0;968.0;Machine 05
2;0;2023-01-01 00:00:00;2023-01-01 01:27:00;0.0;87.0;Machine 01
2;1;2023-01-01 01:27:00;2023-01-01 03:52:00;87.0;232.0;Machine 07
2;2;2023-01-01 04:45:00;2023-01-01 07:18:00;285.0;438.0;Machine 06
2;3;2023-01-01 07:33:00;2023-01-01 10:23:00;453.0;623.0;Machine 06
3;0;2023-01-01 01:47:00;2023-01-01 03:14:00;107.0;194.0;Machine 01
3;1;2023-01-01 03:22:00;2023-01-01 06:15:00;202.0;375.0;Machine 05
3;2;2023-01-01 06:15:00;2023-01-01 08:40:00;375.0;520.0;Machine 04
3;3;2023-01-01 10:40:00;2023-01-01 13:30:00;640.0;810.0;Machine 06
4;0;2023-01-01 00:11:00;2023-01-01 02:14:00;11.0;134.0;Machine 02
4;1;2023-01-01 02:14:00;2023-01-01 03:01:00;134.0;181.0;Machine 05
4;2;2023-01-01 03:01:00;2023-01-01 04:26:00;181.0;266.0;Machine 06
4;3;2023-01-01 04:26:00;2023-01-01 07:11:00;266.0;431.0;Machine 08
5;0;2023-01-01 00:45:00;2023-01-01 03:19:00;45.0;199.0;Machine 04
5;1;2023-01-01 03:32:00;2023-01-01 06:02:00;212.0;362.0;Machine 04
5;2;2023-01-01 06:29:00;2023-01-01 08:29:00;389.0;509.0;Machine 05
5;3;2023-01-01 08:29:00;2023-01-01 09:19:00;509.0;559.0;Machine 07
6;0;2023-01-01 02:04:00;2023-01-01 04:29:00;124.0;269.0;Machine 03
6;1;2023-01-01 04:43:00;2023-01-01 06:47:00;283.0;407.0;Machine 03
6;2;2023-01-01 08:43:00;2023-01-01 11:08:00;523.0;668.0;Machine 05
6;3;2023-01-01 11:22:00;2023-01-01 13:42:00;682.0;822.0;Machine 05
7;0;2023-01-01 09:02:00;2023-01-01 13:07:00;542.0;787.0;Machine 04
7;1;2023-01-01 13:49:00;2023-01-01 17:33:00;829.0;1053.0;Machine 06
7;2;2023-01-01 17:33:00;2023-01-01 19:58:00;1053.0;1198.0;Machine 05
7;3;2023-01-01 19:58:00;2023-01-01 22:28:00;1198.0;1348.0;Machine 08
8;0;2023-01-01 07:40:00;2023-01-01 10:10:00;460.0;610.0;Machine 02
8;1;2023-01-01 11:22:00;2023-01-01 14:22:00;682.0;862.0;Machine 03
8;2;2023-01-01 14:22:00;2023-01-01 15:12:00;862.0;912.0;Machine 07
8;3;2023-01-01 15:12:00;2023-01-01 18:02:00;912.0;1082.0;Machine 08
9;0;2023-01-01 14:26:00;2023-01-01 18:31:00;866.0;1111.0;Machine 04
9;1;2023-01-01 18:31:00;2023-01-01 22:15:00;1111.0;1335.0;Machine 06
9;2;2023-01-01 22:15:00;2023-01-02 00:40:00;1335.0;1480.0;Machine 05
9;3;2023-01-02 00:40:00;2023-01-02 03:10:00;1480.0;1630.0;Machine 07
10;0;2023-01-01 04:54:00;2023-01-01 07:24:00;294.0;444.0;Machine 02
10;1;2023-01-01 07:24:00;2023-01-01 10:24:00;444.0;624.0;Machine 03
10;2;2023-01-01 10:24:00;2023-01-01 11:14:00;624.0;674.0;Machine 07
10;3;2023-01-01 11:14:00;2023-01-01 14:04:00;674.0;844.0;Machine 08
