name;value
Z_FO;3600.0
b[job:0, stage:0, machine:1];0.0
b[job:0, stage:0, machine:2];0.0
b[job:0, stage:0, machine:3];0.0
b[job:0, stage:1, machine:2];0.0
b[job:0, stage:1, machine:4];0.0
b[job:0, stage:1, machine:7];1.0
b[job:0, stage:2, machine:4];1.0
b[job:0, stage:2, machine:5];0.0
b[job:0, stage:2, machine:7];0.0
b[job:1, stage:0, machine:1];1.0
b[job:1, stage:0, machine:3];0.0
b[job:1, stage:1, machine:2];1.0
b[job:1, stage:1, machine:3];0.0
b[job:1, stage:2, machine:5];0.0
b[job:1, stage:2, machine:6];1.0
b[job:1, stage:2, machine:7];0.0
b[job:2, stage:0, machine:1];0.0
b[job:2, stage:0, machine:2];0.0
b[job:2, stage:1, machine:3];0.0
b[job:2, stage:1, machine:4];0.0
b[job:2, stage:1, machine:7];1.0
b[job:2, stage:2, machine:4];0.0
b[job:2, stage:2, machine:5];1.0
b[job:2, stage:2, machine:6];0.0
b[job:3, stage:0, machine:1];1.0
b[job:3, stage:0, machine:2];0.0
b[job:3, stage:1, machine:3];0.0
b[job:3, stage:1, machine:5];1.0
b[job:3, stage:2, machine:4];1.0
b[job:3, stage:2, machine:6];0.0
b[job:4, stage:0, machine:1];1.0
b[job:4, stage:0, machine:2];0.0
b[job:4, stage:0, machine:3];0.0
b[job:4, stage:1, machine:4];0.0
b[job:4, stage:1, machine:5];1.0
b[job:4, stage:1, machine:7];0.0
b[job:4, stage:2, machine:2];0.0
b[job:4, stage:2, machine:5];0.0
b[job:4, stage:2, machine:6];1.0
b[job:5, stage:0, machine:2];1.0
b[job:5, stage:0, machine:3];0.0
b[job:5, stage:0, machine:4];0.0
b[job:5, stage:1, machine:3];1.0
b[job:5, stage:1, machine:4];0.0
b[job:5, stage:1, machine:5];0.0
b[job:5, stage:2, machine:5];1.0
b[job:5, stage:2, machine:6];0.0
b[job:5, stage:2, machine:7];0.0
b[job:6, stage:0, machine:2];1.0
b[job:6, stage:0, machine:3];0.0
b[job:6, stage:1, machine:3];1.0
b[job:6, stage:1, machine:5];0.0
b[job:6, stage:2, machine:5];0.0
b[job:6, stage:2, machine:6];0.0
b[job:6, stage:2, machine:7];1.0
b[job:7, stage:0, machine:3];0.0
b[job:7, stage:0, machine:4];1.0
b[job:7, stage:1, machine:5];0.0
b[job:7, stage:1, machine:6];1.0
b[job:7, stage:2, machine:5];0.0
b[job:7, stage:2, machine:6];0.0
b[job:7, stage:2, machine:7];1.0
startT[job:0, stage:0, machine:1];0.0
startT[job:0, stage:0, machine:2];0.0
startT[job:0, stage:0, machine:3];0.0
startT[job:0, stage:1, machine:2];0.0
startT[job:0, stage:1, machine:4];0.0
startT[job:0, stage:1, machine:7];218.0
startT[job:0, stage:2, machine:4];341.0
startT[job:0, stage:2, machine:5];0.0
startT[job:0, stage:2, machine:7];0.0
startT[job:1, stage:0, machine:1];245.0
startT[job:1, stage:0, machine:3];0.0
startT[job:1, stage:1, machine:2];459.0
startT[job:1, stage:1, machine:3];0.0
startT[job:1, stage:2, machine:5];0.0
startT[job:1, stage:2, machine:6];525.0
startT[job:1, stage:2, machine:7];0.0
startT[job:2, stage:0, machine:1];0.0
startT[job:2, stage:0, machine:2];0.0
startT[job:2, stage:1, machine:3];0.0
startT[job:2, stage:1, machine:4];0.0
startT[job:2, stage:1, machine:7];62.0
startT[job:2, stage:2, machine:4];0.0
startT[job:2, stage:2, machine:5];207.0
startT[job:2, stage:2, machine:6];0.0
startT[job:3, stage:0, machine:1];143.0
startT[job:3, stage:0, machine:2];0.0
startT[job:3, stage:1, machine:3];0.0
startT[job:3, stage:1, machine:5];324.0
startT[job:3, stage:2, machine:4];512.0
startT[job:3, stage:2, machine:6];0.0
startT[job:4, stage:0, machine:1];0.0
startT[job:4, stage:0, machine:2];0.0
startT[job:4, stage:0, machine:3];0.0
startT[job:4, stage:1, machine:4];0.0
startT[job:4, stage:1, machine:5];128.0
startT[job:4, stage:1, machine:7];0.0
startT[job:4, stage:2, machine:2];0.0
startT[job:4, stage:2, machine:5];0.0
startT[job:4, stage:2, machine:6];175.0
startT[job:5, stage:0, machine:2];252.0
startT[job:5, stage:0, machine:3];0.0
startT[job:5, stage:0, machine:4];0.0
startT[job:5, stage:1, machine:3];397.0
startT[job:5, stage:1, machine:4];0.0
startT[job:5, stage:1, machine:5];0.0
startT[job:5, stage:2, machine:5];520.0
startT[job:5, stage:2, machine:6];0.0
startT[job:5, stage:2, machine:7];0.0
startT[job:6, stage:0, machine:2];81.0
startT[job:6, stage:0, machine:3];0.0
startT[job:6, stage:1, machine:3];238.0
startT[job:6, stage:1, machine:5];0.0
startT[job:6, stage:2, machine:5];0.0
startT[job:6, stage:2, machine:6];0.0
startT[job:6, stage:2, machine:7];362.0
startT[job:7, stage:0, machine:3];0.0
startT[job:7, stage:0, machine:4];36.0
startT[job:7, stage:1, machine:5];0.0
startT[job:7, stage:1, machine:6];281.0
startT[job:7, stage:2, machine:5];0.0
startT[job:7, stage:2, machine:6];0.0
startT[job:7, stage:2, machine:7];551.0
x[job1|stage1:0|0, job2|stage2:0|0];0.0
x[job1|stage1:0|0, job2|stage2:0|1];0.0
x[job1|stage1:0|0, job2|stage2:0|2];0.0
x[job1|stage1:0|0, job2|stage2:1|0];0.0
x[job1|stage1:0|0, job2|stage2:1|1];0.0
x[job1|stage1:0|0, job2|stage2:1|2];0.0
x[job1|stage1:0|0, job2|stage2:2|0];0.0
x[job1|stage1:0|0, job2|stage2:2|1];0.0
x[job1|stage1:0|0, job2|stage2:2|2];0.0
x[job1|stage1:0|0, job2|stage2:3|0];0.0
x[job1|stage1:0|0, job2|stage2:3|1];0.0
x[job1|stage1:0|0, job2|stage2:3|2];0.0
x[job1|stage1:0|0, job2|stage2:4|0];0.0
x[job1|stage1:0|0, job2|stage2:4|1];0.0
x[job1|stage1:0|0, job2|stage2:4|2];0.0
x[job1|stage1:0|0, job2|stage2:5|0];0.0
x[job1|stage1:0|0, job2|stage2:5|1];0.0
x[job1|stage1:0|0, job2|stage2:5|2];0.0
x[job1|stage1:0|0, job2|stage2:6|0];0.0
x[job1|stage1:0|0, job2|stage2:6|1];0.0
x[job1|stage1:0|0, job2|stage2:6|2];0.0
x[job1|stage1:0|0, job2|stage2:7|0];0.0
x[job1|stage1:0|0, job2|stage2:7|1];0.0
x[job1|stage1:0|0, job2|stage2:7|2];0.0
x[job1|stage1:0|1, job2|stage2:0|0];0.0
x[job1|stage1:0|1, job2|stage2:0|1];0.0
x[job1|stage1:0|1, job2|stage2:0|2];0.0
x[job1|stage1:0|1, job2|stage2:1|0];0.0
x[job1|stage1:0|1, job2|stage2:1|1];0.0
x[job1|stage1:0|1, job2|stage2:1|2];0.0
x[job1|stage1:0|1, job2|stage2:2|0];0.0
x[job1|stage1:0|1, job2|stage2:2|1];1.0
x[job1|stage1:0|1, job2|stage2:2|2];0.0
x[job1|stage1:0|1, job2|stage2:3|0];0.0
x[job1|stage1:0|1, job2|stage2:3|1];0.0
x[job1|stage1:0|1, job2|stage2:3|2];0.0
x[job1|stage1:0|1, job2|stage2:4|0];0.0
x[job1|stage1:0|1, job2|stage2:4|1];0.0
x[job1|stage1:0|1, job2|stage2:4|2];0.0
x[job1|stage1:0|1, job2|stage2:5|0];0.0
x[job1|stage1:0|1, job2|stage2:5|1];0.0
x[job1|stage1:0|1, job2|stage2:5|2];0.0
x[job1|stage1:0|1, job2|stage2:6|0];0.0
x[job1|stage1:0|1, job2|stage2:6|1];0.0
x[job1|stage1:0|1, job2|stage2:6|2];0.0
x[job1|stage1:0|1, job2|stage2:7|0];0.0
x[job1|stage1:0|1, job2|stage2:7|1];0.0
x[job1|stage1:0|1, job2|stage2:7|2];0.0
x[job1|stage1:0|2, job2|stage2:0|0];0.0
x[job1|stage1:0|2, job2|stage2:0|1];0.0
x[job1|stage1:0|2, job2|stage2:0|2];0.0
x[job1|stage1:0|2, job2|stage2:1|0];0.0
x[job1|stage1:0|2, job2|stage2:1|1];0.0
x[job1|stage1:0|2, job2|stage2:1|2];0.0
x[job1|stage1:0|2, job2|stage2:2|0];0.0
x[job1|stage1:0|2, job2|stage2:2|1];1.0
x[job1|stage1:0|2, job2|stage2:2|2];0.0
x[job1|stage1:0|2, job2|stage2:3|0];0.0
x[job1|stage1:0|2, job2|stage2:3|1];0.0
x[job1|stage1:0|2, job2|stage2:3|2];0.0
x[job1|stage1:0|2, job2|stage2:4|0];0.0
x[job1|stage1:0|2, job2|stage2:4|1];0.0
x[job1|stage1:0|2, job2|stage2:4|2];0.0
x[job1|stage1:0|2, job2|stage2:5|0];0.0
x[job1|stage1:0|2, job2|stage2:5|1];0.0
x[job1|stage1:0|2, job2|stage2:5|2];0.0
x[job1|stage1:0|2, job2|stage2:6|0];0.0
x[job1|stage1:0|2, job2|stage2:6|1];0.0
x[job1|stage1:0|2, job2|stage2:6|2];0.0
x[job1|stage1:0|2, job2|stage2:7|0];1.0
x[job1|stage1:0|2, job2|stage2:7|1];0.0
x[job1|stage1:0|2, job2|stage2:7|2];0.0
x[job1|stage1:1|0, job2|stage2:0|0];0.0
x[job1|stage1:1|0, job2|stage2:0|1];0.0
x[job1|stage1:1|0, job2|stage2:0|2];0.0
x[job1|stage1:1|0, job2|stage2:1|0];0.0
x[job1|stage1:1|0, job2|stage2:1|1];0.0
x[job1|stage1:1|0, job2|stage2:1|2];0.0
x[job1|stage1:1|0, job2|stage2:2|0];0.0
x[job1|stage1:1|0, job2|stage2:2|1];0.0
x[job1|stage1:1|0, job2|stage2:2|2];0.0
x[job1|stage1:1|0, job2|stage2:3|0];1.0
x[job1|stage1:1|0, job2|stage2:3|1];0.0
x[job1|stage1:1|0, job2|stage2:3|2];0.0
x[job1|stage1:1|0, job2|stage2:4|0];1.0
x[job1|stage1:1|0, job2|stage2:4|1];0.0
x[job1|stage1:1|0, job2|stage2:4|2];0.0
x[job1|stage1:1|0, job2|stage2:5|0];0.0
x[job1|stage1:1|0, job2|stage2:5|1];0.0
x[job1|stage1:1|0, job2|stage2:5|2];0.0
x[job1|stage1:1|0, job2|stage2:6|0];0.0
x[job1|stage1:1|0, job2|stage2:6|1];0.0
x[job1|stage1:1|0, job2|stage2:6|2];0.0
x[job1|stage1:1|0, job2|stage2:7|0];0.0
x[job1|stage1:1|0, job2|stage2:7|1];0.0
x[job1|stage1:1|0, job2|stage2:7|2];0.0
x[job1|stage1:1|1, job2|stage2:0|0];0.0
x[job1|stage1:1|1, job2|stage2:0|1];0.0
x[job1|stage1:1|1, job2|stage2:0|2];0.0
x[job1|stage1:1|1, job2|stage2:1|0];0.0
x[job1|stage1:1|1, job2|stage2:1|1];0.0
x[job1|stage1:1|1, job2|stage2:1|2];0.0
x[job1|stage1:1|1, job2|stage2:2|0];1.0
