Job;Op;Start;Finish;Start_f;Finish_f;Resource
0;0;2023-01-01 00:00:00;2023-01-01 01:40:00;0.0;100.0;Machine 03
0;1;2023-01-01 03:38:00;2023-01-01 05:41:00;218.0;341.0;Machine 07
0;2;2023-01-01 05:41:00;2023-01-01 08:11:00;341.0;491.0;Machine 04
1;0;2023-01-01 04:03:00;2023-01-01 07:37:00;243.0;457.0;Machine 01
1;1;2023-01-01 07:37:00;2023-01-01 08:43:00;457.0;523.0;Machine 02
1;2;2023-01-01 08:45:00;2023-01-01 10:20:00;525.0;620.0;Machine 06
2;0;2023-01-01 00:00:00;2023-01-01 01:02:00;0.0;62.0;Machine 02
2;1;2023-01-01 01:02:00;2023-01-01 03:27:00;62.0;207.0;Machine 07
2;2;2023-01-01 03:27:00;2023-01-01 05:07:00;207.0;307.0;Machine 05
3;0;2023-01-01 02:21:00;2023-01-01 03:48:00;141.0;228.0;Machine 01
3;1;2023-01-01 05:24:00;2023-01-01 08:17:00;324.0;497.0;Machine 05
3;2;2023-01-01 08:32:00;2023-01-01 10:57:00;512.0;657.0;Machine 04
4;0;2023-01-01 00:00:00;2023-01-01 02:08:00;0.0;128.0;Machine 01
4;1;2023-01-01 02:08:00;2023-01-01 02:55:00;128.0;175.0;Machine 05
4;2;2023-01-01 02:55:00;2023-01-01 04:20:00;175.0;260.0;Machine 06
5;0;2023-01-01 04:12:00;2023-01-01 06:37:00;252.0;397.0;Machine 02
5;1;2023-01-01 06:37:00;2023-01-01 08:40:00;397.0;520.0;Machine 03
5;2;2023-01-01 08:40:00;2023-01-01 10:40:00;520.0;640.0;Machine 05
6;0;2023-01-01 01:21:00;2023-01-01 03:58:00;81.0;238.0;Machine 02
6;1;2023-01-01 03:58:00;2023-01-01 06:02:00;238.0;362.0;Machine 03
6;2;2023-01-01 06:02:00;2023-01-01 09:00:00;362.0;540.0;Machine 07
7;0;2023-01-01 00:12:00;2023-01-01 04:17:00;12.0;257.0;Machine 04
7;1;2023-01-01 04:41:00;2023-01-01 08:25:00;281.0;505.0;Machine 06
7;2;2023-01-01 09:11:00;2023-01-01 12:09:00;551.0;729.0;Machine 07
