Job;Op;Start;Finish;Start_f;Finish_f;Resource
0;0;2023-01-05 04:50:00;2023-01-05 20:50:00;6050.0;7010.0;Machine 01
0;1;2023-01-05 20:50:00;2023-01-06 04:50:00;7010.0;7490.0;Machine 03
0;2;2023-01-06 11:19:00;2023-01-06 23:19:00;7879.0;8599.0;Machine 07
0;3;2023-01-10 05:40:00;2023-01-11 01:40:00;13300.0;14500.0;Machine 08
0;4;2023-01-12 02:42:00;2023-01-13 06:42:00;16002.0;17682.0;Machine 10
0;5;2023-01-13 06:42:00;2023-01-14 02:42:00;17682.0;18882.0;Machine 11
0;6;2023-01-14 02:42:00;2023-01-14 10:42:00;18882.0;19362.0;Machine 13
1;0;2023-01-04 17:36:00;2023-01-04 21:36:00;5376.0;5616.0;Machine 05
1;1;2023-01-04 21:36:00;2023-01-05 00:36:00;5616.0;5796.0;Machine 09
1;2;2023-01-05 00:36:00;2023-01-05 02:36:00;5796.0;5916.0;Machine 03
1;3;2023-01-05 02:36:00;2023-01-05 08:36:00;5916.0;6276.0;Machine 06
1;4;2023-01-05 08:36:00;2023-01-05 16:36:00;6276.0;6756.0;Machine 14
1;5;2023-01-05 16:36:00;2023-01-05 19:36:00;6756.0;6936.0;Machine 13
2;0;2023-01-11 15:18:00;2023-01-14 15:18:00;15318.0;19638.0;Machine 16
2;1;2023-01-14 15:18:00;2023-01-16 15:18:00;19638.0;22518.0;Machine 14
2;2;2023-01-16 18:54:00;2023-01-17 06:54:00;22734.0;23454.0;Machine 13
3;0;2023-01-02 12:29:00;2023-01-03 12:29:00;2189.0;3629.0;Machine 02
3;1;2023-01-03 13:02:00;2023-01-03 19:02:00;3662.0;4022.0;Machine 03
3;2;2023-01-04 04:02:00;2023-01-04 22:02:00;4562.0;5642.0;Machine 06
3;3;2023-01-05 21:37:00;2023-01-06 09:37:00;7057.0;7777.0;Machine 10
3;4;2023-01-06 09:37:00;2023-01-07 21:37:00;7777.0;9937.0;Machine 09
4;0;2023-01-06 09:15:00;2023-01-07 03:15:00;7755.0;8835.0;Machine 17
4;1;2023-01-07 06:09:00;2023-01-08 12:09:00;9009.0;10809.0;Machine 18
4;2;2023-01-08 12:09:00;2023-01-09 06:09:00;10809.0;11889.0;Machine 17
4;3;2023-01-09 09:48:00;2023-01-10 21:48:00;12108.0;14268.0;Machine 21
5;0;2023-01-04 20:42:00;2023-01-05 04:42:00;5562.0;6042.0;Machine 01
5;1;2023-01-05 04:42:00;2023-01-05 08:42:00;6042.0;6282.0;Machine 03
5;2;2023-01-05 08:42:00;2023-01-05 14:42:00;6282.0;6642.0;Machine 04
5;3;2023-01-05 23:28:00;2023-01-06 09:28:00;7168.0;7768.0;Machine 09
5;4;2023-01-06 09:47:00;2023-01-06 23:47:00;7787.0;8627.0;Machine 10
5;5;2023-01-06 23:47:00;2023-01-07 09:47:00;8627.0;9227.0;Machine 12
5;6;2023-01-07 09:47:00;2023-01-07 13:47:00;9227.0;9467.0;Machine 13
6;0;2023-01-02 04:07:00;2023-01-02 12:07:00;1687.0;2167.0;Machine 01
6;1;2023-01-02 12:07:00;2023-01-02 16:07:00;2167.0;2407.0;Machine 03
6;2;2023-01-02 16:08:00;2023-01-02 22:08:00;2408.0;2768.0;Machine 07
6;3;2023-01-03 12:11:00;2023-01-03 22:11:00;3611.0;4211.0;Machine 08
6;4;2023-01-04 04:25:00;2023-01-04 18:25:00;4585.0;5425.0;Machine 10
6;5;2023-01-04 18:25:00;2023-01-05 04:25:00;5425.0;6025.0;Machine 12
6;6;2023-01-05 04:25:00;2023-01-05 08:25:00;6025.0;6265.0;Machine 13
7;0;2023-01-01 00:00:00;2023-01-02 00:00:00;0.0;1440.0;Machine 16
7;1;2023-01-02 00:00:00;2023-01-02 16:00:00;1440.0;2400.0;Machine 14
7;2;2023-01-02 16:00:00;2023-01-02 20:00:00;2400.0;2640.0;Machine 13
8;0;2023-01-03 02:53:00;2023-01-03 10:53:00;3053.0;3533.0;Machine 01
8;1;2023-01-03 10:53:00;2023-01-03 12:53:00;3533.0;3653.0;Machine 03
8;2;2023-01-03 14:16:00;2023-01-03 20:16:00;3736.0;4096.0;Machine 04
8;3;2023-01-03 20:16:00;2023-01-04 04:16:00;4096.0;4576.0;Machine 10
8;4;2023-01-04 04:16:00;2023-01-04 16:16:00;4576.0;5296.0;Machine 08
9;0;2023-01-01 12:02:00;2023-01-01 18:02:00;722.0;1082.0;Machine 17
9;1;2023-01-01 18:02:00;2023-01-02 04:02:00;1082.0;1682.0;Machine 19
9;2;2023-01-02 06:07:00;2023-01-02 12:07:00;1807.0;2167.0;Machine 17
9;3;2023-01-02 12:07:00;2023-01-03 00:07:00;2167.0;2887.0;Machine 21
