Job;Op;Start;Finish;Start_f;Finish_f;Resource
0;0;2023-01-05 10:04:00;2023-01-06 02:04:00;6364.0;7324.0;Machine 02
0;1;2023-01-06 02:04:00;2023-01-06 10:04:00;7324.0;7804.0;Machine 03
0;2;2023-01-06 16:59:00;2023-01-07 04:59:00;8219.0;8939.0;Machine 06
0;3;2023-01-07 04:59:00;2023-01-08 00:59:00;8939.0;10139.0;Machine 09
0;4;2023-01-09 01:12:00;2023-01-10 05:12:00;11592.0;13272.0;Machine 10
0;5;2023-01-10 05:12:00;2023-01-11 01:12:00;13272.0;14472.0;Machine 11
0;6;2023-01-11 01:12:00;2023-01-11 09:12:00;14472.0;14952.0;Machine 13
1;0;2023-01-04 17:36:00;2023-01-04 21:36:00;5376.0;5616.0;Machine 07
1;1;2023-01-04 21:36:00;2023-01-05 00:36:00;5616.0;5796.0;Machine 09
1;2;2023-01-05 12:56:00;2023-01-05 14:56:00;6536.0;6656.0;Machine 03
1;3;2023-01-05 14:56:00;2023-01-05 20:56:00;6656.0;7016.0;Machine 07
1;4;2023-01-05 20:56:00;2023-01-06 04:56:00;7016.0;7496.0;Machine 14
1;5;2023-01-09 07:20:00;2023-01-09 10:20:00;11960.0;12140.0;Machine 13
2;0;2023-01-04 17:36:00;2023-01-07 17:36:00;5376.0;9696.0;Machine 16
2;1;2023-01-10 10:41:00;2023-01-12 10:41:00;13601.0;16481.0;Machine 14
2;2;2023-01-12 10:41:00;2023-01-12 22:41:00;16481.0;17201.0;Machine 13
3;0;2023-01-01 12:27:00;2023-01-02 12:27:00;747.0;2187.0;Machine 01
3;1;2023-01-02 12:27:00;2023-01-02 18:27:00;2187.0;2547.0;Machine 03
3;2;2023-01-02 18:27:00;2023-01-03 12:27:00;2547.0;3627.0;Machine 05
3;3;2023-01-05 02:51:00;2023-01-05 14:51:00;5931.0;6651.0;Machine 10
3;4;2023-01-10 00:55:00;2023-01-11 12:55:00;13015.0;15175.0;Machine 08
4;0;2023-01-04 12:44:00;2023-01-05 06:44:00;5084.0;6164.0;Machine 17
4;1;2023-01-05 06:44:00;2023-01-06 12:44:00;6164.0;7964.0;Machine 18
4;2;2023-01-06 19:15:00;2023-01-07 13:15:00;8355.0;9435.0;Machine 17
4;3;2023-01-09 06:48:00;2023-01-10 18:48:00;11928.0;14088.0;Machine 21
5;0;2023-01-05 00:56:00;2023-01-05 08:56:00;5816.0;6296.0;Machine 01
5;1;2023-01-05 08:56:00;2023-01-05 12:56:00;6296.0;6536.0;Machine 03
5;2;2023-01-05 12:56:00;2023-01-05 18:56:00;6536.0;6896.0;Machine 04
5;3;2023-01-05 18:56:00;2023-01-06 04:56:00;6896.0;7496.0;Machine 08
5;4;2023-01-06 04:56:00;2023-01-06 18:56:00;7496.0;8336.0;Machine 10
5;5;2023-01-06 18:56:00;2023-01-07 04:56:00;8336.0;8936.0;Machine 11
5;6;2023-01-07 04:56:00;2023-01-07 08:56:00;8936.0;9176.0;Machine 13
6;0;2023-01-02 10:32:00;2023-01-02 18:32:00;2072.0;2552.0;Machine 02
6;1;2023-01-02 18:32:00;2023-01-02 22:32:00;2552.0;2792.0;Machine 03
6;2;2023-01-02 22:32:00;2023-01-03 04:32:00;2792.0;3152.0;Machine 07
6;3;2023-01-03 04:32:00;2023-01-03 14:32:00;3152.0;3752.0;Machine 09
6;4;2023-01-04 12:47:00;2023-01-05 02:47:00;5087.0;5927.0;Machine 10
6;5;2023-01-05 11:47:00;2023-01-05 21:47:00;6467.0;7067.0;Machine 12
6;6;2023-01-05 21:47:00;2023-01-06 01:47:00;7067.0;7307.0;Machine 13
7;0;2023-01-01 00:00:00;2023-01-02 00:00:00;0.0;1440.0;Machine 16
7;1;2023-01-02 00:00:00;2023-01-02 16:00:00;1440.0;2400.0;Machine 14
7;2;2023-01-02 16:00:00;2023-01-02 20:00:00;2400.0;2640.0;Machine 13
8;0;2023-01-03 07:24:00;2023-01-03 15:24:00;3324.0;3804.0;Machine 02
8;1;2023-01-03 15:24:00;2023-01-03 17:24:00;3804.0;3924.0;Machine 03
8;2;2023-01-03 17:24:00;2023-01-03 23:24:00;3924.0;4284.0;Machine 05
8;3;2023-01-04 04:38:00;2023-01-04 12:38:00;4598.0;5078.0;Machine 10
8;4;2023-01-04 12:38:00;2023-01-05 00:38:00;5078.0;5798.0;Machine 08
9;0;2023-01-02 12:17:00;2023-01-02 18:17:00;2177.0;2537.0;Machine 17
9;1;2023-01-02 18:17:00;2023-01-03 04:17:00;2537.0;3137.0;Machine 20
