Job;Op;Start;Finish;Start_f;Finish_f;Resource
0;0;2023-01-01 00:24:00;2023-01-01 00:27:00.000000000;24.999999999999588;26.999999999999588;Machine 03
0;1;2023-01-01 00:19:00;2023-01-01 00:25:00.000000000;19.999999999997858;24.999999999997858;Machine 00
0;2;2023-01-01 00:16:00;2023-01-01 00:20:00.000000000;16.99999999999839;19.99999999999839;Machine 04
1;0;2023-01-01 00:17:00;2023-01-01 00:21:00.000000000;17.000000000004405;21.000000000004405;Machine 02
1;1;2023-01-01 00:15:00;2023-01-01 00:17:00.000000000;15.000000000005906;17.000000000005905;Machine 03
1;2;2023-01-01 00:10:00;2023-01-01 00:15:00.000000000;10.0;15.0;Machine 01
2;0;2023-01-01 00:06:00;2023-01-01 00:09:00.000000000;6.999999999998821;8.99999999999882;Machine 04
2;1;2023-01-01 00:02:00;2023-01-01 00:06:00.000000000;2.0;6.0;Machine 02
2;2;2023-01-01 00:03:00;2023-01-01 00:07:00.000000000;3.000000000001433;7.0000000000014335;Machine 00
3;0;2023-01-01 00:11:00;2023-01-01 00:14:00.000000000;11.0;14.0;Machine 02
3;1;2023-01-01 00:08:00;2023-01-01 00:11:00.000000000;8.0;11.0;Machine 05
3;2;2023-01-01 00:00:00;2023-01-01 00:05:00.000000000;0.0;5.0;Machine 01
4;0;2023-01-01 00:11:00;2023-01-01 00:13:00.000000000;11.000000000000767;13.000000000000767;Machine 00
4;1;2023-01-01 00:01:00;2023-01-01 00:06:00.000000000;1.0;6.0;Machine 05
4;2;2023-01-01 00:01:00;2023-01-01 00:05:25.575983118;1.4262663853445001;5.4262663853445;Machine 03
