Job;Op;Start;Finish;Start_f;Finish_f;Resource
0;0;2023-01-01 00:11:00;2023-01-01 00:13:00;11.0;13.0;Machine 05
0;1;2023-01-01 00:06:00;2023-01-01 00:10:00;6.000000000001023;10.000000000001023;Machine 00
0;2;2023-01-01 00:00:00;2023-01-01 00:04:00;0.0;4.0;Machine 02
1;0;2023-01-01 00:13:00;2023-01-01 00:15:00;13.0;15.0;Machine 02
1;1;2023-01-01 00:07:00;2023-01-01 00:11:00;7.000000000000001;11.0;Machine 06
1;2;2023-01-01 00:01:00;2023-01-01 00:04:00;1.0000000000010232;4.000000000001023;Machine 00
2;0;2023-01-01 00:19:00;2023-01-01 00:21:00;19.000000000000014;21.000000000000014;Machine 04
2;1;2023-01-01 00:17:00;2023-01-01 00:19:00;17.000000000000014;19.000000000000014;Machine 05
2;2;2023-01-01 00:15:00;2023-01-01 00:17:00;15.000000000001023;17.000000000001023;Machine 00
3;0;2023-01-01 00:25:00;2023-01-01 00:29:00;25.0;29.0;Machine 05
3;1;2023-01-01 00:08:00;2023-01-01 00:12:00;8.999999999999943;11.999999999999943;Machine 03
3;2;2023-01-01 00:21:00;2023-01-01 00:25:00;21.0;25.0;Machine 06
4;0;2023-01-01 00:08:00;2023-01-01 00:10:00;8.0;10.0;Machine 04
4;1;2023-01-01 00:02:00;2023-01-01 00:05:00;2.0;5.0;Machine 05
4;2;2023-01-01 00:02:00;2023-01-01 00:04:00;2.0;4.0;Machine 04
5;0;2023-01-01 00:28:00;2023-01-01 00:33:00;28.99999999999997;32.99999999999997;Machine 06
5;1;2023-01-01 00:23:00;2023-01-01 00:29:00;23.999999999999943;28.999999999999943;Machine 03
5;2;2023-01-01 00:20:00;2023-01-01 00:23:00;20.000000000000014;23.000000000000014;Machine 00
6;0;2023-01-01 00:24:00;2023-01-01 00:26:00;24.000000000000007;26.000000000000007;Machine 02
6;1;2023-01-01 00:12:00;2023-01-01 00:14:00;12.0;14.0;Machine 01
6;2;2023-01-01 00:22:00;2023-01-01 00:24:00;22.000000000000007;24.000000000000007;Machine 01
7;0;2023-01-01 00:04:00;2023-01-01 00:06:00;4.0;6.0;Machine 01
7;1;2023-01-01 00:02:00;2023-01-01 00:04:00;2.0;4.0;Machine 06
7;2;2023-01-01 00:02:00;2023-01-01 00:04:00;2.0;4.0;Machine 03
