Job;Op;Start;Finish;Start_f;Finish_f;Resource
0;0;2023-01-10 11:58:00;2023-01-11 11:59:00.000000000;13678.999999999996;15118.999999999996;Machine 01
0;1;2023-01-09 11:58:00;2023-01-10 11:59:00.000000000;12238.999999999995;13678.999999999995;Machine 00
0;2;2023-01-06 18:44:00;2023-01-08 18:44:14.157859482;8324.235964324733;11204.235964324733;Machine 02
0;3;2023-01-03 10:19:00;2023-01-05 10:19:00.000000000;3499.0;6379.0;Machine 03
0;4;2023-01-02 10:19:00;2023-01-03 10:19:00.000000000;2059.000000000001;3499.000000000001;Machine 04
1;0;2023-01-05 11:19:00;2023-01-06 11:19:00.000000000;6439.000000000002;7879.000000000002;Machine 03
1;1;2023-01-04 10:20:00;2023-01-05 10:20:18.138790554;4940.302313175889;6380.302313175889;Machine 01
1;2;2023-01-03 09:40:00;2023-01-04 09:40:14.794764954;3460.246579415862;4900.246579415862;Machine 02
1;3;2023-01-02 08:46:00;2023-01-03 08:46:47.856430452;1966.7976071742364;3406.7976071742364;Machine 00
1;4;2023-01-01 08:00:00;2023-01-02 08:00:00.000000000;480.00000000000045;1920.0000000000005;Machine 04
2;0;2023-01-12 13:58:00;2023-01-13 13:58:00.000000000;16678.0;18118.0;Machine 00
2;1;2023-01-11 13:57:00;2023-01-12 13:58:00.000000000;15237.999999999998;16678.0;Machine 02
2;2;2023-01-08 13:58:00;2023-01-11 13:58:00.000000000;10918.000000000002;15238.000000000002;Machine 03
2;3;2023-01-06 13:35:00;2023-01-08 13:35:12.114533706;8015.201908895095;10895.201908895095;Machine 01
2;4;2023-01-05 13:12:00;2023-01-06 13:12:48.297639270;6552.804960654522;7992.804960654522;Machine 04
3;0;2023-01-13 16:37:00;2023-01-15 16:37:00.000000000;18277.000000000004;21157.000000000004;Machine 00
3;1;2023-01-11 16:37:00;2023-01-13 16:37:00.000000000;15397.000000000004;18277.000000000004;Machine 03
3;2;2023-01-09 02:26:00;2023-01-11 02:26:14.344132200;11666.239068870007;14546.239068870007;Machine 02
3;3;2023-01-07 12:36:00;2023-01-08 12:36:45.850283430;9396.76417139049;10836.76417139049;Machine 04
4;0;2023-01-08 10:58:00;2023-01-09 10:59:00.000000000;10738.999999999998;12178.999999999998;Machine 00
4;1;2023-01-07 10:59:00;2023-01-08 10:59:00.000000000;9299.000000000002;10739.000000000002;Machine 03
4;2;2023-01-06 10:59:00;2023-01-07 10:59:00.000000000;7859.000000000001;9299.0;Machine 00
4;3;2023-01-05 10:59:00;2023-01-06 10:59:00.000000000;6419.000000000001;7859.000000000001;Machine 02
4;4;2023-01-03 10:58:00;2023-01-05 10:59:00.000000000;3538.9999999999955;6418.999999999995;Machine 04
