Job;Op;Start;Finish;Start_f;Finish_f;Resource
0;0;2023-01-01 21:31:00;2023-01-02 00:01:00.000000000;1291.0000000000023;1441.0000000000023;Machine 03
0;1;2023-01-01 19:08:00;2023-01-01 21:10:53.944855092;1148.899080918187;1270.899080918187;Machine 06
0;2;2023-01-01 13:38:00;2023-01-01 17:44:00.000000000;818.0;1064.0;Machine 00
1;0;2023-01-01 16:13:00;2023-01-01 17:49:00.000000000;973.9999999999945;1068.9999999999945;Machine 05
1;1;2023-01-01 12:57:00;2023-01-01 14:24:00.000000000;777.0000000000114;864.0000000000114;Machine 02
1;2;2023-01-01 08:00:00;2023-01-01 10:30:00.000000000;480.0000000000014;630.0000000000014;Machine 02
2;0;2023-01-01 13:36:00;2023-01-01 15:17:00.000000000;816.9999999999995;916.9999999999995;Machine 04
2;1;2023-01-01 11:09:00;2023-01-01 13:34:00.000000000;669.0000000000006;814.0000000000006;Machine 06
2;2;2023-01-01 10:07:00;2023-01-01 11:09:00.000000000;607.0000000000006;669.0000000000006;Machine 01
3;0;2023-01-01 14:31:00;2023-01-01 16:56:00.000000000;871.0000000000003;1016.0000000000003;Machine 03
3;1;2023-01-01 09:05:00;2023-01-01 11:58:00.000000000;545.0000000000005;718.0000000000005;Machine 04
3;2;2023-01-01 08:00:00;2023-01-01 09:05:00.000000000;480.0000000000005;545.0000000000005;Machine 01
4;0;2023-01-01 11:13:00;2023-01-01 12:38:00.000000000;673.0000000000005;758.0000000000005;Machine 05
4;1;2023-01-01 10:08:00;2023-01-01 11:13:00.000000000;608.0;673.0;Machine 03
4;2;2023-01-01 08:00:00;2023-01-01 10:08:00.000000000;480.0;608.0;Machine 00
5;0;2023-01-01 21:17:00;2023-01-02 01:17:00.000000000;1277.0000000000005;1517.0000000000005;Machine 05
5;1;2023-01-01 19:15:00;2023-01-01 21:17:00.000000000;1155.0000000000134;1277.0000000000134;Machine 02
5;2;2023-01-01 15:33:00;2023-01-01 17:58:08.318778546;933.1386463091224;1078.1386463091224;Machine 01
6;0;2023-01-02 09:42:00;2023-01-02 12:07:00.000000000;2022.000000000019;2167.000000000019;Machine 04
6;1;2023-01-02 07:37:00;2023-01-02 09:42:00.000000000;1897.9999999999957;2021.9999999999957;Machine 02
6;2;2023-01-02 05:01:00;2023-01-02 07:38:00.000000000;1741.0000000000077;1898.0000000000077;Machine 01
