Job;Op;Start;Finish;Start_f;Finish_f;Resource
0;0;2023-01-02 00:50:00;2023-01-02 03:21:00.000000000;1490.9999999999977;1640.9999999999977;Machine 03
0;1;2023-01-01 22:41:00;2023-01-02 00:51:00.000000000;1361.0;1491.0;Machine 01
0;2;2023-01-01 16:50:00;2023-01-01 20:57:00.000000000;1010.9999999999941;1256.999999999994;Machine 00
1;0;2023-01-01 11:35:00;2023-01-01 13:11:00.000000000;695.9999999999973;790.9999999999973;Machine 05
1;1;2023-01-01 10:30:00;2023-01-01 11:36:00.000000000;630.0;696.0;Machine 01
1;2;2023-01-01 08:00:00;2023-01-01 10:30:00.000000000;480.0;630.0;Machine 02
2;0;2023-01-01 11:51:00;2023-01-01 13:32:00.000000000;711.9999999999823;811.9999999999823;Machine 04
2;1;2023-01-01 09:26:00;2023-01-01 11:52:00.000000000;566.9999999999982;711.9999999999982;Machine 06
2;2;2023-01-01 08:00:00;2023-01-01 09:27:00.000000000;480.0;567.0;Machine 00
3;0;2023-01-02 11:42:00;2023-01-02 13:58:59.999999994;2142.999999999937;2278.999999999937;Machine 05
3;1;2023-01-02 07:32:00;2023-01-02 11:43:00.000000000;1892.9999999999914;2142.9999999999914;Machine 02
3;2;2023-01-02 06:05:00;2023-01-02 07:33:00.000000000;1805.9999999999927;1892.9999999999927;Machine 00
4;0;2023-01-02 04:26:00;2023-01-02 06:17:00.000000000;1706.9999999999563;1816.9999999999563;Machine 04
4;1;2023-01-02 01:21:00;2023-01-02 02:47:59.999999988;1521.999999999835;1607.999999999835;Machine 06
4;2;2023-01-01 21:18:00;2023-01-01 23:44:00.000000000;1278.9999999999654;1423.9999999999654;Machine 02
5;0;2023-01-01 20:14:00;2023-01-01 23:14:59.999999994;1214.9999999998547;1394.9999999998547;Machine 06
5;1;2023-01-01 17:44:00;2023-01-01 20:15:00.000000000;1064.9999999999848;1214.9999999999848;Machine 03
5;2;2023-01-01 12:24:00;2023-01-01 17:45:00.000000000;744.9999999999886;1064.9999999999886;Machine 02
6;0;2023-01-02 01:49:00;2023-01-02 04:35:00.000000000;1549.9999999999682;1714.9999999999682;Machine 05
6;1;2023-01-01 22:08:00;2023-01-02 00:57:00.000000000;1328.9999999999718;1496.9999999999718;Machine 04
6;2;2023-01-01 13:47:00;2023-01-01 16:25:00.000000000;827.9999999999991;984.9999999999991;Machine 01
7;0;2023-01-01 19:13:00;2023-01-01 21:59:00.000000000;1153.9999999999732;1318.9999999999732;Machine 05
7;1;2023-01-01 14:45:00;2023-01-01 19:14:00.000000000;885.9999999999768;1153.9999999999768;Machine 04
7;2;2023-01-01 08:00:00;2023-01-01 12:04:00.000000000;480.0;724.0;Machine 03
