Job;Op;Start;Finish;Start_f;Finish_f;Resource
0;0;2023-01-08 04:17:00;2023-01-08 12:17:59.999999748;10337.999999995773;10817.999999995773;Machine 18
0;1;2023-01-07 08:17:00;2023-01-08 04:17:59.999999862;9137.999999997677;10337.999999997677;Machine 13
0;2;2023-01-06 04:17:00;2023-01-07 08:17:59.999999862;7457.999999997677;9137.999999997677;Machine 09
0;3;2023-01-05 08:17:00;2023-01-06 04:17:59.999999880;6257.999999997996;7457.999999997996;Machine 11
0;4;2023-01-04 20:17:00;2023-01-05 08:17:59.999999940;5537.999999999037;6257.999999999037;Machine 06
0;5;2023-01-04 12:17:00;2023-01-04 20:17:59.999999940;5057.999999999037;5537.999999999037;Machine 12
0;6;2023-01-03 20:17:00;2023-01-04 12:17:59.999999952;4097.999999999159;5057.999999999159;Machine 20
1;0;2023-01-04 15:58:00;2023-01-04 18:58:59.999999952;5278.999999999172;5458.999999999172;Machine 18
1;1;2023-01-04 07:59:00;2023-01-04 15:59:00.000000000;4799.0;5279.0;Machine 17
1;2;2023-01-04 01:59:00;2023-01-04 07:59:00.000000000;4439.0;4799.0;Machine 07
1;3;2023-01-03 22:59:00;2023-01-04 00:59:59.999999982;4259.999999999747;4379.999999999747;Machine 12
1;4;2023-01-03 19:59:00;2023-01-03 22:59:59.999999988;4079.9999999997867;4259.999999999787;Machine 11
1;5;2023-01-03 15:59:00;2023-01-03 20:00:00.000000000;3839.9999999999854;4079.9999999999854;Machine 07
2;0;2023-01-16 04:45:00;2023-01-16 16:45:59.999999826;21885.999999997068;22605.999999997068;Machine 18
2;1;2023-01-14 04:45:00;2023-01-16 04:45:59.999999826;19005.999999997082;21885.999999997082;Machine 17
2;2;2023-01-10 20:33:00;2023-01-13 20:33:59.999999826;14193.999999997119;18513.99999999712;Machine 15
2;3;2023-01-09 08:33:00;2023-01-10 20:33:59.999999826;12033.999999997119;14193.999999997119;Machine 11
