Job;Op;Start;Finish;Start_f;Finish_f;Resource
0;0;2023-01-01 00:00:00;2024-08-23 00:00:00.000000000;0.0;864000.0;Machine 10
1;0;2026-10-09 16:31:00;2028-10-25 08:31:00.000000000;1983871.0;3059071.0;Machine 10
2;0;2023-01-01 00:00:00;2025-01-27 12:00:00.000000000;0.0;1090800.0;Machine 21
3;0;2024-05-22 00:14:00;2027-06-14 18:15:00.000000000;730094.9999999999;2341095.0;Machine 27
4;0;2027-11-14 10:45:00;2030-12-07 04:45:00.000000030;2560965.0000000005;4171965.0000000005;Machine 27
5;0;2028-07-27 09:08:00;2034-04-24 11:13:00.000000000;2929508.0;5949313.0;Machine 04
6;0;2024-02-22 06:12:00;2025-05-17 06:12:00.000000000;600852.0;1248852.0;Machine 03
7;0;2025-04-09 02:04:00;2034-01-12 02:04:00.000000000;1193884.0;5801884.0;Machine 15
8;0;2024-11-03 10:03:00;2025-12-25 02:04:00.000000000;968283.9999999999;1568284.0;Machine 00
9;0;2025-12-07 02:26:00;2048-08-28 02:26:00.000000000;1542386.0;13494386.0;Machine 01
10;0;2023-01-01 00:00:00;2025-03-27 16:00:00.000000000;0.0;1176000.0;Machine 08
11;0;2037-01-19 23:14:00;2044-06-09 21:14:59.999997318;7391474.999999955;11276474.999999955;Machine 09
12;0;2023-09-14 08:15:00;2027-04-13 00:15:00.000000000;369135.0;2250735.0;Machine 05
13;0;2025-08-27 08:30:00;2029-03-26 00:30:00.000000000;1395870.0;3277470.0;Machine 08
14;0;2023-01-01 00:00:00;2024-10-15 08:00:00.000000000;0.0;940800.0;Machine 00
15;0;2038-06-20 13:13:00;2052-02-27 13:13:59.999989272;8135353.999999821;15335353.999999821;Machine 00
16;0;2031-05-26 02:37:00;2036-07-13 02:37:59.999997318;4416637.999999955;7116637.999999955;Machine 09
17;0;2027-03-27 08:15:00;2031-01-31 14:15:00.000000000;2226735.0;4251735.0;Machine 09
18;0;2025-03-27 02:25:00;2027-08-19 02:25:59.999999496;1175185.9999999916;2435185.9999999916;Machine 12
19;0;2023-01-01 00:00:00;2025-06-28 04:00:00.000000000;0.0;1309200.0;Machine 14
20;0;2023-01-01 00:00:00;2026-01-20 15:00:00.000000570;9.525845604735937e-09;1606500.0000000095;Machine 16
21;0;2023-11-10 14:25:00;2025-05-30 06:25:59.999999652;451585.9999999942;1267585.9999999942;Machine 04
22;0;2025-08-20 16:31:00;2027-03-10 08:31:00.000000000;1386271.0;2202271.0;Machine 03
23;0;2026-01-13 04:07:00;2029-04-14 14:31:59.999999916;1595767.9999999986;3305671.9999999986;Machine 00
24;0;2023-01-01 00:00:00;2029-12-31 04:00:00.000000000;0.0;3680880.0;Machine 22
25;0;2030-04-27 17:49:00;2033-08-09 17:49:00.000000000;3850189.0;5578189.0;Machine 16
26;0;2026-04-06 23:14:00;2029-11-06 23:14:59.999999496;1716434.9999999916;3602834.9999999916;Machine 16
27;0;2023-01-01 07:59:00;2025-09-27 20:00:00.000000000;479.9999999999819;1441200.0;Machine 18
28;0;2026-02-08 10:25:00;2028-12-05 16:25:59.999998098;1633585.9999999686;3118585.9999999683;Machine 18
29;0;2023-01-01 00:00:00;2028-07-09 00:00:00.000000000;0.0;2903040.0;Machine 07
30;0;2035-07-12 00:38:00;2054-08-21 10:38:00.000000000;6588038.0;16639838.0;Machine 20
31;0;2025-02-08 10:08:00;2028-09-03 23:14:00.000000000;1107968.0;2985074.0;Machine 06
32;0;2023-01-01 00:00:00;2025-01-20 00:00:00.000000000;0.0;1080000.0;Machine 25
33;0;2025-03-18 06:12:00;2027-04-07 06:12:00.000000000;1162452.0;2242452.0;Machine 25
34;0;2023-01-01 00:00:00;2025-01-01 06:00:00.000000000;0.0;1053000.0;Machine 06
35;0;2025-03-18 00:23:00;2029-12-22 00:23:00.000000000;1162103.0;3667703.0;Machine 11
36;0;2023-01-01 00:00:00;2034-06-27 20:00:00.000000000;0.0;6042000.0;Machine 28
37;0;2025-11-22 08:14:00;2035-03-19 12:14:59.999999946;1521134.9999999993;6423134.999999999;Machine 20
38;0;2023-01-01 00:00:00;2032-01-01 12:00:00.000000000;0.0;4734000.0;Machine 23
39;0;2023-01-01 00:00:00;2027-01-10 00:00:00.000000000;0.0;2116800.0;Machine 09
40;0;2023-01-01 00:00:00;2024-12-03 05:45:00.000000000;0.0;1011225.0;Machine 02
41;0;2027-08-10 01:01:00;2030-03-27 01:01:00.000000000;2422141.0;3804541.0;Machine 03
42;0;2023-01-01 08:00:00;2035-11-14 08:00:00.000000000;480.0;6768480.0;Machine 13
43;0;2023-01-01 08:00:00;2026-09-12 08:00:00.000000000;480.0;1944480.0;Machine 19
44;0;2023-01-01 00:00:00;2027-09-30 08:00:00.000000000;0.0;2496000.0;Machine 30
45;0;2023-01-01 00:00:00;2030-07-04 23:00:00.000000000;0.0;3948420.0;Machine 34
46;0;2029-02-03 15:44:00;2035-12-29 15:44:00.000000000;3204944.0;6833744.0;Machine 06
