Job;Op;Start;Finish;Start_f;Finish_f;Resource
0;0;2023-01-01 00:28:00;2023-01-01 00:30:00.000000000;28.000000000005446;30.000000000005446;Machine 04
0;1;2023-01-01 00:24:00;2023-01-01 00:28:00.000000000;24.000000000004718;28.000000000004718;Machine 00
0;2;2023-01-01 00:21:00;2023-01-01 00:24:00.000000000;21.0;24.0;Machine 03
1;0;2023-01-01 00:10:00;2023-01-01 00:15:00.000000000;10.0;15.0;Machine 03
1;1;2023-01-01 00:02:00;2023-01-01 00:06:00.000000000;2.0;6.0;Machine 03
1;2;2023-01-01 00:00:00;2023-01-01 00:02:00.000000000;0.0;2.0;Machine 01
2;0;2023-01-01 00:15:00;2023-01-01 00:17:00.000000000;15.00000000000538;17.00000000000538;Machine 01
2;1;2023-01-01 00:10:00;2023-01-01 00:15:00.000000000;10.00000000000541;15.00000000000541;Machine 02
2;2;2023-01-01 00:11:00;2023-01-01 00:14:15.215759850;11.253595997471782;14.253595997471782;Machine 00
3;0;2023-01-01 00:08:00;2023-01-01 00:10:00.000000000;8.000000000005649;10.000000000005649;Machine 04
3;1;2023-01-01 00:05:00;2023-01-01 00:08:00.000000000;5.000000000003523;8.000000000003524;Machine 02
3;2;2023-01-01 00:02:00;2023-01-01 00:05:00.000000000;2.0000000000035234;5.000000000003523;Machine 00
