Job;Op;Start;Finish;Start_f;Finish_f;Resource
0;0;2023-01-01 00:13:00;2023-01-01 00:16:00;13.0;16.0;Machine 03
0;1;2023-01-01 00:06:00;2023-01-01 00:09:00;6.999999999999602;8.999999999999602;Machine 02
0;2;2023-01-01 00:03:00;2023-01-01 00:05:00;3.0;5.0;Machine 02
1;0;2023-01-01 00:08:00;2023-01-01 00:11:00;8.999999999999979;10.999999999999979;Machine 04
1;1;2023-01-01 00:00:00;2023-01-01 00:03:00;0.0;3.0;Machine 04
1;2;2023-01-01 00:06:00;2023-01-01 00:09:00;6.999999999999979;8.999999999999979;Machine 01
2;0;2023-01-01 00:26:00;2023-01-01 00:29:00;26.000000000000057;29.000000000000057;Machine 02
2;1;2023-01-01 00:23:00;2023-01-01 00:26:00;23.000000000000057;26.000000000000057;Machine 04
2;2;2023-01-01 00:16:00;2023-01-01 00:18:00;16.000000000000057;18.000000000000057;Machine 02
3;0;2023-01-01 00:08:00;2023-01-01 00:10:00;8.0;10.0;Machine 05
3;1;2023-01-01 00:05:00;2023-01-01 00:07:00;5.0000000000000036;7.0000000000000036;Machine 00
3;2;2023-01-01 00:02:00;2023-01-01 00:05:00;2.0;5.0;Machine 06
4;0;2023-01-01 00:16:00;2023-01-01 00:21:00;16.99999999999998;20.99999999999998;Machine 01
4;1;2023-01-01 00:12:00;2023-01-01 00:16:00;12.0;16.0;Machine 05
4;2;2023-01-01 00:08:00;2023-01-01 00:10:00;8.0;10.0;Machine 06
5;0;2023-01-01 00:20:00;2023-01-01 00:23:00;20.000000000000007;23.000000000000007;Machine 06
5;1;2023-01-01 00:17:00;2023-01-01 00:20:00;17.000000000000007;20.000000000000007;Machine 00
5;2;2023-01-01 00:09:00;2023-01-01 00:13:00;9.000000000000004;13.000000000000004;Machine 00
6;0;2023-01-01 00:05:00;2023-01-01 00:10:00;5.999999999999992;9.999999999999993;Machine 03
6;1;2023-01-01 00:03:00;2023-01-01 00:06:00;3.9999999999999925;5.999999999999993;Machine 05
6;2;2023-01-01 00:01:00;2023-01-01 00:04:00;1.999999999999992;3.999999999999992;Machine 01
