name;value
Z_FO;319.0
s[0,0,3];0.0
s[0,0,6];0.0
s[0,0,7];21.0
s[0,1,0];19.0
s[0,1,2];0.0
s[0,1,4];0.0
s[0,2,2];0.0
s[0,2,3];12.999999999998465
s[0,2,7];0.0
s[0,3,2];5.9999999999996305
s[0,3,4];0.0
s[0,3,7];0.0
s[1,0,1];24.999999999997158
s[1,0,3];0.0
s[1,0,4];0.0
s[1,1,0];0.0
s[1,1,1];0.0
s[1,1,4];22.99999999999642
s[1,2,4];0.0
s[1,2,5];22.999999999997158
s[1,2,7];0.0
s[1,3,0];0.0
s[1,3,2];16.99999999999963
s[1,3,7];0.0
s[10,0,3];4.999999999999318
s[10,0,5];0.0
s[10,0,7];0.0
s[10,1,0];0.0
s[10,1,2];1.9999999999998863
s[10,1,5];0.0
s[10,2,1];1.9999999999996305
s[10,2,3];0.0
s[10,2,4];0.0
s[10,3,1];0.0
s[10,3,5];0.9999999999996589
s[10,3,6];0.0
s[2,0,1];0.0
s[2,0,5];46.99999999999548
s[2,0,6];1.6484591469634324e-12
s[2,1,3];0.0
s[2,1,4];43.99999999999713
s[2,1,5];0.0
s[2,2,1];42.99999999999707
s[2,2,2];0.0
s[2,2,3];0.0
s[2,3,4];0.0
s[2,3,5];40.99999999999548
s[2,3,7];0.0
s[3,0,3];0.0
s[3,0,4];16.999999999998238
s[3,0,7];0.0
s[3,1,4];9.999999999999659
s[3,1,6];0.0
s[3,1,7];0.0
s[3,2,0];0.0
s[3,2,4];0.0
s[3,2,7];10.999999999999833
s[3,3,0];5.0
s[3,3,5];0.0
s[3,3,7];0.0
s[4,0,5];0.0
s[4,0,6];12.999999999997158
s[4,0,7];0.0
s[4,1,0];0.0
s[4,1,3];0.0
s[4,1,4];0.9999999999998295
s[4,2,1];9.999999999985917
s[4,2,5];0.0
s[4,2,7];0.0
s[4,3,0];0.0
s[4,3,5];0.0
s[4,3,7];2.9999999999998295
s[5,0,1];0.0
s[5,0,3];0.0
s[5,0,4];31.99999999999642
s[5,1,1];0.0
s[5,1,3];26.99999999999642
s[5,1,6];0.0
s[5,2,0];12.0
s[5,2,6];0.0
s[5,2,7];0.0
s[5,3,3];18.999999999998465
s[5,3,4];0.0
s[5,3,5];0.0
s[6,0,1];0.0
s[6,0,2];35.99999999999275
s[6,0,4];0.0
s[6,1,0];31.0
s[6,1,4];0.0
s[6,1,5];0.0
s[6,2,4];0.0
s[6,2,5];0.0
s[6,2,6];31.999999999998508
s[6,3,3];0.0
s[6,3,4];0.0
s[6,3,6];1.0
s[7,0,0];46.0
s[7,0,3];0.0
s[7,0,4];0.0
s[7,1,2];0.0
s[7,1,4];0.0
s[7,1,6];42.99999999999642
s[7,2,1];32.99999999999959
s[7,2,2];0.0
s[7,2,3];0.0
s[7,3,1];0.0
s[7,3,3];37.99999999999642
s[7,3,6];0.0
s[8,0,0];0.0
s[8,0,4];0.0
s[8,0,5];18.999999999999616
s[8,1,0];0.0
s[8,1,3];0.0
s[8,1,4];0.0
s[8,2,1];14.99999999999276
s[8,2,5];0.0
s[8,2,7];0.0
s[8,3,0];0.0
s[8,3,2];0.0
s[8,3,6];9.0
s[9,0,5];0.0
s[9,0,6];0.0
s[9,0,7];30.999999999997158
s[9,1,1];0.0
s[9,1,4];0.0
s[9,1,7];26.0
s[9,2,3];0.0
s[9,2,4];0.0
s[9,2,5];28.999999999997158
s[9,3,2];0.0
s[9,3,4];0.0
s[9,3,6];23.0
x[0,0,0,0];0.0
x[0,0,0,1];0.0
x[0,0,0,2];0.0
x[0,0,0,3];0.0
x[0,0,1,0];0.0
x[0,0,1,1];0.0
x[0,0,1,2];0.0
x[0,0,1,3];1.0
x[0,0,10,0];1.0
x[0,0,10,1];0.0
x[0,0,10,2];0.0
x[0,0,10,3];0.0
x[0,0,2,0];1.0
x[0,0,2,1];0.0
x[0,0,2,2];0.0
x[0,0,2,3];0.0
x[0,0,3,0];0.0
x[0,0,3,1];0.0
x[0,0,3,2];1.0
x[0,0,3,3];0.0
x[0,0,4,0];0.0
x[0,0,4,1];0.0
x[0,0,4,2];0.0
x[0,0,4,3];1.0
x[0,0,5,0];1.0
x[0,0,5,1];1.0
x[0,0,5,2];0.0
x[0,0,5,3];0.0
x[0,0,6,0];0.0
x[0,0,6,1];0.0
x[0,0,6,2];0.0
x[0,0,6,3];0.0
x[0,0,7,0];0.0
x[0,0,7,1];0.0
x[0,0,7,2];0.0
x[0,0,7,3];1.0
x[0,0,8,0];0.0
x[0,0,8,1];0.0
x[0,0,8,2];0.0
x[0,0,8,3];0.0
x[0,0,9,0];0.0
x[0,0,9,1];0.0
x[0,0,9,2];0.0
x[0,0,9,3];1.0
x[0,1,0,0];0.0
x[0,1,0,1];0.0
x[0,1,0,2];0.0
x[0,1,0,3];0.0
x[0,1,1,0];1.0
x[0,1,1,1];0.0
x[0,1,1,2];0.0
x[0,1,1,3];0.0
x[0,1,10,0];0.0
x[0,1,10,1];0.0
x[0,1,10,2];0.0
x[0,1,10,3];0.0
x[0,1,2,0];0.0
x[0,1,2,1];0.0
x[0,1,2,2];0.0
x[0,1,2,3];0.0
x[0,1,3,0];0.0
x[0,1,3,1];0.0
x[0,1,3,2];0.0
x[0,1,3,3];1.0
x[0,1,4,0];0.0
x[0,1,4,1];0.0
x[0,1,4,2];0.0
x[0,1,4,3];0.0
x[0,1,5,0];0.0
x[0,1,5,1];0.0
x[0,1,5,2];1.0
x[0,1,5,3];0.0
x[0,1,6,0];0.0
x[0,1,6,1];0.0
x[0,1,6,2];0.0
x[0,1,6,3];0.0
x[0,1,7,0];0.0
x[0,1,7,1];0.0
x[0,1,7,2];0.0
x[0,1,7,3];0.0
x[0,1,8,0];0.0
x[0,1,8,1];1.0
x[0,1,8,2];0.0
x[0,1,8,3];0.0
