name;value
C2593;0.0
C2594;1.0
C2595;0.0
C2596;1.0
C2597;0.0
C2598;0.0
C2599;0.0
C2600;0.0
C2601;1.0
C2602;0.0
C2603;0.0
C2604;1.0
C2605;1.0
C2606;0.0
C2607;0.0
C2608;0.0
C2609;0.0
C2610;1.0
C2611;1.0
C2612;0.0
C2613;0.0
C2614;0.0
C2615;1.0
C2616;0.0
C2617;1.0
C2618;0.0
C2619;0.0
C2620;0.0
C2621;1.0
C2622;0.0
C2623;0.0
C2624;0.0
C2625;0.0
C2626;0.0
C2627;1.0
C2628;0.0
Z_FO;248.0
s[0,0,3];0.0
s[0,0,6];29.99999999999986
s[0,0,7];0.0
s[0,1,0];0.0
s[0,1,2];27.99999999999986
s[0,1,4];0.0
s[0,2,2];0.0
s[0,2,3];0.0
s[0,2,7];24.999999999999797
s[0,3,2];0.0
s[0,3,4];6.9999999999990905
s[0,3,7];0.0
s[1,0,1];23.999999999999993
s[1,0,3];0.0
s[1,0,4];0.0
s[1,1,0];0.0
s[1,1,1];0.0
s[1,1,4];13.99999999999909
s[1,2,4];0.0
s[1,2,5];0.0
s[1,2,7];11.99999999999983
s[1,3,0];11.99999999999909
s[1,3,2];0.0
s[1,3,7];0.0
s[10,0,3];0.0
s[10,0,5];0.0
s[10,0,7];2.0
s[10,1,0];0.0
s[10,1,2];0.0
s[10,1,5];0.0
s[10,2,1];0.0
s[10,2,3];0.0
s[10,2,4];0.0
s[10,3,1];0.0
s[10,3,5];0.0
s[10,3,6];0.0
s[11,0,0];0.0
s[11,0,3];24.99999999999639
s[11,0,5];0.0
s[11,1,0];22.99999999999909
s[11,1,4];0.0
s[11,1,5];0.0
s[11,2,1];0.0
s[11,2,2];0.0
s[11,2,3];17.99999999999639
s[11,3,0];18.99999999999909
s[11,3,3];0.0
s[11,3,5];0.0
s[2,0,1];0.0
s[2,0,5];0.0
s[2,0,6];37.99999999999977
s[2,1,3];0.0
s[2,1,4];0.0
s[2,1,5];29.999999999999794
s[2,2,1];0.0
s[2,2,2];20.99999999999986
s[2,2,3];0.0
s[2,3,4];0.9999999999996589
s[2,3,5];0.0
s[2,3,7];0.0
s[3,0,3];0.0
s[3,0,4];0.0
s[3,0,7];18.99999999999983
s[3,1,4];0.0
s[3,1,6];2.9999999999998863
s[3,1,7];0.0
s[3,2,0];3.0
s[3,2,4];0.0
s[3,2,7];0.0
s[3,3,0];0.0
s[3,3,5];4.999999999999786
s[3,3,7];0.0
s[4,0,5];35.999999999999794
s[4,0,6];0.0
s[4,0,7];0.0
s[4,1,0];0.0
s[4,1,3];0.0
s[4,1,4];24.99999999999909
s[4,2,1];31.999999999999794
s[4,2,5];0.0
s[4,2,7];0.0
s[4,3,0];0.0
s[4,3,5];0.0
s[4,3,7];32.999999999999794
s[5,0,1];0.0
s[5,0,3];0.0
s[5,0,4];37.99999999999909
s[5,1,1];0.0
s[5,1,3];35.99999999999909
s[5,1,6];0.0
s[5,2,0];30.99999999999909
s[5,2,6];0.0
s[5,2,7];0.0
s[5,3,3];0.0
s[5,3,4];0.0
s[5,3,5];11.999999999999794
s[6,0,1];39.999999999999794
s[6,0,2];0.0
s[6,0,4];0.0
s[6,1,0];0.0
s[6,1,4];20.99999999999909
s[6,1,5];0.0
s[6,2,4];0.0
s[6,2,5];0.0
s[6,2,6];10.999999999999861
s[6,3,3];0.0
s[6,3,4];0.0
s[6,3,6];0.0
s[7,0,0];0.0
s[7,0,3];13.999999999996419
s[7,0,4];0.0
s[7,1,2];11.999999999997328
s[7,1,4];0.0
s[7,1,6];0.0
s[7,2,1];7.999999999999999
s[7,2,2];0.0
s[7,2,3];0.0
s[7,3,1];0.0
s[7,3,3];6.999999999996415
s[7,3,6];0.0
s[8,0,0];47.99999999999642
s[8,0,4];0.0
s[8,0,5];0.0
s[8,1,0];0.0
s[8,1,3];0.0
s[8,1,4];43.99999999999642
s[8,2,1];19.999999999999993
s[8,2,5];0.0
s[8,2,7];0.0
s[8,3,0];41.99999999999642
s[8,3,2];0.0
s[8,3,6];0.0
s[9,0,5];0.0
s[9,0,6];45.99999999999639
s[9,0,7];0.0
s[9,1,1];0.0
s[9,1,4];0.0
s[9,1,7];42.99999999999639
s[9,2,3];43.99999999999639
s[9,2,4];0.0
s[9,2,5];0.0
s[9,3,2];38.99999999999639
s[9,3,4];0.0
s[9,3,6];0.0
x[0,0,0,0];0.0
x[0,0,0,1];0.0
x[0,0,0,2];0.0
x[0,0,0,3];0.0
x[0,0,1,0];0.0
x[0,0,1,1];0.0
x[0,0,1,2];0.0
x[0,0,1,3];0.0
x[0,0,10,0];0.0
x[0,0,10,1];0.0
x[0,0,10,2];0.0
x[0,0,10,3];0.0
x[0,0,11,0];0.0
x[0,0,11,1];0.0
x[0,0,11,2];0.0
x[0,0,11,3];0.0
x[0,0,2,0];0.0
x[0,0,2,1];0.0
x[0,0,2,2];0.0
x[0,0,2,3];0.0
x[0,0,3,0];0.0
x[0,0,3,1];1.0
x[0,0,3,2];0.0
x[0,0,3,3];0.0
x[0,0,4,0];0.0
x[0,0,4,1];0.0
x[0,0,4,2];0.0
x[0,0,4,3];0.0
x[0,0,5,0];0.0
x[0,0,5,1];0.0
x[0,0,5,2];0.0
x[0,0,5,3];0.0
x[0,0,6,0];0.0
x[0,0,6,1];0.0
x[0,0,6,2];1.0
x[0,0,6,3];0.0
x[0,0,7,0];0.0
x[0,0,7,1];0.0
x[0,0,7,2];0.0
x[0,0,7,3];0.0
x[0,0,8,0];0.0
x[0,0,8,1];0.0
x[0,0,8,2];0.0
x[0,0,8,3];0.0
x[0,0,9,0];0.0
x[0,0,9,1];0.0
x[0,0,9,2];0.0
x[0,0,9,3];0.0
x[0,1,0,0];0.0
x[0,1,0,1];0.0
x[0,1,0,2];0.0
x[0,1,0,3];0.0
x[0,1,1,0];0.0
x[0,1,1,1];0.0
x[0,1,1,2];0.0
x[0,1,1,3];0.0
x[0,1,10,0];0.0
x[0,1,10,1];1.0
x[0,1,10,2];0.0
x[0,1,10,3];0.0
x[0,1,11,0];0.0
x[0,1,11,1];0.0
x[0,1,11,2];0.0
x[0,1,11,3];0.0
x[0,1,2,0];0.0
x[0,1,2,1];0.0
x[0,1,2,2];1.0
x[0,1,2,3];0.0
x[0,1,3,0];0.0
x[0,1,3,1];0.0
x[0,1,3,2];0.0
x[0,1,3,3];0.0
x[0,1,4,0];0.0
x[0,1,4,1];0.0
x[0,1,4,2];0.0
x[0,1,4,3];0.0
x[0,1,5,0];0.0
x[0,1,5,1];0.0
x[0,1,5,2];0.0
x[0,1,5,3];0.0
x[0,1,6,0];0.0
x[0,1,6,1];0.0
x[0,1,6,2];0.0
x[0,1,6,3];0.0
x[0,1,7,0];0.0
x[0,1,7,1];1.0
x[0,1,7,2];0.0
x[0,1,7,3];0.0
x[0,1,8,0];0.0
x[0,1,8,1];0.0
x[0,1,8,2];0.0
x[0,1,8,3];0.0
x[0,1,9,0];0.0
x[0,1,9,1];0.0
x[0,1,9,2];0.0
x[0,1,9,3];0.0
x[0,2,0,0];1.0
x[0,2,0,1];1.0
x[0,2,0,2];0.0
x[0,2,0,3];0.0
x[0,2,1,0];0.0
x[0,2,1,1];0.0
x[0,2,1,2];1.0
x[0,2,1,3];0.0
x[0,2,10,0];1.0
x[0,2,10,1];0.0
x[0,2,10,2];0.0
x[0,2,10,3];0.0
x[0,2,11,0];0.0
x[0,2,11,1];0.0
x[0,2,11,2];0.0
x[0,2,11,3];0.0
x[0,2,2,0];0.0
x[0,2,2,1];0.0
x[0,2,2,2];0.0
x[0,2,2,3];0.0
x[0,2,3,0];1.0
x[0,2,3,1];0.0
x[0,2,3,2];1.0
x[0,2,3,3];0.0
x[0,2,4,0];0.0
x[0,2,4,1];0.0
x[0,2,4,2];0.0
x[0,2,4,3];0.0
x[0,2,5,0];0.0
x[0,2,5,1];0.0
x[0,2,5,2];0.0
x[0,2,5,3];0.0
x[0,2,6,0];0.0
x[0,2,6,1];0.0
x[0,2,6,2];0.0
x[0,2,6,3];0.0
x[0,2,7,0];0.0
x[0,2,7,1];0.0
x[0,2,7,2];0.0
x[0,2,7,3];0.0
x[0,2,8,0];0.0
x[0,2,8,1];0.0
x[0,2,8,2];0.0
x[0,2,8,3];0.0
x[0,2,9,0];0.0
x[0,2,9,1];0.0
