name;value
C2529;0.0
C2530;1.0
C2531;1.0
C2532;0.0
C2533;1.0
C2534;0.0
C2535;1.0
C2536;0.0
C2537;0.0
C2538;1.0
C2539;1.0
C2540;0.0
C2541;0.0
C2542;1.0
C2543;0.0
C2544;1.0
C2545;1.0
C2546;0.0
C2547;0.0
C2548;1.0
C2549;1.0
C2550;0.0
C2551;0.0
C2552;1.0
Z_FO;24957.0
s[0,0,6];0.0
s[0,0,7];1459.9999999999877
s[0,1,3];1309.9999999999836
s[0,1,4];0.0
s[0,1,6];0.0
s[0,2,1];0.0
s[0,2,3];0.0
s[0,2,6];1187.9999999999836
s[0,3,0];0.0
s[0,3,1];0.0
s[0,3,2];479.99999999998545
s[1,0,4];2118.9999999999836
s[1,0,7];0.0
s[1,1,4];0.0
s[1,1,5];2023.9999999999834
s[1,1,6];0.0
s[1,2,1];1759.9999999999782
s[1,2,2];0.0
s[1,3,0];1545.9999999999782
s[1,3,2];0.0
s[10,0,5];1749.9999999999834
s[10,0,7];0.0
s[10,1,4];0.0
s[10,1,6];1699.9999999999834
s[10,2,2];1110.0000000013583
s[10,2,3];0.0
s[10,3,1];0.0
s[10,3,2];880.0000000013703
s[11,0,4];0.0
s[11,0,7];4093.999999999787
s[11,1,4];0.0
s[11,1,5];3928.999999999879
s[11,1,6];0.0
s[11,2,2];3704.999999999879
s[11,2,4];0.0
s[11,3,1];1981.999999999979
s[11,3,2];0.0
s[2,0,5];786.9999999999836
s[2,0,7];0.0
s[2,1,3];0.0
s[2,1,4];686.9999999999836
s[2,1,5];0.0
s[2,2,2];0.0
s[2,2,3];0.0
s[2,2,6];541.9999999999836
s[2,3,0];0.0
s[2,3,1];479.99999999998545
s[3,0,4];3599.0000000003756
s[3,0,5];0.0
s[3,1,3];3454.000000000375
s[3,1,5];0.0
s[3,2,2];3085.9999999998295
s[3,2,4];0.0
s[3,3,0];2998.9999999998295
s[3,3,1];0.0
s[4,0,5];0.0
s[4,0,7];795.9999999999854
s[4,1,1];695.9999999999854
s[4,1,4];0.0
s[4,1,5];0.0
s[4,2,3];607.9999999998145
s[4,2,4];0.0
s[4,2,6];0.0
s[4,3,0];479.99999999998545
s[4,3,1];0.0
s[4,3,2];0.0
s[5,0,3];2877.9999999999836
s[5,0,6];0.0
s[5,1,4];0.0
s[5,1,5];0.0
s[5,1,6];2697.9999999999836
s[5,2,2];0.0
s[5,2,3];2228.999999999921
s[5,2,4];0.0
s[5,3,1];1019.9999999999833
s[5,3,2];0.0
s[5,3,3];0.0
s[6,0,4];0.0
s[6,0,7];2172.9999999999836
s[6,1,4];0.0
s[6,1,5];0.0
s[6,1,6];1994.9999999999834
s[6,2,2];0.0
s[6,2,4];1402.9999999999836
s[6,3,1];1217.9999999999836
s[6,3,2];0.0
s[7,0,6];0.0
s[7,0,7];3011.9999999999827
s[7,1,4];2866.9999999999827
s[7,1,5];0.0
s[7,1,6];0.0
s[7,2,4];2466.9999999999827
s[7,2,5];0.0
s[7,3,2];2068.000000001269
s[7,3,3];0.0
s[8,0,5];2496.9999999999836
s[8,0,7];0.0
s[8,1,4];0.0
s[8,1,6];2446.9999999999836
s[8,2,2];0.0
s[8,2,3];1717.9999999999836
s[8,3,1];0.0
s[8,3,2];1566.9999999999109
s[9,0,6];0.0
s[9,0,7];3521.9999999999827
s[9,1,4];0.0
s[9,1,5];0.0
s[9,1,6];3343.9999999999827
s[9,2,4];0.0
s[9,2,5];2888.9999999998686
s[9,3,2];2631.999999999885
s[9,3,3];0.0
x[0,0,0,0];0.0
x[0,0,0,1];0.0
x[0,0,0,2];0.0
x[0,0,0,3];0.0
x[0,0,1,0];0.0
x[0,0,1,1];0.0
x[0,0,1,2];0.0
x[0,0,1,3];0.0
x[0,0,10,0];0.0
x[0,0,10,1];0.0
x[0,0,10,2];0.0
x[0,0,10,3];0.0
x[0,0,11,0];0.0
x[0,0,11,1];0.0
x[0,0,11,2];0.0
x[0,0,11,3];0.0
x[0,0,2,0];1.0
x[0,0,2,1];0.0
x[0,0,2,2];0.0
x[0,0,2,3];0.0
x[0,0,3,0];0.0
x[0,0,3,1];0.0
x[0,0,3,2];0.0
x[0,0,3,3];0.0
x[0,0,4,0];1.0
x[0,0,4,1];0.0
x[0,0,4,2];0.0
x[0,0,4,3];0.0
x[0,0,5,0];1.0
x[0,0,5,1];1.0
x[0,0,5,2];0.0
x[0,0,5,3];0.0
x[0,0,6,0];0.0
x[0,0,6,1];0.0
x[0,0,6,2];0.0
x[0,0,6,3];0.0
x[0,0,7,0];0.0
x[0,0,7,1];0.0
x[0,0,7,2];0.0
x[0,0,7,3];0.0
x[0,0,8,0];0.0
x[0,0,8,1];0.0
x[0,0,8,2];0.0
x[0,0,8,3];0.0
x[0,0,9,0];0.0
x[0,0,9,1];0.0
x[0,0,9,2];0.0
x[0,0,9,3];0.0
x[0,1,0,0];1.0
x[0,1,0,1];0.0
x[0,1,0,2];0.0
x[0,1,0,3];0.0
x[0,1,1,0];1.0
x[0,1,1,1];0.0
x[0,1,1,2];0.0
x[0,1,1,3];0.0
x[0,1,10,0];0.0
x[0,1,10,1];1.0
x[0,1,10,2];0.0
x[0,1,10,3];0.0
x[0,1,11,0];0.0
x[0,1,11,1];0.0
x[0,1,11,2];0.0
x[0,1,11,3];0.0
x[0,1,2,0];0.0
x[0,1,2,1];0.0
x[0,1,2,2];0.0
x[0,1,2,3];0.0
x[0,1,3,0];0.0
x[0,1,3,1];0.0
x[0,1,3,2];0.0
x[0,1,3,3];0.0
x[0,1,4,0];0.0
x[0,1,4,1];0.0
x[0,1,4,2];1.0
x[0,1,4,3];0.0
x[0,1,5,0];0.0
x[0,1,5,1];1.0
x[0,1,5,2];0.0
x[0,1,5,3];0.0
x[0,1,6,0];0.0
x[0,1,6,1];0.0
x[0,1,6,2];1.0
x[0,1,6,3];0.0
x[0,1,7,0];0.0
x[0,1,7,1];0.0
x[0,1,7,2];1.0
x[0,1,7,3];0.0
x[0,1,8,0];0.0
x[0,1,8,1];1.0
x[0,1,8,2];0.0
x[0,1,8,3];0.0
x[0,1,9,0];1.0
x[0,1,9,1];1.0
x[0,1,9,2];0.0
x[0,1,9,3];0.0
x[0,2,0,0];1.0
x[0,2,0,1];1.0
x[0,2,0,2];0.0
x[0,2,0,3];0.0
x[0,2,1,0];0.0
x[0,2,1,1];1.0
x[0,2,1,2];1.0
x[0,2,1,3];0.0
x[0,2,10,0];0.0
x[0,2,10,1];0.0
x[0,2,10,2];0.0
x[0,2,10,3];0.0
x[0,2,11,0];0.0
x[0,2,11,1];0.0
x[0,2,11,2];0.0
x[0,2,11,3];1.0
x[0,2,2,0];0.0
x[0,2,2,1];1.0
x[0,2,2,2];1.0
x[0,2,2,3];0.0
x[0,2,3,0];0.0
x[0,2,3,1];0.0
x[0,2,3,2];0.0
x[0,2,3,3];0.0
