name;value
Z_FO;244.0
s[0,0,3];0.0
s[0,0,6];0.0
s[0,0,7];21.000000000000014
s[0,1,0];0.0
s[0,1,2];0.0
s[0,1,4];17.000000000000014
s[0,2,2];0.0
s[0,2,3];0.0
s[0,2,7];0.0
s[0,3,2];12.999999999999375
s[0,3,4];0.0
s[0,3,7];0.0
s[1,0,1];32.99999999999876
s[1,0,3];0.0
s[1,0,4];0.0
s[1,1,0];0.0
s[1,1,1];25.999999999997524
s[1,1,4];0.0
s[1,2,4];30.999999999998757
s[1,2,5];0.0
s[1,2,7];0.0
s[1,3,0];0.0
s[1,3,2];22.999999999997524
s[1,3,7];0.0
s[2,0,1];14.0
s[2,0,5];0.0
s[2,0,6];0.0
s[2,1,3];0.0
s[2,1,4];1.0000000000000462
s[2,1,5];0.0
s[2,2,1];0.0
s[2,2,2];2.999999999999318
s[2,2,3];0.0
s[2,3,4];0.0
s[2,3,5];1.9999999999999827
s[2,3,7];0.0
s[3,0,3];0.0
s[3,0,4];9.000000000000018
s[3,0,7];0.0
s[3,1,4];0.0
s[3,1,6];2.0
s[3,1,7];0.0
s[3,2,0];0.0
s[3,2,4];0.0
s[3,2,7];6.000000000000017
s[3,3,0];0.0
s[3,3,5];0.0
s[3,3,7];0.0
s[4,0,5];0.0
s[4,0,6];13.0
s[4,0,7];0.0
s[4,1,0];0.0
s[4,1,3];0.0
s[4,1,4];0.0
s[4,2,1];1.0
s[4,2,5];0.0
s[4,2,7];0.0
s[4,3,0];6.999999999999972
s[4,3,5];0.0
s[4,3,7];0.0
s[5,0,1];0.0
s[5,0,3];35.00000000000006
s[5,0,4];0.0
s[5,1,1];0.0
s[5,1,3];21.0
s[5,1,6];0.0
s[5,2,0];31.999999999999968
s[5,2,6];0.0
s[5,2,7];0.0
s[5,3,3];0.0
s[5,3,4];0.0
s[5,3,5];28.999999999999968
s[6,0,1];0.0
s[6,0,2];31.000000000000817
s[6,0,4];0.0
s[6,1,0];0.0
s[6,1,4];0.0
s[6,1,5];23.999999999999968
s[6,2,4];0.0
s[6,2,5];0.0
s[6,2,6];27.0
s[6,3,3];13.0
s[6,3,4];0.0
s[6,3,6];0.0
s[7,0,0];0.0
s[7,0,3];0.0
s[7,0,4];48.00000000000036
s[7,1,2];0.0
s[7,1,4];23.000000000000032
s[7,1,6];0.0
s[7,2,1];0.0
s[7,2,2];41.00000000000047
s[7,2,3];0.0
s[7,3,1];0.0
s[7,3,3];0.0
s[7,3,6];44.00000000000047
s[8,0,0];17.99999999999997
s[8,0,4];0.0
s[8,0,5];0.0
s[8,1,0];0.0
s[8,1,3];9.0
s[8,1,4];0.0
s[8,2,1];0.0
s[8,2,5];13.999999999999972
s[8,2,7];0.0
s[8,3,0];0.0
s[8,3,2];7.999999999999375
s[8,3,6];0.0
x[0,0,0,0];0.0
x[0,0,0,1];0.0
x[0,0,0,2];1.0
x[0,0,0,3];1.0
x[0,0,1,0];0.0
x[0,0,1,1];0.0
x[0,0,1,2];0.0
x[0,0,1,3];0.0
x[0,0,2,0];0.0
x[0,0,2,1];0.0
x[0,0,2,2];0.0
x[0,0,2,3];0.0
x[0,0,3,0];0.0
x[0,0,3,1];1.0
x[0,0,3,2];1.0
x[0,0,3,3];1.0
x[0,0,4,0];1.0
x[0,0,4,1];0.0
x[0,0,4,2];0.0
x[0,0,4,3];1.0
x[0,0,5,0];0.0
x[0,0,5,1];0.0
x[0,0,5,2];0.0
x[0,0,5,3];0.0
x[0,0,6,0];0.0
x[0,0,6,1];0.0
x[0,0,6,2];1.0
x[0,0,6,3];0.0
x[0,0,7,0];1.0
x[0,0,7,1];0.0
x[0,0,7,2];0.0
x[0,0,7,3];0.0
x[0,0,8,0];0.0
x[0,0,8,1];0.0
x[0,0,8,2];0.0
x[0,0,8,3];1.0
x[0,1,0,0];0.0
x[0,1,0,1];0.0
x[0,1,0,2];0.0
x[0,1,0,3];1.0
x[0,1,1,0];0.0
x[0,1,1,1];0.0
x[0,1,1,2];0.0
x[0,1,1,3];0.0
x[0,1,2,0];0.0
x[0,1,2,1];1.0
x[0,1,2,2];0.0
x[0,1,2,3];0.0
x[0,1,3,0];1.0
x[0,1,3,1];0.0
x[0,1,3,2];0.0
x[0,1,3,3];1.0
x[0,1,4,0];0.0
x[0,1,4,1];1.0
x[0,1,4,2];0.0
x[0,1,4,3];1.0
x[0,1,5,0];0.0
x[0,1,5,1];0.0
x[0,1,5,2];0.0
x[0,1,5,3];0.0
x[0,1,6,0];1.0
