;Job;Op;Start;Finish;Start_f;Finish_f;Resource
1;0;1;2023-01-01 06:15:00;2023-01-01 08:18:00;375;498;Machine 01
9;3;0;2023-01-01 02:23:00;2023-01-01 03:50:00;143;230;Machine 01
12;4;0;2023-01-01 00:00:00;2023-01-01 02:08:00;0;128;Machine 01
0;0;0;2023-01-01 03:58:00;2023-01-01 06:01:00;238;361;Machine 02
6;2;0;2023-01-01 02:42:00;2023-01-01 03:44:00;162;224;Machine 02
15;5;0;2023-01-01 00:00:00;2023-01-01 02:25:00;0;145;Machine 02
3;1;0;2023-01-01 00:00:00;2023-01-01 02:30:00;0;150;Machine 03
4;1;1;2023-01-01 02:47:00;2023-01-01 04:14:00;167;254;Machine 03
8;2;2;2023-01-01 06:20:00;2023-01-01 09:30:00;380;570;Machine 04
11;3;2;2023-01-01 09:49:00;2023-01-01 12:14:00;589;734;Machine 04
16;5;1;2023-01-01 02:25:00;2023-01-01 04:55:00;145;295;Machine 04
10;3;1;2023-01-01 04:11:00;2023-01-01 07:04:00;251;424;Machine 05
13;4;1;2023-01-01 02:08:00;2023-01-01 02:55:00;128;175;Machine 05
5;1;2;2023-01-01 04:32:00;2023-01-01 06:07:00;272;367;Machine 06
14;4;2;2023-01-01 02:55:00;2023-01-01 04:20:00;175;260;Machine 06
17;5;2;2023-01-01 06:20:00;2023-01-01 10:20:00;380;620;Machine 06
2;0;2;2023-01-01 08:28:00;2023-01-01 11:48:00;508;708;Machine 07
7;2;1;2023-01-01 03:44:00;2023-01-01 06:09:00;224;369;Machine 07
