;Job;Op;Start;Finish;Start_f;Finish_f;Resource
0;0;0;2023-01-04 21:40:00;2023-01-05 13:40:00;5620;6580;Machine 01
70;13;0;2023-01-06 03:12:00;2023-01-06 19:12:00;7392;8352;Machine 01
89;17;0;2023-01-01 08:02:00;2023-01-01 20:02:00;482;1202;Machine 01
98;19;0;2023-01-07 16:25:00;2023-01-08 04:25:00;9625;10345;Machine 01
100;20;0;2023-01-09 04:47:00;2023-01-09 08:47:00;11807;12047;Machine 01
126;25;0;2023-01-07 04:25:00;2023-01-07 16:25:00;8905;9625;Machine 01
131;27;0;2023-01-01 00:00:00;2023-01-01 08:00:00;0;480;Machine 01
146;30;0;2023-01-04 17:40:00;2023-01-04 21:40:00;5380;5620;Machine 01
155;32;0;2023-01-08 04:30:00;2023-01-08 16:30:00;10350;11070;Machine 01
160;34;0;2023-01-01 20:04:00;2023-01-02 04:04:00;1204;1684;Machine 01
178;38;0;2023-01-03 02:56:00;2023-01-04 02:56:00;3056;4496;Machine 01
187;40;0;2023-01-09 08:52:00;2023-01-09 16:52:00;12052;12532;Machine 01
239;49;0;2023-01-08 16:40:00;2023-01-09 04:40:00;11080;11800;Machine 01
241;50;0;2023-01-10 04:58:00;2023-01-10 12:58:00;13258;13738;Machine 01
251;52;0;2023-01-02 12:08:00;2023-01-03 00:08:00;2168;2888;Machine 01
262;55;0;2023-01-09 16:52:00;2023-01-09 20:52:00;12532;12772;Machine 01
281;59;0;2023-01-09 20:52:00;2023-01-10 00:52:00;12772;13012;Machine 01
32;6;0;2023-01-02 04:04:00;2023-01-02 12:04:00;1684;2164;Machine 01
288;60;0;2023-01-10 00:58:00;2023-01-10 04:58:00;13018;13258;Machine 01
63;12;0;2023-01-04 17:39:00;2023-01-04 21:39:00;5379;5619;Machine 02
77;14;0;2023-01-07 04:27:00;2023-01-07 16:27:00;8907;9627;Machine 02
79;15;0;2023-01-08 04:29:00;2023-01-08 12:29:00;10349;10829;Machine 02
110;22;0;2023-01-01 00:00:00;2023-01-01 08:00:00;0;480;Machine 02
119;24;0;2023-01-08 12:35:00;2023-01-08 16:35:00;10835;11075;Machine 02
16;3;0;2023-01-01 16:06:00;2023-01-02 16:06:00;966;2406;Machine 02
153;31;0;2023-01-07 16:29:00;2023-01-08 04:29:00;9629;10349;Machine 02
194;41;0;2023-01-08 16:38:00;2023-01-09 00:38:00;11078;11558;Machine 02
204;43;0;2023-01-01 08:03:00;2023-01-01 16:03:00;483;963;Machine 02
225;47;0;2023-01-10 04:47:00;2023-01-10 08:47:00;13247;13487;Machine 02
232;48;0;2023-01-09 00:38:00;2023-01-09 16:38:00;11558;12518;Machine 02
25;5;0;2023-01-04 21:47:00;2023-01-05 05:47:00;5627;6107;Machine 02
260;54;0;2023-01-09 16:46:00;2023-01-10 04:46:00;12526;13246;Machine 02
272;57;0;2023-01-02 16:15:00;2023-01-03 00:15:00;2415;2895;Machine 02
42;8;0;2023-01-03 02:59:00;2023-01-03 10:59:00;3059;3539;Machine 02
1;0;1;2023-01-05 13:49:00;2023-01-05 21:49:00;6589;7069;Machine 03
9;1;2;2023-01-05 01:53:00;2023-01-05 03:53:00;5873;5993;Machine 03
53;10;2;2023-01-06 13:29:00;2023-01-06 15:29:00;8009;8129;Machine 03
59;11;2;2023-01-06 10:22:00;2023-01-06 12:22:00;7822;7942;Machine 03
64;12;1;2023-01-04 21:47:00;2023-01-04 23:47:00;5627;5747;Machine 03
71;13;1;2023-01-06 19:17:00;2023-01-07 03:17:00;8357;8837;Machine 03
80;15;1;2023-01-08 12:37:00;2023-01-08 16:37:00;10837;11077;Machine 03
90;17;1;2023-01-01 20:11:00;2023-01-01 23:11:00;1211;1391;Machine 03
101;20;1;2023-01-09 08:55:00;2023-01-09 10:55:00;12055;12175;Machine 03
111;22;1;2023-01-01 10:03:00;2023-01-01 12:03:00;603;723;Machine 03
120;24;1;2023-01-08 20:42:00;2023-01-08 22:42:00;11322;11442;Machine 03
132;27;1;2023-01-01 08:00:00;2023-01-01 10:00:00;480;600;Machine 03
142;29;2;2023-01-07 12:36:00;2023-01-07 14:36:00;9396;9516;Machine 03
17;3;1;2023-01-02 16:19:00;2023-01-02 22:19:00;2419;2779;Machine 03
147;30;1;2023-01-04 23:50:00;2023-01-05 01:50:00;5750;5870;Machine 03
161;34;1;2023-01-02 04:14:00;2023-01-02 06:14:00;1694;1814;Machine 03
171;36;2;2023-01-07 03:18:00;2023-01-07 05:18:00;8838;8958;Machine 03
179;38;1;2023-01-04 02:58:00;2023-01-04 08:58:00;4498;4858;Machine 03
188;40;1;2023-01-10 00:52:00;2023-01-10 04:52:00;13012;13252;Machine 03
195;41;1;2023-01-09 00:44:00;2023-01-09 04:44:00;11564;11804;Machine 03
205;43;1;2023-01-01 16:06:00;2023-01-01 18:06:00;966;1086;Machine 03
215;45;2;2023-01-08 16:40:00;2023-01-08 18:40:00;11080;11200;Machine 03
221;46;2;2023-01-08 18:40:00;2023-01-08 20:40:00;11200;11320;Machine 03
226;47;1;2023-01-10 09:01:00;2023-01-10 11:01:00;13501;13621;Machine 03
233;48;1;2023-01-09 16:47:00;2023-01-10 00:47:00;12527;13007;Machine 03
26;5;1;2023-01-05 05:50:00;2023-01-05 09:50:00;6110;6350;Machine 03
242;50;1;2023-01-10 13:12:00;2023-01-10 17:12:00;13752;13992;Machine 03
252;52;1;2023-01-03 00:10:00;2023-01-03 03:10:00;2890;3070;Machine 03
263;55;1;2023-01-10 04:56:00;2023-01-10 06:56:00;13256;13376;Machine 03
273;57;1;2023-01-03 03:11:00;2023-01-03 05:11:00;3071;3191;Machine 03
282;59;1;2023-01-10 06:58:00;2023-01-10 08:58:00;13378;13498;Machine 03
33;6;1;2023-01-02 12:14:00;2023-01-02 16:14:00;2174;2414;Machine 03
289;60;1;2023-01-10 11:03:00;2023-01-10 13:03:00;13623;13743;Machine 03
43;8;1;2023-01-03 11:00:00;2023-01-03 13:00:00;3540;3660;Machine 03
57;11;0;2023-01-06 03:11:00;2023-01-06 07:11:00;7391;7631;Machine 04
60;11;3;2023-01-06 12:22:00;2023-01-06 18:22:00;7942;8302;Machine 04
65;12;2;2023-01-04 23:49:00;2023-01-05 02:49:00;5749;5929;Machine 04
133;27;2;2023-01-01 10:00:00;2023-01-01 16:00:00;600;960;Machine 04
140;29;0;2023-01-07 04:25:00;2023-01-07 08:25:00;8905;9145;Machine 04
143;29;3;2023-01-07 14:36:00;2023-01-07 20:36:00;9516;9876;Machine 04
18;3;2;2023-01-02 22:21:00;2023-01-03 16:21:00;2781;3861;Machine 04
196;41;2;2023-01-09 04:45:00;2023-01-09 10:45:00;11805;12165;Machine 04
213;45;0;2023-01-08 05:38:00;2023-01-08 09:38:00;10418;10658;Machine 04
216;45;3;2023-01-08 18:40:00;2023-01-09 00:40:00;11200;11560;Machine 04
27;5;2;2023-01-05 09:54:00;2023-01-05 15:54:00;6354;6714;Machine 04
243;50;2;2023-01-10 17:14:00;2023-01-10 23:14:00;13994;14354;Machine 04
264;55;2;2023-01-10 07:02:00;2023-01-10 10:02:00;13382;13562;Machine 04
10;1;3;2023-01-05 03:53:00;2023-01-05 09:53:00;5993;6353;Machine 05
72;13;2;2023-01-07 03:18:00;2023-01-07 15:18:00;8838;9558;Machine 05
112;22;2;2023-01-01 12:03:00;2023-01-01 18:03:00;723;1083;Machine 05
169;36;0;2023-01-06 03:20:00;2023-01-06 07:20:00;7400;7640;Machine 05
