;Job;Op;Start;Finish;Start_f;Finish_f;Resource
1;1;0;2023-01-01 00:40:00;2023-01-01 05:38:00;40;338;Machine 01
11;11;0;2023-01-01 14:02:00;2023-01-01 18:31:00;842;1111;Machine 01
16;16;0;2023-01-01 18:36:00;2023-01-01 21:43:00;1116;1303;Machine 01
17;17;0;2023-01-01 21:47:00;2023-01-02 02:28:00;1307;1588;Machine 01
39;39;0;2023-01-03 08:21:00;2023-01-03 10:48:00;3381;3528;Machine 01
46;46;0;2023-01-01 05:38:00;2023-01-01 14:02:00;338;842;Machine 01
62;62;0;2023-01-01 00:00:00;2023-01-01 00:40:00;0;40;Machine 01
0;0;0;2023-01-01 00:00:00;2023-01-01 04:00:00;0;240;Machine 02
63;63;0;2023-01-01 22:30:00;2023-01-01 23:01:00;1350;1381;Machine 02
31;31;0;2023-01-02 21:03:00;2023-01-03 01:23:00;2703;2963;Machine 03
34;34;0;2023-01-01 00:00:00;2023-01-01 04:52:00;0;292;Machine 03
50;50;0;2023-01-01 04:55:00;2023-01-02 20:55:00;295;2695;Machine 03
2;2;0;2023-01-01 00:00:00;2023-01-01 02:31:00;0;151;Machine 04
3;3;0;2023-01-03 08:18:00;2023-01-03 15:45:00;3378;3825;Machine 05
4;4;0;2023-01-01 00:00:00;2023-01-01 07:27:00;0;447;Machine 05
55;55;0;2023-01-01 07:35:00;2023-01-01 17:35:00;455;1055;Machine 05
59;59;0;2023-01-01 22:28:00;2023-01-02 15:54:00;1348;2394;Machine 05
68;68;0;2023-01-01 17:46:00;2023-01-01 20:38:00;1066;1238;Machine 05
21;21;0;2023-01-01 00:00:00;2023-01-01 01:53:00;0;113;Machine 06
22;22;0;2023-01-02 20:57:00;2023-01-02 22:50:00;2697;2810;Machine 06
41;41;0;2023-01-01 01:53:00;2023-01-01 08:17:00;113;497;Machine 06
5;5;0;2023-01-01 03:01:00;2023-01-01 06:30:00;181;390;Machine 07
6;6;0;2023-01-01 00:00:00;2023-01-01 03:00:00;0;180;Machine 07
61;61;0;2023-01-02 09:47:00;2023-01-02 14:24:00;2027;2304;Machine 08
67;67;0;2023-01-01 00:00:00;2023-01-01 02:59:00;0;179;Machine 08
7;7;0;2023-01-01 02:59:00;2023-01-01 13:39:00;179;819;Machine 08
54;54;0;2023-01-01 00:00:00;2023-01-02 01:10:00;0;1510;Machine 09
14;14;0;2023-01-01 01:23:00;2023-01-01 03:33:00;83;213;Machine 10
15;15;0;2023-01-01 11:47:00;2023-01-01 20:06:00;707;1206;Machine 10
23;23;0;2023-01-01 03:43:00;2023-01-01 11:37:00;223;697;Machine 10
8;8;0;2023-01-01 00:00:00;2023-01-01 01:23:00;0;83;Machine 10
49;49;0;2023-01-01 00:00:00;2023-01-01 01:33:00;0;93;Machine 11
9;9;0;2023-01-01 01:40:00;2023-01-03 09:00:00;100;3420;Machine 11
12;12;0;2023-01-01 00:00:00;2023-01-01 02:10:00;0;130;Machine 12
