Job;Op;Start;Finish;Start_f;Finish_f;Resource
0;0;2023-01-01 00:08:00;2023-01-01 01:48:00;8.0;108.0;Machine 03
0;1;2023-01-01 01:48:00;2023-01-01 03:51:00;108.0;231.0;Machine 07
0;2;2023-01-01 04:33:00;2023-01-01 07:13:00;273.0;433.0;Machine 05
0;3;2023-01-01 08:19:00;2023-01-01 10:44:00;499.0;644.0;Machine 08
1;0;2023-01-01 04:12:00;2023-01-01 07:46:00;252.0;466.0;Machine 01
1;1;2023-01-01 08:45:00;2023-01-01 09:51:00;525.0;591.0;Machine 02
1;2;2023-01-01 10:29:00;2023-01-01 12:59:00;629.0;779.0;Machine 07
1;3;2023-01-01 12:59:00;2023-01-01 14:59:00;779.0;899.0;Machine 05
2;0;2023-01-01 00:00:00;2023-01-01 01:02:00;0.0;62.0;Machine 02
2;1;2023-01-01 01:02:00;2023-01-01 02:47:00;62.0;167.0;Machine 04
2;2;2023-01-01 02:47:00;2023-01-01 05:20:00;167.0;320.0;Machine 06
2;3;2023-01-01 05:20:00;2023-01-01 08:05:00;320.0;485.0;Machine 08
3;0;2023-01-01 00:00:00;2023-01-01 01:27:00;0.0;87.0;Machine 01
3;1;2023-01-01 01:27:00;2023-01-01 04:20:00;87.0;260.0;Machine 05
3;2;2023-01-01 05:33:00;2023-01-01 07:49:00;333.0;469.0;Machine 06
3;3;2023-01-01 08:03:00;2023-01-01 10:53:00;483.0;653.0;Machine 06
4;0;2023-01-01 01:44:00;2023-01-01 03:52:00;104.0;232.0;Machine 01
4;1;2023-01-01 04:08:00;2023-01-01 05:34:00;248.0;334.0;Machine 07
4;2;2023-01-01 06:47:00;2023-01-01 08:27:00;407.0;507.0;Machine 02
4;3;2023-01-01 11:02:00;2023-01-01 13:47:00;662.0;827.0;Machine 08
5;0;2023-01-01 01:17:00;2023-01-01 03:42:00;77.0;222.0;Machine 02
5;1;2023-01-01 03:42:00;2023-01-01 06:12:00;222.0;372.0;Machine 04
5;2;2023-01-01 06:12:00;2023-01-01 09:12:00;372.0;552.0;Machine 07
5;3;2023-01-01 09:24:00;2023-01-01 10:14:00;564.0;614.0;Machine 07
6;0;2023-01-01 02:04:00;2023-01-01 04:29:00;124.0;269.0;Machine 03
6;1;2023-01-01 04:43:00;2023-01-01 06:47:00;283.0;407.0;Machine 03
6;2;2023-01-01 07:25:00;2023-01-01 09:50:00;445.0;590.0;Machine 05
6;3;2023-01-01 10:04:00;2023-01-01 12:24:00;604.0;744.0;Machine 05
7;0;2023-01-01 11:01:00;2023-01-01 15:06:00;661.0;906.0;Machine 04
7;1;2023-01-01 15:06:00;2023-01-01 18:50:00;906.0;1130.0;Machine 06
7;2;2023-01-01 18:50:00;2023-01-01 21:15:00;1130.0;1275.0;Machine 05
7;3;2023-01-01 21:15:00;2023-01-01 23:45:00;1275.0;1425.0;Machine 08
8;0;2023-01-01 07:07:00;2023-01-01 09:37:00;427.0;577.0;Machine 03
8;1;2023-01-01 09:57:00;2023-01-01 12:57:00;597.0;777.0;Machine 03
8;2;2023-01-01 13:13:00;2023-01-01 14:03:00;793.0;843.0;Machine 07
8;3;2023-01-01 14:03:00;2023-01-01 16:53:00;843.0;1013.0;Machine 08
9;0;2023-01-01 06:30:00;2023-01-01 10:35:00;390.0;635.0;Machine 04
9;1;2023-01-01 11:10:00;2023-01-01 14:54:00;670.0;894.0;Machine 06
9;2;2023-01-01 15:15:00;2023-01-01 17:40:00;915.0;1060.0;Machine 05
9;3;2023-01-01 17:40:00;2023-01-01 20:10:00;1060.0;1210.0;Machine 07
10;0;2023-01-01 03:59:00;2023-01-01 06:29:00;239.0;389.0;Machine 02
10;1;2023-01-01 13:10:00;2023-01-01 16:10:00;790.0;970.0;Machine 03
10;2;2023-01-01 16:10:00;2023-01-01 17:00:00;970.0;1020.0;Machine 07
10;3;2023-01-01 17:05:00;2023-01-01 19:55:00;1025.0;1195.0;Machine 08
