Job;Op;Start;Finish;Start_f;Finish_f;Resource
0;0;2023-01-01 00:29:00;2023-01-01 02:09:00;29.0;129.0;Machine 03
0;1;2023-01-01 05:19:00;2023-01-01 07:29:00;319.0;449.0;Machine 02
0;2;2023-01-01 07:29:00;2023-01-01 09:59:00;449.0;599.0;Machine 04
0;3;2023-01-01 10:44:00;2023-01-01 13:09:00;644.0;789.0;Machine 06
1;0;2023-01-01 04:14:00;2023-01-01 07:48:00;254.0;468.0;Machine 01
1;1;2023-01-01 07:48:00;2023-01-01 08:54:00;468.0;534.0;Machine 02
1;2;2023-01-01 08:54:00;2023-01-01 10:29:00;534.0;629.0;Machine 06
1;3;2023-01-01 11:11:00;2023-01-01 13:11:00;671.0;791.0;Machine 05
2;0;2023-01-01 00:10:00;2023-01-01 01:12:00;10.0;72.0;Machine 02
2;1;2023-01-01 01:12:00;2023-01-01 03:37:00;72.0;217.0;Machine 07
2;2;2023-01-01 03:37:00;2023-01-01 05:17:00;217.0;317.0;Machine 05
2;3;2023-01-01 05:17:00;2023-01-01 08:02:00;317.0;482.0;Machine 07
3;0;2023-01-01 02:34:00;2023-01-01 04:01:00;154.0;241.0;Machine 01
3;1;2023-01-01 06:11:00;2023-01-01 10:21:00;371.0;621.0;Machine 03
3;2;2023-01-01 10:21:00;2023-01-01 12:46:00;621.0;766.0;Machine 04
3;3;2023-01-01 13:22:00;2023-01-01 16:12:00;802.0;972.0;Machine 06
4;0;2023-01-01 00:10:00;2023-01-01 02:18:00;10.0;138.0;Machine 01
4;1;2023-01-01 02:18:00;2023-01-01 03:05:00;138.0;185.0;Machine 05
4;2;2023-01-01 03:05:00;2023-01-01 04:30:00;185.0;270.0;Machine 06
4;3;2023-01-01 04:30:00;2023-01-01 07:15:00;270.0;435.0;Machine 04
5;0;2023-01-01 01:30:00;2023-01-01 03:55:00;90.0;235.0;Machine 02
5;1;2023-01-01 03:55:00;2023-01-01 05:58:00;235.0;358.0;Machine 03
5;2;2023-01-01 05:58:00;2023-01-01 07:58:00;358.0;478.0;Machine 05
5;3;2023-01-01 08:15:00;2023-01-01 09:05:00;495.0;545.0;Machine 07
6;0;2023-01-01 09:05:00;2023-01-01 11:42:00;545.0;702.0;Machine 02
6;1;2023-01-01 11:42:00;2023-01-01 13:46:00;702.0;826.0;Machine 03
6;2;2023-01-01 13:46:00;2023-01-01 16:11:00;826.0;971.0;Machine 05
6;3;2023-01-01 16:25:00;2023-01-01 18:45:00;985.0;1125.0;Machine 05
7;0;2023-01-01 00:08:00;2023-01-01 04:13:00;8.0;253.0;Machine 04
7;1;2023-01-01 04:43:00;2023-01-01 08:27:00;283.0;507.0;Machine 06
7;2;2023-01-01 08:27:00;2023-01-01 10:52:00;507.0;652.0;Machine 05
7;3;2023-01-01 10:52:00;2023-01-01 13:22:00;652.0;802.0;Machine 07
