Job;Op;Start;Finish;Resource
4;0;2023-01-01 00:00:00;2023-01-01 00:10:00;Machine 1
5;0;2023-01-01 00:10:00;2023-01-01 00:29:00;Machine 1
9;0;2023-01-01 00:29:00;2023-01-01 00:48:00;Machine 1
2;1;2023-01-01 00:14:00;2023-01-01 00:26:00;Machine 10
3;1;2023-01-01 00:29:00;2023-01-01 00:42:00;Machine 10
6;2;2023-01-01 00:42:00;2023-01-01 00:56:00;Machine 10
4;1;2023-01-01 00:10:00;2023-01-01 00:23:00;Machine 11
0;2;2023-01-01 00:24:00;2023-01-01 00:36:00;Machine 11
8;2;2023-01-01 00:37:00;2023-01-01 00:56:00;Machine 11
4;3;2023-01-01 00:33:00;2023-01-01 00:43:00;Machine 12
2;3;2023-01-01 00:43:00;2023-01-01 00:54:00;Machine 12
6;1;2023-01-01 00:31:00;2023-01-01 00:41:00;Machine 13
3;2;2023-01-01 00:42:00;2023-01-01 00:52:00;Machine 13
3;3;2023-01-01 00:52:00;2023-01-01 01:05:00;Machine 13
8;1;2023-01-01 00:25:00;2023-01-01 00:37:00;Machine 14
9;2;2023-01-01 00:59:00;2023-01-01 01:10:00;Machine 14
7;1;2023-01-01 00:18:00;2023-01-01 00:34:00;Machine 15
7;2;2023-01-01 00:34:00;2023-01-01 00:45:00;Machine 15
1;2;2023-01-01 00:46:00;2023-01-01 01:02:00;Machine 16
9;3;2023-01-01 01:10:00;2023-01-01 01:20:00;Machine 16
8;4;2023-01-01 01:07:00;2023-01-01 01:20:00;Machine 17
6;4;2023-01-01 01:20:00;2023-01-01 01:31:00;Machine 17
2;4;2023-01-01 00:54:00;2023-01-01 01:16:00;Machine 18
3;4;2023-01-01 01:16:00;2023-01-01 01:31:00;Machine 18
0;4;2023-01-01 00:51:00;2023-01-01 01:05:00;Machine 19
5;4;2023-01-01 01:05:00;2023-01-01 01:20:00;Machine 19
9;4;2023-01-01 01:20:00;2023-01-01 01:31:00;Machine 19
7;0;2023-01-01 00:00:00;2023-01-01 00:18:00;Machine 2
3;0;2023-01-01 00:18:00;2023-01-01 00:29:00;Machine 2
4;4;2023-01-01 00:43:00;2023-01-01 00:53:00;Machine 20
7;4;2023-01-01 00:57:00;2023-01-01 01:16:00;Machine 20
1;4;2023-01-01 01:16:00;2023-01-01 01:31:00;Machine 20
2;0;2023-01-01 00:00:00;2023-01-01 00:14:00;Machine 3
6;0;2023-01-01 00:14:00;2023-01-01 00:31:00;Machine 3
0;0;2023-01-01 00:00:00;2023-01-01 00:13:00;Machine 4
8;0;2023-01-01 00:13:00;2023-01-01 00:25:00;Machine 4
1;0;2023-01-01 00:25:00;2023-01-01 00:36:00;Machine 4
5;2;2023-01-01 00:39:00;2023-01-01 00:52:00;Machine 5
4;2;2023-01-01 00:23:00;2023-01-01 00:33:00;Machine 6
1;1;2023-01-01 00:36:00;2023-01-01 00:46:00;Machine 6
9;1;2023-01-01 00:48:00;2023-01-01 00:59:00;Machine 6
1;3;2023-01-01 01:02:00;2023-01-01 01:16:00;Machine 6
0;1;2023-01-01 00:13:00;2023-01-01 00:24:00;Machine 7
5;1;2023-01-01 00:29:00;2023-01-01 00:39:00;Machine 7
5;3;2023-01-01 00:52:00;2023-01-01 01:02:00;Machine 7
0;3;2023-01-01 00:36:00;2023-01-01 00:51:00;Machine 8
8;3;2023-01-01 00:56:00;2023-01-01 01:07:00;Machine 8
2;2;2023-01-01 00:26:00;2023-01-01 00:42:00;Machine 9
7;3;2023-01-01 00:45:00;2023-01-01 00:57:00;Machine 9
6;3;2023-01-01 00:57:00;2023-01-01 01:16:00;Machine 9
