name;value
C_max;91.0
startT[job:0, stage:0, machine:1];0.0
startT[job:0, stage:0, machine:2];0.0
startT[job:0, stage:0, machine:3];12.0
startT[job:0, stage:0, machine:4];0.0
startT[job:0, stage:1, machine:13];23.0
startT[job:0, stage:1, machine:14];0.0
startT[job:0, stage:1, machine:15];0.0
startT[job:0, stage:1, machine:16];0.0
startT[job:0, stage:1, machine:5];0.0
startT[job:0, stage:1, machine:6];0.0
startT[job:0, stage:1, machine:7];0.0
startT[job:0, stage:1, machine:8];0.0
startT[job:0, stage:2, machine:10];0.0
startT[job:0, stage:2, machine:11];0.0
startT[job:0, stage:2, machine:12];34.0
startT[job:0, stage:2, machine:13];0.0
startT[job:0, stage:2, machine:14];0.0
startT[job:0, stage:2, machine:15];0.0
startT[job:0, stage:2, machine:16];0.0
startT[job:0, stage:2, machine:5];0.0
startT[job:0, stage:2, machine:6];0.0
startT[job:0, stage:2, machine:7];0.0
startT[job:0, stage:2, machine:8];0.0
startT[job:0, stage:2, machine:9];0.0
startT[job:0, stage:3, machine:13];55.0
startT[job:0, stage:3, machine:14];0.0
startT[job:0, stage:3, machine:15];0.0
startT[job:0, stage:3, machine:16];0.0
startT[job:0, stage:4, machine:17];0.0
startT[job:0, stage:4, machine:18];0.0
startT[job:0, stage:4, machine:19];0.0
startT[job:0, stage:4, machine:20];68.0
startT[job:1, stage:0, machine:1];0.0
startT[job:1, stage:0, machine:2];0.0
startT[job:1, stage:0, machine:3];0.0
startT[job:1, stage:0, machine:4];0.0
startT[job:1, stage:1, machine:10];0.0
startT[job:1, stage:1, machine:11];0.0
startT[job:1, stage:1, machine:12];0.0
startT[job:1, stage:1, machine:9];19.0
startT[job:1, stage:2, machine:13];0.0
startT[job:1, stage:2, machine:14];0.0
startT[job:1, stage:2, machine:15];0.0
startT[job:1, stage:2, machine:16];32.0
startT[job:1, stage:2, machine:5];0.0
startT[job:1, stage:2, machine:6];0.0
startT[job:1, stage:2, machine:7];0.0
startT[job:1, stage:2, machine:8];0.0
startT[job:1, stage:3, machine:10];0.0
startT[job:1, stage:3, machine:11];43.0
startT[job:1, stage:3, machine:12];0.0
startT[job:1, stage:3, machine:13];0.0
startT[job:1, stage:3, machine:14];0.0
startT[job:1, stage:3, machine:15];0.0
startT[job:1, stage:3, machine:16];0.0
startT[job:1, stage:3, machine:9];0.0
startT[job:1, stage:4, machine:17];0.0
startT[job:1, stage:4, machine:18];0.0
startT[job:1, stage:4, machine:19];63.0
startT[job:1, stage:4, machine:20];0.0
startT[job:2, stage:0, machine:1];29.0
startT[job:2, stage:0, machine:2];0.0
startT[job:2, stage:0, machine:3];0.0
startT[job:2, stage:0, machine:4];0.0
startT[job:2, stage:1, machine:13];0.0
startT[job:2, stage:1, machine:14];47.0
startT[job:2, stage:1, machine:15];0.0
startT[job:2, stage:1, machine:16];0.0
startT[job:2, stage:1, machine:5];0.0
startT[job:2, stage:1, machine:6];0.0
startT[job:2, stage:1, machine:7];0.0
startT[job:2, stage:1, machine:8];0.0
startT[job:2, stage:2, machine:10];0.0
startT[job:2, stage:2, machine:11];0.0
startT[job:2, stage:2, machine:12];0.0
startT[job:2, stage:2, machine:13];0.0
startT[job:2, stage:2, machine:14];0.0
startT[job:2, stage:2, machine:15];0.0
startT[job:2, stage:2, machine:16];0.0
startT[job:2, stage:2, machine:5];0.0
startT[job:2, stage:2, machine:6];0.0
startT[job:2, stage:2, machine:7];59.0
startT[job:2, stage:2, machine:8];0.0
startT[job:2, stage:2, machine:9];0.0
startT[job:2, stage:3, machine:10];69.0
startT[job:2, stage:3, machine:11];0.0
startT[job:2, stage:3, machine:12];0.0
startT[job:2, stage:3, machine:13];0.0
startT[job:2, stage:3, machine:14];0.0
startT[job:2, stage:3, machine:15];0.0
startT[job:2, stage:3, machine:16];0.0
startT[job:2, stage:3, machine:5];0.0
startT[job:2, stage:3, machine:6];0.0
startT[job:2, stage:3, machine:7];0.0
startT[job:2, stage:3, machine:8];0.0
startT[job:2, stage:3, machine:9];0.0
startT[job:2, stage:4, machine:17];81.0
startT[job:2, stage:4, machine:18];0.0
startT[job:2, stage:4, machine:19];0.0
startT[job:2, stage:4, machine:20];0.0
startT[job:3, stage:0, machine:1];0.0
startT[job:3, stage:0, machine:2];0.0
startT[job:3, stage:0, machine:3];23.0
startT[job:3, stage:0, machine:4];0.0
startT[job:3, stage:1, machine:10];36.0
startT[job:3, stage:1, machine:11];0.0
startT[job:3, stage:1, machine:12];0.0
startT[job:3, stage:1, machine:5];0.0
startT[job:3, stage:1, machine:6];0.0
startT[job:3, stage:1, machine:7];0.0
startT[job:3, stage:1, machine:8];0.0
startT[job:3, stage:1, machine:9];0.0
startT[job:3, stage:2, machine:10];0.0
startT[job:3, stage:2, machine:11];0.0
startT[job:3, stage:2, machine:12];0.0
startT[job:3, stage:2, machine:5];0.0
startT[job:3, stage:2, machine:6];0.0
startT[job:3, stage:2, machine:7];49.0
startT[job:3, stage:2, machine:8];0.0
startT[job:3, stage:2, machine:9];0.0
