Job;Op;Start;Finish;Resource
0;0;2023-01-01 01:05:00;2023-01-01 03:08:00;Machine 2
0;1;2023-01-01 03:08:00;2023-01-01 05:11:00;Machine 1
0;2;2023-01-01 05:11:00;2023-01-01 07:41:00;Machine 4
1;0;2023-01-01 00:00:00;2023-01-01 02:30:00;Machine 3
1;1;2023-01-01 03:08:00;2023-01-01 04:14:00;Machine 2
1;2;2023-01-01 04:14:00;2023-01-01 06:44:00;Machine 7
2;0;2023-01-01 00:00:00;2023-01-01 01:27:00;Machine 1
2;1;2023-01-01 01:27:00;2023-01-01 03:52:00;Machine 7
2;2;2023-01-01 03:58:00;2023-01-01 05:38:00;Machine 5
3;0;2023-01-01 00:00:00;2023-01-01 01:05:00;Machine 2
3;1;2023-01-01 01:05:00;2023-01-01 03:58:00;Machine 5
3;2;2023-01-01 03:58:00;2023-01-01 06:14:00;Machine 6
4;0;2023-01-01 02:30:00;2023-01-01 04:55:00;Machine 3
4;1;2023-01-01 04:55:00;2023-01-01 06:21:00;Machine 3
4;2;2023-01-01 06:21:00;2023-01-01 07:46:00;Machine 6
5;0;2023-01-01 00:00:00;2023-01-01 02:34:00;Machine 4
5;1;2023-01-01 02:34:00;2023-01-01 05:04:00;Machine 4
5;2;2023-01-01 05:38:00;2023-01-01 07:38:00;Machine 5
