name;value
y[job:0, stage:0, machine:1];0.0
y[job:0, stage:0, machine:2];0.0
y[job:0, stage:0, machine:3];1.0
y[job:0, stage:1, machine:4];0.0
y[job:0, stage:1, machine:2];1.0
y[job:0, stage:1, machine:7];0.0
y[job:0, stage:2, machine:4];1.0
y[job:0, stage:2, machine:5];0.0
y[job:0, stage:2, machine:7];0.0
y[job:0, stage:3, machine:7];0.0
y[job:0, stage:3, machine:6];1.0
y[job:1, stage:0, machine:1];1.0
y[job:1, stage:0, machine:3];0.0
y[job:1, stage:1, machine:3];1.0
y[job:1, stage:1, machine:2];0.0
y[job:1, stage:2, machine:5];0.0
y[job:1, stage:2, machine:6];1.0
y[job:1, stage:2, machine:7];0.0
y[job:1, stage:3, machine:5];1.0
y[job:1, stage:3, machine:7];0.0
y[job:2, stage:0, machine:1];1.0
y[job:2, stage:0, machine:2];0.0
y[job:2, stage:1, machine:7];1.0
y[job:2, stage:1, machine:3];0.0
y[job:2, stage:1, machine:4];0.0
y[job:2, stage:2, machine:4];0.0
y[job:2, stage:2, machine:5];1.0
y[job:2, stage:2, machine:6];0.0
y[job:2, stage:3, machine:6];0.0
y[job:2, stage:3, machine:7];1.0
y[job:3, stage:0, machine:1];0.0
y[job:3, stage:0, machine:2];1.0
y[job:3, stage:1, machine:3];0.0
y[job:3, stage:1, machine:5];1.0
y[job:3, stage:2, machine:4];1.0
y[job:3, stage:2, machine:6];0.0
y[job:3, stage:3, machine:5];0.0
y[job:3, stage:3, machine:6];1.0
y[job:4, stage:0, machine:2];0.0
y[job:4, stage:0, machine:3];0.0
y[job:4, stage:0, machine:1];1.0
y[job:4, stage:1, machine:7];1.0
y[job:4, stage:1, machine:4];0.0
y[job:4, stage:1, machine:5];0.0
y[job:4, stage:2, machine:5];0.0
y[job:4, stage:2, machine:6];0.0
y[job:4, stage:2, machine:2];1.0
y[job:4, stage:3, machine:4];1.0
y[job:4, stage:3, machine:6];0.0
y[job:5, stage:0, machine:2];1.0
y[job:5, stage:0, machine:3];0.0
y[job:5, stage:0, machine:4];0.0
y[job:5, stage:1, machine:4];0.0
y[job:5, stage:1, machine:3];1.0
y[job:5, stage:1, machine:5];0.0
y[job:5, stage:2, machine:5];1.0
y[job:5, stage:2, machine:6];0.0
y[job:5, stage:2, machine:7];0.0
y[job:5, stage:3, machine:4];1.0
y[job:5, stage:3, machine:7];0.0
y[job:6, stage:0, machine:3];1.0
y[job:6, stage:0, machine:2];0.0
y[job:6, stage:1, machine:3];1.0
y[job:6, stage:1, machine:5];0.0
y[job:6, stage:2, machine:5];1.0
y[job:6, stage:2, machine:6];0.0
y[job:6, stage:2, machine:7];0.0
y[job:6, stage:3, machine:7];0.0
y[job:6, stage:3, machine:5];1.0
y[job:7, stage:0, machine:4];1.0
y[job:7, stage:0, machine:3];0.0
y[job:7, stage:1, machine:6];1.0
y[job:7, stage:1, machine:5];0.0
y[job:7, stage:2, machine:5];0.0
y[job:7, stage:2, machine:6];0.0
y[job:7, stage:2, machine:7];1.0
y[job:7, stage:3, machine:7];1.0
y[job:7, stage:3, machine:6];0.0
x[machine: 1, job1|stage1:0|0, job2|stage2:1|0];0.0
x[machine: 3, job1|stage1:0|0, job2|stage2:1|0];0.0
x[machine: 2, job1|stage1:0|0, job2|stage2:1|1];0.0
x[machine: 3, job1|stage1:0|0, job2|stage2:1|1];0.0
x[machine: 1, job1|stage1:0|0, job2|stage2:2|0];0.0
x[machine: 2, job1|stage1:0|0, job2|stage2:2|0];0.0
x[machine: 3, job1|stage1:0|0, job2|stage2:2|1];0.0
x[machine: 1, job1|stage1:0|0, job2|stage2:3|0];0.0
x[machine: 2, job1|stage1:0|0, job2|stage2:3|0];1.0
x[machine: 3, job1|stage1:0|0, job2|stage2:3|1];0.0
x[machine: 1, job1|stage1:0|0, job2|stage2:4|0];1.0
x[machine: 2, job1|stage1:0|0, job2|stage2:4|0];0.0
x[machine: 3, job1|stage1:0|0, job2|stage2:4|0];0.0
x[machine: 2, job1|stage1:0|0, job2|stage2:4|2];0.0
x[machine: 2, job1|stage1:0|0, job2|stage2:5|0];1.0
x[machine: 3, job1|stage1:0|0, job2|stage2:5|0];0.0
x[machine: 3, job1|stage1:0|0, job2|stage2:5|1];0.0
x[machine: 2, job1|stage1:0|0, job2|stage2:6|0];1.0
x[machine: 3, job1|stage1:0|0, job2|stage2:6|0];1.0
x[machine: 3, job1|stage1:0|0, job2|stage2:6|1];1.0
x[machine: 3, job1|stage1:0|0, job2|stage2:7|0];0.0
x[machine: 2, job1|stage1:0|1, job2|stage2:1|1];0.0
x[machine: 7, job1|stage1:0|1, job2|stage2:1|2];0.0
x[machine: 7, job1|stage1:0|1, job2|stage2:1|3];1.0
x[machine: 2, job1|stage1:0|1, job2|stage2:2|0];0.0
x[machine: 4, job1|stage1:0|1, job2|stage2:2|1];0.0
x[machine: 7, job1|stage1:0|1, job2|stage2:2|1];1.0
x[machine: 4, job1|stage1:0|1, job2|stage2:2|2];0.0
x[machine: 7, job1|stage1:0|1, job2|stage2:2|3];0.0
x[machine: 2, job1|stage1:0|1, job2|stage2:3|0];1.0
x[machine: 4, job1|stage1:0|1, job2|stage2:3|2];1.0
