Job;Op;Start;Finish;Resource
0;1;2023-01-01 00:01:00;2023-01-01 00:04:00;Machine 1
3;1;2023-01-01 00:16:00;2023-01-01 00:21:00;Machine 1
2;3;2023-01-01 00:21:00;2023-01-01 00:30:00;Machine 1
5;3;2023-01-01 00:30:00;2023-01-01 00:40:00;Machine 1
1;4;2023-01-01 00:40:00;2023-01-01 00:50:00;Machine 1
4;4;2023-01-01 00:51:00;2023-01-01 00:54:00;Machine 1
1;0;2023-01-01 00:00:00;2023-01-01 00:08:00;Machine 2
5;0;2023-01-01 00:08:00;2023-01-01 00:11:00;Machine 2
3;0;2023-01-01 00:11:00;2023-01-01 00:16:00;Machine 2
0;2;2023-01-01 00:16:00;2023-01-01 00:22:00;Machine 2
4;1;2023-01-01 00:22:00;2023-01-01 00:25:00;Machine 2
2;4;2023-01-01 00:30:00;2023-01-01 00:31:00;Machine 2
0;0;2023-01-01 00:00:00;2023-01-01 00:01:00;Machine 3
2;0;2023-01-01 00:01:00;2023-01-01 00:06:00;Machine 3
1;1;2023-01-01 00:08:00;2023-01-01 00:13:00;Machine 3
4;0;2023-01-01 00:13:00;2023-01-01 00:22:00;Machine 3
3;2;2023-01-01 00:22:00;2023-01-01 00:27:00;Machine 3
5;5;2023-01-01 00:49:00;2023-01-01 00:50:00;Machine 3
2;1;2023-01-01 00:06:00;2023-01-01 00:10:00;Machine 4
5;1;2023-01-01 00:11:00;2023-01-01 00:14:00;Machine 4
3;3;2023-01-01 00:27:00;2023-01-01 00:30:00;Machine 4
0;3;2023-01-01 00:30:00;2023-01-01 00:37:00;Machine 4
1;5;2023-01-01 00:50:00;2023-01-01 00:54:00;Machine 4
4;5;2023-01-01 00:54:00;2023-01-01 00:55:00;Machine 4
1;2;2023-01-01 00:13:00;2023-01-01 00:23:00;Machine 5
4;2;2023-01-01 00:25:00;2023-01-01 00:30:00;Machine 5
3;4;2023-01-01 00:30:00;2023-01-01 00:38:00;Machine 5
2;5;2023-01-01 00:38:00;2023-01-01 00:45:00;Machine 5
5;4;2023-01-01 00:45:00;2023-01-01 00:49:00;Machine 5
0;5;2023-01-01 00:49:00;2023-01-01 00:55:00;Machine 5
2;2;2023-01-01 00:10:00;2023-01-01 00:18:00;Machine 6
5;2;2023-01-01 00:18:00;2023-01-01 00:27:00;Machine 6
1;3;2023-01-01 00:27:00;2023-01-01 00:37:00;Machine 6
0;4;2023-01-01 00:37:00;2023-01-01 00:40:00;Machine 6
4;3;2023-01-01 00:40:00;2023-01-01 00:44:00;Machine 6
3;5;2023-01-01 00:44:00;2023-01-01 00:53:00;Machine 6
