name;value
C_max;55.0
startT[job:0, stage:0, machine:3];0.0
startT[job:0, stage:1, machine:1];1.0
startT[job:0, stage:2, machine:2];16.0
startT[job:0, stage:3, machine:4];30.0
startT[job:0, stage:4, machine:6];37.0
startT[job:0, stage:5, machine:5];49.0
startT[job:1, stage:0, machine:2];0.0
startT[job:1, stage:1, machine:3];8.0
startT[job:1, stage:2, machine:5];13.0
startT[job:1, stage:3, machine:6];27.0
startT[job:1, stage:4, machine:1];40.0
startT[job:1, stage:5, machine:4];50.0
startT[job:2, stage:0, machine:3];1.0
startT[job:2, stage:1, machine:4];6.0
startT[job:2, stage:2, machine:6];10.0
startT[job:2, stage:3, machine:1];21.0
startT[job:2, stage:4, machine:2];30.0
startT[job:2, stage:5, machine:5];38.0
startT[job:3, stage:0, machine:2];11.0
startT[job:3, stage:1, machine:1];16.0
startT[job:3, stage:2, machine:3];22.0
startT[job:3, stage:3, machine:4];27.0
startT[job:3, stage:4, machine:5];30.0
startT[job:3, stage:5, machine:6];44.0
startT[job:4, stage:0, machine:3];13.0
startT[job:4, stage:1, machine:2];22.0
startT[job:4, stage:2, machine:5];25.0
startT[job:4, stage:3, machine:6];40.0
startT[job:4, stage:4, machine:1];51.0
startT[job:4, stage:5, machine:4];54.0
startT[job:5, stage:0, machine:2];8.0
startT[job:5, stage:1, machine:4];11.0
startT[job:5, stage:2, machine:6];18.0
startT[job:5, stage:3, machine:1];30.0
startT[job:5, stage:4, machine:5];45.0
startT[job:5, stage:5, machine:3];49.0
x[machine: 1, job1|stage1:0|1, job2|stage2:1|4];0.0
x[machine: 1, job1|stage1:0|1, job2|stage2:2|3];0.0
x[machine: 1, job1|stage1:0|1, job2|stage2:3|1];0.0
x[machine: 1, job1|stage1:0|1, job2|stage2:4|4];0.0
x[machine: 1, job1|stage1:0|1, job2|stage2:5|3];0.0
x[machine: 1, job1|stage1:1|4, job2|stage2:2|3];1.0
x[machine: 1, job1|stage1:1|4, job2|stage2:3|1];1.0
x[machine: 1, job1|stage1:1|4, job2|stage2:4|4];0.0
x[machine: 1, job1|stage1:1|4, job2|stage2:5|3];1.0
x[machine: 1, job1|stage1:2|3, job2|stage2:3|1];1.0
x[machine: 1, job1|stage1:2|3, job2|stage2:4|4];0.0
x[machine: 1, job1|stage1:2|3, job2|stage2:5|3];0.0
x[machine: 1, job1|stage1:3|1, job2|stage2:4|4];0.0
x[machine: 1, job1|stage1:3|1, job2|stage2:5|3];0.0
x[machine: 1, job1|stage1:4|4, job2|stage2:5|3];1.0
x[machine: 2, job1|stage1:0|2, job2|stage2:1|0];1.0
x[machine: 2, job1|stage1:0|2, job2|stage2:2|4];0.0
x[machine: 2, job1|stage1:0|2, job2|stage2:3|0];1.0
x[machine: 2, job1|stage1:0|2, job2|stage2:4|1];0.0
x[machine: 2, job1|stage1:0|2, job2|stage2:5|0];1.0
x[machine: 2, job1|stage1:1|0, job2|stage2:2|4];0.0
x[machine: 2, job1|stage1:1|0, job2|stage2:3|0];0.0
x[machine: 2, job1|stage1:1|0, job2|stage2:4|1];0.0
x[machine: 2, job1|stage1:1|0, job2|stage2:5|0];0.0
x[machine: 2, job1|stage1:2|4, job2|stage2:3|0];1.0
x[machine: 2, job1|stage1:2|4, job2|stage2:4|1];1.0
x[machine: 2, job1|stage1:2|4, job2|stage2:5|0];1.0
x[machine: 2, job1|stage1:3|0, job2|stage2:4|1];0.0
x[machine: 2, job1|stage1:3|0, job2|stage2:5|0];1.0
x[machine: 2, job1|stage1:4|1, job2|stage2:5|0];1.0
x[machine: 3, job1|stage1:0|0, job2|stage2:1|1];0.0
x[machine: 3, job1|stage1:0|0, job2|stage2:2|0];0.0
x[machine: 3, job1|stage1:0|0, job2|stage2:3|2];0.0
x[machine: 3, job1|stage1:0|0, job2|stage2:4|0];0.0
x[machine: 3, job1|stage1:0|0, job2|stage2:5|5];0.0
x[machine: 3, job1|stage1:1|1, job2|stage2:2|0];1.0
x[machine: 3, job1|stage1:1|1, job2|stage2:3|2];0.0
x[machine: 3, job1|stage1:1|1, job2|stage2:4|0];0.0
x[machine: 3, job1|stage1:1|1, job2|stage2:5|5];0.0
x[machine: 3, job1|stage1:2|0, job2|stage2:3|2];0.0
x[machine: 3, job1|stage1:2|0, job2|stage2:4|0];0.0
x[machine: 3, job1|stage1:2|0, job2|stage2:5|5];0.0
x[machine: 3, job1|stage1:3|2, job2|stage2:4|0];1.0
x[machine: 3, job1|stage1:3|2, job2|stage2:5|5];0.0
x[machine: 3, job1|stage1:4|0, job2|stage2:5|5];0.0
x[machine: 4, job1|stage1:0|3, job2|stage2:1|5];0.0
x[machine: 4, job1|stage1:0|3, job2|stage2:2|1];1.0
x[machine: 4, job1|stage1:0|3, job2|stage2:3|3];1.0
