,instance,status,obj,model time (s),total time (s),gap
0,FTQL_makespan,2,74452.0,0.25099992752075195,0.2895479202270508,0.0
0,FTQL_makespan,2,74452.0,0.24000000953674316,0.2691361904144287,0.0
0,FTQL_makespan,2,74452.0,0.2389998435974121,0.2659897804260254,0.0
0,MetalMeca_makespan,11,535397.0,155.91599988937378,157.87478637695312,0.1665287627685624
0,FTQL_makespan,2,74452.0,0.3080000877380371,0.3351259231567383,0.0
0,MetalMeca_makespan,11,536639.0,173.91299986839294,175.86892700195312,0.1749816916027348
0,FTQL_makespan,2,74452.0,0.28099989891052246,0.30975985527038574,0.0
0,MetalMeca_makespan,11,534737.0,2081.9210000038147,2084.129561662674,0.16002820077907456
0,FTQL_makespan,2,74452.0,0.21499991416931152,0.2390139102935791,0.0
0,BA_01_makespan,2,53.0,0.005000114440917969,0.022281885147094727,0.0
0,BA_02_makespan,2,53.0,0.005000114440917969,0.026479482650756836,0.0
0,BA_03_makespan,2,106.0,0.01900005340576172,0.03585672378540039,0.0
0,BA_04_makespan,2,106.0,0.01900005340576172,0.03840494155883789,0.0
0,BA_05_makespan,2,106.0,0.020999908447265625,0.03125953674316406,0.0
0,BA_06_makespan,2,97.0,0.015000104904174805,0.03138136863708496,0.0
0,BA_07_makespan,2,36.0,0.3470001220703125,0.37390875816345215,0.0
0,BA_08_makespan,9,55.0,3600.590000152588,3600.616818189621,0.09090909090909091
0,BA_09_makespan,2,97.0,0.024000167846679688,3.8915231227874756,0.0
0,BA_10_makespan,2,60.0,0.16100001335144043,0.18481802940368652,0.0
0,BA_11_makespan,2,77.0,0.42299985885620117,0.46317386627197266,0.0
0,BA_12_makespan,2,66.0,6.136000156402588,6.185251474380493,0.0
0,BA_13_makespan,2,84.0,81.66199994087219,81.70470929145813,0.0
0,BA_14_makespan,9,110.0,3600.4850001335144,3600.5589275360107,0.20909090909090908
0,BA_15_makespan,9,110.0,3600.319000005722,3601.2686116695404,0.20909090909090908
0,BA_16_makespan,9,139.0,3600.723000049591,3601.6574494838715,0.4460431654676259
0,BA_17_makespan,9,215.0,3600.2450001239777,3619.807181596756,0.5813953488372093
0,BA_18_makespan,9,233.0,3600.603999853134,3603.336457967758,0.6008583690987125
0,BA_19_makespan,9,358.0,3602.428999900818,3605.1515021324158,0.7011173184357542
0,BA_20_makespan,9,415.0,3601.1429998874664,3603.3925890922546,0.7132530120481928
0,URT_01_makespan,2,53.0,0.013000011444091797,3.1262896060943604,0.0
0,URT_02_makespan,2,53.0,0.014999866485595703,0.0364842414855957,0.0
0,URT_03_makespan,2,106.0,0.13400006294250488,0.15025854110717773,0.0
0,URT_04_makespan,2,106.0,0.12100005149841309,0.14374876022338867,0.0
0,URT_05_makespan,2,106.0,0.11699986457824707,0.14431095123291016,0.0
0,URT_06_makespan,2,98.0,0.06199979782104492,0.0861365795135498,0.0
0,URT_07_makespan,9,36.0,3600.569999933243,3600.592798948288,0.027777777777777776
0,URT_08_makespan,2,49.0,0.34400010108947754,1.490323781967163,0.0
0,URT_09_makespan,2,98.0,0.05299997329711914,0.06519794464111328,0.0
0,URT_10_makespan,9,67.0,3600.611000061035,3600.653029203415,0.05970149253731343
0,URT_11_makespan,2,86.0,2.874000072479248,4.5104827880859375,0.0
0,URT_12_makespan,2,77.0,22.058000087738037,22.111319065093994,0.0
0,URT_13_makespan,2,90.0,135.02499985694885,135.12480235099792,0.0
0,URT_14_makespan,9,115.0,3600.0490000247955,3600.1383697986603,0.24347826086956523
0,URT_15_makespan,9,115.0,3600.055999994278,3613.9744799137115,0.23478260869565218
0,URT_16_makespan,9,156.0,3600.0729999542236,3614.3784046173096,0.4166666666666667
0,URT_17_makespan,9,228.0,3600.218999862671,3627.3227248191833,0.5877192982456141
0,URT_18_makespan,9,253.0,3600.526000022888,3603.171140193939,0.5849802371541502
0,URT_19_makespan,9,402.0,3600.5640001296997,3603.8784515857697,0.6865671641791045
0,URT_20_makespan,9,447.0,3601.1569998264313,3604.588700771332,0.6912751677852349
0,Fattahi_setup_01_modified_makespan,2,1231.0,0.015000104904174805,0.027429819107055664,0.0
0,Fattahi_setup_02_modified_makespan,2,1339.0,0.009999990463256836,0.019648313522338867,0.0
0,Fattahi_setup_03_modified_makespan,2,2620.0,0.026999950408935547,0.038950204849243164,0.0
0,Fattahi_setup_04_modified_makespan,2,3152.0,0.03600001335144043,0.0510706901550293,0.0
0,Fattahi_setup_05_modified_makespan,2,2027.0,0.505000114440918,0.5170209407806396,0.0
0,Fattahi_setup_06_modified_makespan,2,3306.0,0.046000003814697266,0.060927391052246094,0.0
0,Fattahi_setup_07_modified_makespan,2,2932.0,0.06800007820129395,0.07924747467041016,0.0
0,Fattahi_setup_08_modified_makespan,2,2365.0,0.057000160217285156,0.07701373100280762,0.0
0,Fattahi_setup_09_modified_makespan,2,2290.0,0.09200000762939453,0.11194491386413574,0.0
0,Fattahi_setup_10_modified_makespan,2,4834.0,0.040000200271606445,0.05966806411743164,0.0
0,Fattahi_setup_11_modified_makespan,2,5602.0,1.2910001277923584,1.3216445446014404,0.0
0,Fattahi_setup_12_modified_makespan,2,5308.0,2.4650001525878906,2.4935622215270996,0.0
0,Fattahi_setup_13_modified_makespan,2,7247.0,15.929999828338623,15.970234155654907,0.0
0,Fattahi_setup_14_modified_makespan,2,8581.0,33.592000007629395,33.641714334487915,0.0
0,Fattahi_setup_15_modified_makespan,2,8885.0,114.99699997901917,115.05916929244995,0.0
0,Fattahi_setup_16_modified_makespan,9,11769.0,3600.0319998264313,3600.0994567871094,0.008921743563599286
0,Fattahi_setup_17_modified_makespan,9,15675.0,3600.2839999198914,3602.553996324539,0.3726315789473684
0,Fattahi_setup_18_modified_makespan,9,17341.0,3600.128000020981,3623.263554096222,0.37448820713915
0,Fattahi_setup_19_modified_makespan,9,24818.0,3600.133999824524,3604.4747228622437,0.4984281268115592
0,Fattahi_setup_20_modified_makespan,9,32566.0,3600.162999868393,3616.884964942932,0.5750783025241049
0,Fattahi_setup_01_modified_old_makespan,2,1231.0,0.06700015068054199,0.10355067253112793,0.0
0,Fattahi_setup_01_modified_old_deadline,2,271.0,0.029000043869018555,0.044228315353393555,0.0
