Job;Op;Start;Finish;Start_f;Finish_f;Resource
0;0;2023-01-01 00:33:00;2023-01-01 00:35:00;33.0;35.0;Machine 01
0;1;2023-01-01 00:20:00;2023-01-01 00:24:00;20.0;24.0;Machine 01
0;2;2023-01-01 00:01:00;2023-01-01 00:06:00;1.0;6.0;Machine 00
0;3;2023-01-01 00:00:00;2023-01-01 00:02:00;0.0;2.0;Machine 01
0;4;2023-01-01 00:03:00;2023-01-01 00:07:00;3.0;7.0;Machine 02
1;0;2023-01-01 01:40:00;2023-01-01 01:45:00;100.0;105.0;Machine 01
1;1;2023-01-01 01:27:00;2023-01-01 01:31:00;87.0;91.0;Machine 01
1;2;2023-01-01 00:39:00;2023-01-01 00:42:00;39.0;42.0;Machine 01
1;3;2023-01-01 01:16:00;2023-01-01 01:21:00;76.0;81.0;Machine 01
1;4;2023-01-01 01:07:00;2023-01-01 01:12:00;67.0;72.0;Machine 01
2;0;2023-01-01 00:41:00;2023-01-01 00:45:00;41.0;45.0;Machine 02
2;1;2023-01-01 00:39:00;2023-01-01 00:41:00;39.0;41.0;Machine 00
2;2;2023-01-01 00:28:00;2023-01-01 00:30:00;28.0;30.0;Machine 02
2;3;2023-01-01 00:12:00;2023-01-01 00:14:00;12.0;14.0;Machine 00
2;4;2023-01-01 00:10:00;2023-01-01 00:15:00;10.0;15.0;Machine 01
3;0;2023-01-01 00:29:00;2023-01-01 00:31:00;29.0;31.0;Machine 00
3;1;2023-01-01 00:18:00;2023-01-01 00:23:00;18.0;23.0;Machine 00
3;2;2023-01-01 00:21:00;2023-01-01 00:25:00;21.0;25.0;Machine 02
3;3;2023-01-01 00:04:00;2023-01-01 00:07:00;4.0;7.0;Machine 01
3;4;2023-01-01 00:13:00;2023-01-01 00:17:00;13.0;17.0;Machine 02
4;0;2023-01-01 01:08:00;2023-01-01 01:10:00;68.0;70.0;Machine 02
4;1;2023-01-01 00:59:00;2023-01-01 01:02:00;59.0;62.0;Machine 02
4;2;2023-01-01 00:56:00;2023-01-01 00:59:00;56.0;59.0;Machine 00
4;3;2023-01-01 00:52:00;2023-01-01 00:55:00;52.0;55.0;Machine 01
4;4;2023-01-01 00:49:00;2023-01-01 00:52:00;49.0;52.0;Machine 00
