Job;Op;Start;Finish;Start_f;Finish_f;Resource
0;0;2023-01-01 00:07:00;2023-01-01 00:12:00;7.0;12.0;Machine 03
0;1;2023-01-01 00:02:00;2023-01-01 00:06:00;2.0;6.0;Machine 00
0;2;2023-01-01 00:00:00;2023-01-01 00:04:00;0.0;4.0;Machine 04
1;0;2023-01-01 00:10:00;2023-01-01 00:15:00;10.0;15.0;Machine 02
1;1;2023-01-01 00:01:00;2023-01-01 00:03:00;1.0;3.0;Machine 02
1;2;2023-01-01 00:08:00;2023-01-01 00:10:00;8.0;10.0;Machine 04
2;0;2023-01-01 00:12:00;2023-01-01 00:14:00;12.0;14.0;Machine 01
2;1;2023-01-01 00:01:00;2023-01-01 00:05:00;1.0;5.0;Machine 01
2;2;2023-01-01 00:09:00;2023-01-01 00:12:00;9.0;12.0;Machine 00
3;0;2023-01-01 00:25:00;2023-01-01 00:27:00;25.0;27.0;Machine 04
3;1;2023-01-01 00:22:00;2023-01-01 00:25:00;22.0;25.0;Machine 00
3;2;2023-01-01 00:20:00;2023-01-01 00:25:00;20.0;25.0;Machine 02
