Job;Op;Start;Finish;Start_f;Finish_f;Resource
0;0;2023-01-01 00:17:00;2023-01-01 00:19:00;17.000000000000064;19.000000000000064;Machine 03
0;1;2023-01-01 00:15:00;2023-01-01 00:17:00;15.000000000000064;17.000000000000064;Machine 01
0;2;2023-01-01 00:07:00;2023-01-01 00:11:00;7.0;11.0;Machine 01
1;0;2023-01-01 00:05:00;2023-01-01 00:08:00;4.999999999999893;7.999999999999893;Machine 00
1;1;2023-01-01 00:02:00;2023-01-01 00:04:00;2.0;4.0;Machine 02
1;2;2023-01-01 00:02:00;2023-01-01 00:05:00;1.999999999999929;4.999999999999929;Machine 04
2;0;2023-01-01 00:20:00;2023-01-01 00:23:00;20.0;23.0;Machine 02
2;1;2023-01-01 00:18:00;2023-01-01 00:20:00;18.0;20.0;Machine 06
2;2;2023-01-01 00:07:00;2023-01-01 00:09:00;7.000000000000001;9.0;Machine 03
3;0;2023-01-01 00:10:00;2023-01-01 00:12:00;10.0;12.0;Machine 06
3;1;2023-01-01 00:03:00;2023-01-01 00:07:00;3.0;7.0;Machine 05
3;2;2023-01-01 00:07:00;2023-01-01 00:10:00;7.000000000000001;10.0;Machine 04
4;0;2023-01-01 00:13:00;2023-01-01 00:17:00;13.0;17.0;Machine 02
4;1;2023-01-01 00:11:00;2023-01-01 00:13:00;10.99999999999985;12.99999999999985;Machine 00
4;2;2023-01-01 00:09:00;2023-01-01 00:13:00;9.0;13.0;Machine 05
5;0;2023-01-01 00:03:00;2023-01-01 00:05:00;3.0000000000000018;5.000000000000002;Machine 06
5;1;2023-01-01 00:00:00;2023-01-01 00:03:00;0.0;3.0;Machine 03
5;2;2023-01-01 00:00:00;2023-01-01 00:03:00;0.0;3.0;Machine 01
6;0;2023-01-01 00:24:00;2023-01-01 00:26:00;24.0;26.0;Machine 05
6;1;2023-01-01 00:21:00;2023-01-01 00:24:00;21.000000000000007;24.000000000000007;Machine 04
6;2;2023-01-01 00:14:00;2023-01-01 00:17:00;14.000000000000005;17.000000000000007;Machine 04
