Job;Op;Start;Finish;Start_f;Finish_f;Resource
0;0;2023-01-01 00:30:00;2023-01-01 00:33:00;30.0;33.0;Machine 03
0;1;2023-01-01 00:26:00;2023-01-01 00:30:00;26.0;30.0;Machine 04
0;2;2023-01-01 00:21:00;2023-01-01 00:23:00;21.0;23.0;Machine 06
0;3;2023-01-01 00:08:00;2023-01-01 00:11:00;8.0;11.0;Machine 03
1;0;2023-01-01 00:19:00;2023-01-01 00:21:00;19.0;21.0;Machine 01
1;1;2023-01-01 00:08:00;2023-01-01 00:13:00;8.0;13.0;Machine 00
1;2;2023-01-01 00:01:00;2023-01-01 00:06:00;1.0;6.0;Machine 06
1;3;2023-01-01 00:01:00;2023-01-01 00:03:00;1.0;3.0;Machine 04
2;0;2023-01-01 00:18:00;2023-01-01 00:20:00;18.0;20.0;Machine 02
2;1;2023-01-01 00:08:00;2023-01-01 00:10:00;8.0;10.0;Machine 02
2;2;2023-01-01 00:06:00;2023-01-01 00:08:00;6.0;8.0;Machine 04
2;3;2023-01-01 00:00:00;2023-01-01 00:03:00;0.0;3.0;Machine 03
3;0;2023-01-01 00:22:00;2023-01-01 00:24:00;22.0;24.0;Machine 05
3;1;2023-01-01 00:15:00;2023-01-01 00:18:00;15.0;18.0;Machine 04
3;2;2023-01-01 00:11:00;2023-01-01 00:13:00;11.0;13.0;Machine 06
3;3;2023-01-01 00:20:00;2023-01-01 00:22:00;20.0;22.0;Machine 04
4;0;2023-01-01 00:18:00;2023-01-01 00:20:00;18.0;20.0;Machine 00
4;1;2023-01-01 00:03:00;2023-01-01 00:06:00;3.0;6.0;Machine 00
4;2;2023-01-01 00:16:00;2023-01-01 00:18:00;16.0;18.0;Machine 03
4;3;2023-01-01 00:01:00;2023-01-01 00:03:00;1.0;3.0;Machine 02
5;0;2023-01-01 00:12:00;2023-01-01 00:16:00;12.0;16.0;Machine 01
5;1;2023-01-01 00:03:00;2023-01-01 00:05:00;3.0;5.0;Machine 05
5;2;2023-01-01 00:02:00;2023-01-01 00:06:00;2.0;6.0;Machine 01
5;3;2023-01-01 00:07:00;2023-01-01 00:12:00;7.0;12.0;Machine 05
6;0;2023-01-01 00:36:00;2023-01-01 00:38:00;36.0;38.0;Machine 04
6;1;2023-01-01 00:30:00;2023-01-01 00:34:00;30.0;34.0;Machine 02
6;2;2023-01-01 00:22:00;2023-01-01 00:25:00;22.0;25.0;Machine 00
6;3;2023-01-01 00:33:00;2023-01-01 00:36:00;33.0;36.0;Machine 06
7;0;2023-01-01 00:44:00;2023-01-01 00:46:00;44.0;46.0;Machine 05
7;1;2023-01-01 00:37:00;2023-01-01 00:39:00;37.0;39.0;Machine 03
7;2;2023-01-01 00:28:00;2023-01-01 00:33:00;28.0;33.0;Machine 00
7;3;2023-01-01 00:33:00;2023-01-01 00:37:00;33.0;37.0;Machine 01
