Job;Op;Start;Finish;Start_f;Finish_f;Resource
0;0;2023-01-01 00:17:00;2023-01-01 00:19:00;17.0;19.0;Machine 07
0;1;2023-01-01 00:03:00;2023-01-01 00:05:00;3.0;5.0;Machine 00
0;2;2023-01-01 00:12:00;2023-01-01 00:16:00;12.0;16.0;Machine 03
0;3;2023-01-01 00:06:00;2023-01-01 00:08:00;6.0;8.0;Machine 07
1;0;2023-01-01 00:04:00;2023-01-01 00:06:00;4.0;6.0;Machine 01
1;1;2023-01-01 00:01:00;2023-01-01 00:03:00;1.0;3.0;Machine 04
1;2;2023-01-01 00:02:00;2023-01-01 00:04:00;2.0;4.0;Machine 05
1;3;2023-01-01 00:00:00;2023-01-01 00:02:00;0.0;2.0;Machine 07
2;0;2023-01-01 00:25:00;2023-01-01 00:28:00;25.0;28.0;Machine 05
2;1;2023-01-01 00:18:00;2023-01-01 00:23:00;18.0;23.0;Machine 03
2;2;2023-01-01 00:14:00;2023-01-01 00:16:00;14.0;16.0;Machine 02
2;3;2023-01-01 00:12:00;2023-01-01 00:14:00;12.0;14.0;Machine 05
3;0;2023-01-01 00:42:00;2023-01-01 00:46:00;42.0;46.0;Machine 07
3;1;2023-01-01 00:27:00;2023-01-01 00:30:00;27.0;30.0;Machine 04
3;2;2023-01-01 00:36:00;2023-01-01 00:38:00;36.0;38.0;Machine 07
3;3;2023-01-01 00:19:00;2023-01-01 00:21:00;19.0;21.0;Machine 00
4;0;2023-01-01 00:27:00;2023-01-01 00:31:00;27.0;31.0;Machine 06
4;1;2023-01-01 00:18:00;2023-01-01 00:21:00;18.0;21.0;Machine 04
4;2;2023-01-01 00:21:00;2023-01-01 00:24:00;21.0;24.0;Machine 01
4;3;2023-01-01 00:11:00;2023-01-01 00:13:00;11.0;13.0;Machine 07
5;0;2023-01-01 00:38:00;2023-01-01 00:40:00;38.0;40.0;Machine 04
5;1;2023-01-01 00:33:00;2023-01-01 00:37:00;33.0;37.0;Machine 01
5;2;2023-01-01 00:29:00;2023-01-01 00:33:00;29.0;33.0;Machine 00
5;3;2023-01-01 00:28:00;2023-01-01 00:30:00;28.0;30.0;Machine 03
6;0;2023-01-01 00:22:00;2023-01-01 00:24:00;22.0;24.0;Machine 02
6;1;2023-01-01 00:13:00;2023-01-01 00:16:00;13.0;16.0;Machine 04
6;2;2023-01-01 00:15:00;2023-01-01 00:19:00;15.0;19.0;Machine 06
6;3;2023-01-01 00:01:00;2023-01-01 00:05:00;1.0;5.0;Machine 06
7;0;2023-01-01 00:11:00;2023-01-01 00:13:00;11.0;13.0;Machine 00
7;1;2023-01-01 00:07:00;2023-01-01 00:11:00;7.0;11.0;Machine 02
7;2;2023-01-01 00:01:00;2023-01-01 00:04:00;1.0;4.0;Machine 02
7;3;2023-01-01 00:02:00;2023-01-01 00:07:00;2.0;7.0;Machine 03
8;0;2023-01-01 00:45:00;2023-01-01 00:47:00;45.0;47.0;Machine 05
8;1;2023-01-01 00:43:00;2023-01-01 00:45:00;43.0;45.0;Machine 00
8;2;2023-01-01 00:33:00;2023-01-01 00:36:00;33.0;36.0;Machine 05
8;3;2023-01-01 00:33:00;2023-01-01 00:38:00;33.0;38.0;Machine 02
9;0;2023-01-01 00:28:00;2023-01-01 00:32:00;28.0;32.0;Machine 07
9;1;2023-01-01 00:22:00;2023-01-01 00:24:00;22.0;24.0;Machine 07
9;2;2023-01-01 00:08:00;2023-01-01 00:10:00;8.0;10.0;Machine 05
9;3;2023-01-01 00:09:00;2023-01-01 00:11:00;9.0;11.0;Machine 06
10;0;2023-01-01 00:37:00;2023-01-01 00:39:00;37.0;39.0;Machine 03
10;1;2023-01-01 00:19:00;2023-01-01 00:21:00;19.0;21.0;Machine 05
10;2;2023-01-01 00:05:00;2023-01-01 00:08:00;5.0;8.0;Machine 04
10;3;2023-01-01 00:33:00;2023-01-01 00:37:00;33.0;37.0;Machine 06
