Job;Op;Start;Finish;Resource
1;0;2023-01-01 00:00:00;2023-01-01 00:19:00;Machine 1
5;0;2023-01-01 00:19:00;2023-01-01 00:29:00;Machine 1
2;0;2023-01-01 00:29:00;2023-01-01 00:47:00;Machine 1
3;1;2023-01-01 00:36:00;2023-01-01 00:49:00;Machine 10
2;3;2023-01-01 01:09:00;2023-01-01 01:21:00;Machine 10
8;1;2023-01-01 00:12:00;2023-01-01 00:24:00;Machine 11
8;2;2023-01-01 00:24:00;2023-01-01 00:35:00;Machine 11
1;3;2023-01-01 00:43:00;2023-01-01 01:03:00;Machine 11
0;2;2023-01-01 00:34:00;2023-01-01 00:48:00;Machine 12
4;2;2023-01-01 00:52:00;2023-01-01 01:04:00;Machine 12
0;1;2023-01-01 00:23:00;2023-01-01 00:34:00;Machine 13
8;3;2023-01-01 00:35:00;2023-01-01 00:55:00;Machine 13
0;3;2023-01-01 00:55:00;2023-01-01 01:05:00;Machine 13
5;1;2023-01-01 00:29:00;2023-01-01 00:40:00;Machine 14
2;1;2023-01-01 00:47:00;2023-01-01 00:57:00;Machine 14
9;1;2023-01-01 00:27:00;2023-01-01 00:45:00;Machine 15
5;3;2023-01-01 00:54:00;2023-01-01 01:09:00;Machine 15
6;1;2023-01-01 00:11:00;2023-01-01 00:22:00;Machine 16
1;2;2023-01-01 00:32:00;2023-01-01 00:43:00;Machine 16
9;2;2023-01-01 00:45:00;2023-01-01 01:08:00;Machine 16
6;4;2023-01-01 00:47:00;2023-01-01 01:00:00;Machine 17
3;4;2023-01-01 01:10:00;2023-01-01 01:21:00;Machine 17
2;4;2023-01-01 01:21:00;2023-01-01 01:31:00;Machine 17
7;4;2023-01-01 00:52:00;2023-01-01 01:09:00;Machine 18
5;4;2023-01-01 01:09:00;2023-01-01 01:20:00;Machine 18
4;4;2023-01-01 01:20:00;2023-01-01 01:30:00;Machine 18
1;4;2023-01-01 01:03:00;2023-01-01 01:29:00;Machine 19
6;0;2023-01-01 00:00:00;2023-01-01 00:11:00;Machine 2
9;0;2023-01-01 00:11:00;2023-01-01 00:27:00;Machine 2
8;4;2023-01-01 00:55:00;2023-01-01 01:08:00;Machine 20
0;4;2023-01-01 01:08:00;2023-01-01 01:19:00;Machine 20
9;4;2023-01-01 01:19:00;2023-01-01 01:30:00;Machine 20
8;0;2023-01-01 00:00:00;2023-01-01 00:12:00;Machine 3
0;0;2023-01-01 00:12:00;2023-01-01 00:23:00;Machine 3
3;0;2023-01-01 00:23:00;2023-01-01 00:36:00;Machine 3
7;0;2023-01-01 00:00:00;2023-01-01 00:19:00;Machine 4
4;0;2023-01-01 00:19:00;2023-01-01 00:42:00;Machine 4
7;2;2023-01-01 00:29:00;2023-01-01 00:40:00;Machine 5
4;3;2023-01-01 01:04:00;2023-01-01 01:17:00;Machine 5
6;2;2023-01-01 00:22:00;2023-01-01 00:33:00;Machine 6
5;2;2023-01-01 00:40:00;2023-01-01 00:54:00;Machine 6
6;3;2023-01-01 00:33:00;2023-01-01 00:47:00;Machine 7
3;2;2023-01-01 00:49:00;2023-01-01 00:59:00;Machine 7
2;2;2023-01-01 00:59:00;2023-01-01 01:09:00;Machine 7
9;3;2023-01-01 01:09:00;2023-01-01 01:19:00;Machine 7
7;1;2023-01-01 00:19:00;2023-01-01 00:29:00;Machine 8
4;1;2023-01-01 00:42:00;2023-01-01 00:52:00;Machine 8
1;1;2023-01-01 00:19:00;2023-01-01 00:32:00;Machine 9
7;3;2023-01-01 00:40:00;2023-01-01 00:52:00;Machine 9
3;3;2023-01-01 00:59:00;2023-01-01 01:10:00;Machine 9
