Job;Op;Start;Finish;Start_f;Finish_f;Resource
0;0;2023-01-02 19:14:00;2023-01-02 21:39:00;2594.0;2739.0;Machine 05
0;1;2023-01-02 15:46:00;2023-01-02 18:16:00;2386.0;2536.0;Machine 03
0;2;2023-01-02 13:36:00;2023-01-02 15:46:00;2256.0;2386.0;Machine 01
0;3;2023-01-02 07:25:00;2023-01-02 11:31:00;1885.0;2131.0;Machine 00
1;0;2023-01-02 12:27:00;2023-01-02 14:27:00;2187.0;2307.0;Machine 04
1;1;2023-01-02 03:25:00;2023-01-02 05:00:00;1645.0;1740.0;Machine 05
1;2;2023-01-02 02:10:00;2023-01-02 03:16:00;1570.0;1636.0;Machine 01
1;3;2023-01-01 22:36:00;2023-01-02 02:10:00;1356.0;1570.0;Machine 00
2;0;2023-01-01 12:52:00;2023-01-01 15:37:00;772.0;937.0;Machine 06
2;1;2023-01-01 11:12:00;2023-01-01 12:52:00;672.0;772.0;Machine 04
2;2;2023-01-01 09:27:00;2023-01-01 11:12:00;567.0;672.0;Machine 03
2;3;2023-01-01 08:00:00;2023-01-01 09:27:00;480.0;567.0;Machine 00
3;0;2023-01-01 15:40:00;2023-01-01 18:30:00;940.0;1110.0;Machine 05
3;1;2023-01-01 13:15:00;2023-01-01 15:40:00;795.0;940.0;Machine 03
3;2;2023-01-01 09:05:00;2023-01-01 13:15:00;545.0;795.0;Machine 02
3;3;2023-01-01 08:00:00;2023-01-01 09:05:00;480.0;545.0;Machine 01
4;0;2023-01-02 01:54:00;2023-01-02 04:39:00;1554.0;1719.0;Machine 03
4;1;2023-01-01 23:41:00;2023-01-02 01:06:00;1421.0;1506.0;Machine 05
4;2;2023-01-01 22:36:00;2023-01-01 23:41:00;1356.0;1421.0;Machine 03
4;3;2023-01-01 14:08:00;2023-01-01 16:16:00;848.0;976.0;Machine 00
5;0;2023-01-02 06:49:00;2023-01-02 07:39:00;1849.0;1899.0;Machine 06
5;1;2023-01-02 04:49:00;2023-01-02 06:49:00;1729.0;1849.0;Machine 04
5;2;2023-01-02 01:36:00;2023-01-02 03:38:00;1536.0;1658.0;Machine 02
5;3;2023-01-01 14:55:00;2023-01-01 17:20:00;895.0;1040.0;Machine 01
6;0;2023-01-03 00:28:00;2023-01-03 04:18:00;2908.0;3138.0;Machine 06
6;1;2023-01-02 21:55:00;2023-01-03 00:20:00;2755.0;2900.0;Machine 04
6;2;2023-01-02 19:51:00;2023-01-02 21:55:00;2631.0;2755.0;Machine 02
6;3;2023-01-02 12:42:00;2023-01-02 15:07:00;2202.0;2347.0;Machine 02
7;0;2023-01-02 17:06:00;2023-01-02 19:36:00;2466.0;2616.0;Machine 06
7;1;2023-01-02 14:21:00;2023-01-02 17:06:00;2301.0;2466.0;Machine 05
7;2;2023-01-01 18:36:00;2023-01-01 23:04:00;1116.0;1384.0;Machine 04
7;3;2023-01-01 14:19:00;2023-01-01 18:36:00;859.0;1116.0;Machine 02
