Job;Op;Start;Finish;Start_f;Finish_f;Resource
0;0;2023-01-02 11:08:00;2023-01-02 14:38:00;2108.0;2318.0;Machine 06
0;1;2023-01-02 08:28:00;2023-01-02 11:08:00;1948.0;2108.0;Machine 04
0;2;2023-01-01 23:32:00;2023-01-02 01:52:00;1412.0;1552.0;Machine 03
0;3;2023-01-01 16:49:00;2023-01-01 20:55:00;1009.0;1255.0;Machine 00
1;0;2023-01-01 22:32:00;2023-01-02 00:32:00;1352.0;1472.0;Machine 04
1;1;2023-01-01 20:57:00;2023-01-01 22:32:00;1257.0;1352.0;Machine 05
1;2;2023-01-01 13:45:00;2023-01-01 14:51:00;825.0;891.0;Machine 01
1;3;2023-01-01 08:00:00;2023-01-01 11:34:00;480.0;694.0;Machine 00
2;0;2023-01-01 13:07:00;2023-01-01 15:57:00;787.0;957.0;Machine 05
2;1;2023-01-01 11:27:00;2023-01-01 13:07:00;687.0;787.0;Machine 04
2;2;2023-01-01 09:02:00;2023-01-01 11:27:00;542.0;687.0;Machine 06
2;3;2023-01-01 08:00:00;2023-01-01 09:02:00;480.0;542.0;Machine 01
3;0;2023-01-02 07:44:00;2023-01-02 10:34:00;1904.0;2074.0;Machine 05
3;1;2023-01-02 02:02:00;2023-01-02 04:18:00;1562.0;1698.0;Machine 05
3;2;2023-01-01 21:16:00;2023-01-02 01:26:00;1276.0;1526.0;Machine 02
3;3;2023-01-01 20:01:00;2023-01-01 21:06:00;1201.0;1266.0;Machine 01
4;0;2023-01-02 18:47:00;2023-01-02 21:32:00;2567.0;2732.0;Machine 03
4;1;2023-01-02 16:34:00;2023-01-02 18:14:00;2434.0;2534.0;Machine 01
4;2;2023-01-02 15:29:00;2023-01-02 16:34:00;2369.0;2434.0;Machine 03
4;3;2023-01-02 06:30:00;2023-01-02 08:38:00;1830.0;1958.0;Machine 00
5;0;2023-01-01 20:34:00;2023-01-01 22:34:00;1234.0;1354.0;Machine 03
5;1;2023-01-01 16:30:00;2023-01-01 19:30:00;990.0;1170.0;Machine 06
5;2;2023-01-01 14:00:00;2023-01-01 16:30:00;840.0;990.0;Machine 03
5;3;2023-01-01 08:00:00;2023-01-01 10:34:00;480.0;634.0;Machine 03
6;0;2023-01-01 21:09:00;2023-01-02 00:59:00;1269.0;1499.0;Machine 06
6;1;2023-01-01 18:12:00;2023-01-01 20:37:00;1092.0;1237.0;Machine 04
6;2;2023-01-01 15:09:00;2023-01-01 17:13:00;909.0;1033.0;Machine 02
6;3;2023-01-01 08:00:00;2023-01-01 10:25:00;480.0;625.0;Machine 02
7;0;2023-01-03 01:08:00;2023-01-03 03:38:00;2948.0;3098.0;Machine 06
7;1;2023-01-02 22:23:00;2023-01-03 01:08:00;2783.0;2948.0;Machine 05
7;2;2023-01-02 16:56:00;2023-01-02 21:24:00;2456.0;2724.0;Machine 04
7;3;2023-01-02 12:39:00;2023-01-02 16:56:00;2199.0;2456.0;Machine 02
