Job;Op;Start;Finish;Start_f;Finish_f;Resource
0;0;2023-01-02 17:18:00;2023-01-02 19:43:00;2478.0;2623.0;Machine 07
0;1;2023-01-02 10:37:00;2023-01-02 13:07:00;2077.0;2227.0;Machine 03
0;2;2023-01-02 05:19:00;2023-01-02 07:21:00;1759.0;1881.0;Machine 06
0;3;2023-01-02 01:13:00;2023-01-02 05:19:00;1513.0;1759.0;Machine 00
1;0;2023-01-02 11:58:00;2023-01-02 13:58:00;2158.0;2278.0;Machine 04
1;1;2023-01-02 10:22:00;2023-01-02 11:57:00;2062.0;2157.0;Machine 05
1;2;2023-01-02 09:16:00;2023-01-02 10:22:00;1996.0;2062.0;Machine 01
1;3;2023-01-01 08:00:00;2023-01-01 11:34:00;480.0;694.0;Machine 00
2;0;2023-01-02 23:43:00;2023-01-03 02:28:00;2863.0;3028.0;Machine 07
2;1;2023-01-02 20:23:00;2023-01-02 22:03:00;2663.0;2763.0;Machine 04
2;2;2023-01-02 17:23:00;2023-01-02 20:23:00;2483.0;2663.0;Machine 02
2;3;2023-01-02 15:56:00;2023-01-02 17:23:00;2396.0;2483.0;Machine 00
3;0;2023-01-01 23:41:00;2023-01-02 02:31:00;1421.0;1591.0;Machine 05
3;1;2023-01-01 21:10:00;2023-01-01 23:35:00;1270.0;1415.0;Machine 03
3;2;2023-01-01 17:12:00;2023-01-01 20:05:00;1032.0;1205.0;Machine 04
3;3;2023-01-01 15:45:00;2023-01-01 17:12:00;945.0;1032.0;Machine 00
4;0;2023-01-03 15:45:00;2023-01-03 18:45:00;3825.0;4005.0;Machine 05
4;1;2023-01-03 12:58:00;2023-01-03 14:38:00;3658.0;3758.0;Machine 01
4;2;2023-01-03 11:53:00;2023-01-03 12:58:00;3593.0;3658.0;Machine 03
4;3;2023-01-03 09:28:00;2023-01-03 11:53:00;3448.0;3593.0;Machine 02
5;0;2023-01-02 23:01:00;2023-01-03 01:01:00;2821.0;2941.0;Machine 03
5;1;2023-01-02 20:01:00;2023-01-02 23:01:00;2641.0;2821.0;Machine 06
5;2;2023-01-01 14:24:00;2023-01-01 16:54:00;864.0;1014.0;Machine 03
5;3;2023-01-01 08:00:00;2023-01-01 10:34:00;480.0;634.0;Machine 03
6;0;2023-01-03 07:11:00;2023-01-03 09:31:00;3311.0;3451.0;Machine 04
6;1;2023-01-03 04:13:00;2023-01-03 07:11:00;3133.0;3311.0;Machine 06
6;2;2023-01-03 02:04:00;2023-01-03 04:08:00;3004.0;3128.0;Machine 02
6;3;2023-01-02 23:27:00;2023-01-03 02:04:00;2847.0;3004.0;Machine 01
7;0;2023-01-03 15:50:00;2023-01-03 18:20:00;3830.0;3980.0;Machine 06
7;1;2023-01-03 13:25:00;2023-01-03 15:50:00;3685.0;3830.0;Machine 04
7;2;2023-01-03 02:27:00;2023-01-03 06:11:00;3027.0;3251.0;Machine 05
7;3;2023-01-02 06:30:00;2023-01-02 10:47:00;1830.0;2087.0;Machine 02
8;0;2023-01-02 17:23:00;2023-01-02 19:53:00;2483.0;2633.0;Machine 05
8;1;2023-01-02 16:33:00;2023-01-02 17:23:00;2433.0;2483.0;Machine 06
8;2;2023-01-02 00:08:00;2023-01-02 03:08:00;1448.0;1628.0;Machine 02
8;3;2023-01-01 18:39:00;2023-01-01 21:09:00;1119.0;1269.0;Machine 01
9;0;2023-01-01 18:59:00;2023-01-01 21:29:00;1139.0;1289.0;Machine 07
9;1;2023-01-01 16:01:00;2023-01-01 18:59:00;961.0;1139.0;Machine 06
9;2;2023-01-01 12:17:00;2023-01-01 16:01:00;737.0;961.0;Machine 05
9;3;2023-01-01 08:00:00;2023-01-01 12:17:00;480.0;737.0;Machine 02
10;0;2023-01-02 11:46:00;2023-01-02 14:36:00;2146.0;2316.0;Machine 07
10;1;2023-01-02 09:37:00;2023-01-02 10:17:00;2017.0;2057.0;Machine 04
10;2;2023-01-02 05:57:00;2023-01-02 09:37:00;1797.0;2017.0;Machine 03
10;3;2023-01-02 03:27:00;2023-01-02 05:57:00;1647.0;1797.0;Machine 01
11;0;2023-01-02 03:05:00;2023-01-02 06:55:00;1625.0;1855.0;Machine 07
11;1;2023-01-01 21:31:00;2023-01-01 23:56:00;1291.0;1436.0;Machine 04
11;2;2023-01-01 15:13:00;2023-01-01 18:57:00;913.0;1137.0;Machine 02
11;3;2023-01-01 08:00:00;2023-01-01 13:57:00;480.0;837.0;Machine 01
