Job;Op;Start;Finish;Start_f;Finish_f;Resource
0;0;2023-01-02 13:01:00;2023-01-02 15:26:00;2221.0;2366.0;Machine 07
0;1;2023-01-02 09:35:00;2023-01-02 12:05:00;2015.0;2165.0;Machine 03
0;2;2023-01-01 17:40:00;2023-01-01 19:50:00;1060.0;1190.0;Machine 01
0;3;2023-01-01 08:00:00;2023-01-01 12:06:00;480.0;726.0;Machine 00
1;0;2023-01-02 21:15:00;2023-01-02 23:15:00;2715.0;2835.0;Machine 04
1;1;2023-01-02 16:12:00;2023-01-02 19:10:00;2412.0;2590.0;Machine 04
1;2;2023-01-02 13:17:00;2023-01-02 14:23:00;2237.0;2303.0;Machine 01
1;3;2023-01-02 09:43:00;2023-01-02 13:17:00;2023.0;2237.0;Machine 00
2;0;2023-01-02 17:33:00;2023-01-02 20:23:00;2493.0;2663.0;Machine 05
2;1;2023-01-02 11:55:00;2023-01-02 13:35:00;2155.0;2255.0;Machine 04
2;2;2023-01-02 07:54:00;2023-01-02 10:54:00;1914.0;2094.0;Machine 02
2;3;2023-01-01 14:14:00;2023-01-01 15:41:00;854.0;941.0;Machine 00
3;0;2023-01-02 06:59:00;2023-01-02 09:49:00;1859.0;2029.0;Machine 05
3;1;2023-01-02 04:34:00;2023-01-02 06:59:00;1714.0;1859.0;Machine 03
3;2;2023-01-02 00:24:00;2023-01-02 04:34:00;1464.0;1714.0;Machine 02
3;3;2023-01-01 20:17:00;2023-01-01 21:44:00;1217.0;1304.0;Machine 00
4;0;2023-01-03 05:30:00;2023-01-03 08:30:00;3210.0;3390.0;Machine 05
4;1;2023-01-03 03:40:00;2023-01-03 05:30:00;3100.0;3210.0;Machine 04
4;2;2023-01-03 02:35:00;2023-01-03 03:40:00;3035.0;3100.0;Machine 03
4;3;2023-01-02 21:41:00;2023-01-02 23:49:00;2741.0;2869.0;Machine 00
5;0;2023-01-02 09:29:00;2023-01-02 10:19:00;2009.0;2059.0;Machine 06
5;1;2023-01-01 19:31:00;2023-01-01 21:31:00;1171.0;1291.0;Machine 04
5;2;2023-01-01 13:48:00;2023-01-01 16:18:00;828.0;978.0;Machine 03
5;3;2023-01-01 08:00:00;2023-01-01 10:25:00;480.0;625.0;Machine 01
6;0;2023-01-02 22:32:00;2023-01-03 02:22:00;2792.0;3022.0;Machine 07
6;1;2023-01-02 19:34:00;2023-01-02 22:32:00;2614.0;2792.0;Machine 06
6;2;2023-01-02 17:30:00;2023-01-02 19:34:00;2490.0;2614.0;Machine 02
6;3;2023-01-02 04:15:00;2023-01-02 06:52:00;1695.0;1852.0;Machine 01
7;0;2023-01-02 08:22:00;2023-01-02 10:52:00;1942.0;2092.0;Machine 07
7;1;2023-01-02 03:52:00;2023-01-02 06:50:00;1672.0;1850.0;Machine 06
7;2;2023-01-01 12:17:00;2023-01-01 16:01:00;737.0;961.0;Machine 05
7;3;2023-01-01 08:00:00;2023-01-01 12:17:00;480.0;737.0;Machine 02
8;0;2023-01-01 18:29:00;2023-01-01 21:19:00;1109.0;1279.0;Machine 07
8;1;2023-01-01 17:39:00;2023-01-01 18:29:00;1059.0;1109.0;Machine 06
8;2;2023-01-01 14:39:00;2023-01-01 17:39:00;879.0;1059.0;Machine 02
8;3;2023-01-01 11:32:00;2023-01-01 14:02:00;692.0;842.0;Machine 01
9;0;2023-01-02 01:27:00;2023-01-02 03:57:00;1527.0;1677.0;Machine 07
9;1;2023-01-01 22:42:00;2023-01-02 01:27:00;1362.0;1527.0;Machine 05
9;2;2023-01-01 12:04:00;2023-01-01 16:32:00;724.0;992.0;Machine 04
9;3;2023-01-01 08:00:00;2023-01-01 12:04:00;480.0;724.0;Machine 03
10;0;2023-01-03 16:54:00;2023-01-03 19:24:00;3894.0;4044.0;Machine 05
10;1;2023-01-03 16:14:00;2023-01-03 16:54:00;3854.0;3894.0;Machine 04
10;2;2023-01-03 12:34:00;2023-01-03 16:14:00;3634.0;3854.0;Machine 03
10;3;2023-01-03 10:04:00;2023-01-03 12:34:00;3484.0;3634.0;Machine 01
11;0;2023-01-03 13:18:00;2023-01-03 17:08:00;3678.0;3908.0;Machine 07
11;1;2023-01-03 10:20:00;2023-01-03 13:18:00;3500.0;3678.0;Machine 06
11;2;2023-01-03 06:36:00;2023-01-03 10:20:00;3276.0;3500.0;Machine 02
11;3;2023-01-02 20:00:00;2023-01-03 01:57:00;2640.0;2997.0;Machine 01
