Job;Op;Start;Finish;Start_f;Finish_f;Resource
0;0;2023-01-10 11:58:00;2023-01-11 11:59:00.000000000;13678.999999999996;15118.999999999996;Machine 01
0;1;2023-01-09 11:58:00;2023-01-10 11:59:00.000000000;12238.999999999996;13678.999999999996;Machine 00
0;2;2023-01-06 19:58:00;2023-01-08 19:58:45.745105656;8398.762418427645;11278.762418427645;Machine 02
0;3;2023-01-03 10:18:00;2023-01-05 10:19:00.000000000;3498.9999999999986;6378.999999999998;Machine 03
0;4;2023-01-02 10:18:00;2023-01-03 10:19:00.000000000;2058.999999999999;3498.999999999999;Machine 04
1;0;2023-01-05 11:18:00;2023-01-06 11:19:00.000000000;6438.999999999998;7878.999999999998;Machine 03
1;1;2023-01-04 10:30:00;2023-01-05 10:30:16.217277516;4950.270287958555;6390.270287958555;Machine 01
1;2;2023-01-03 09:41:00;2023-01-04 09:41:28.126318524;3461.468771975446;4901.468771975446;Machine 02
1;3;2023-01-02 08:47:00;2023-01-03 08:47:07.516084290;1967.1252680714874;3407.1252680714874;Machine 00
1;4;2023-01-01 08:00:00;2023-01-02 08:00:00.000000000;480.00000000000017;1920.0000000000002;Machine 04
2;0;2023-01-12 13:58:00;2023-01-13 13:58:00.000000000;16678.0;18118.0;Machine 00
2;1;2023-01-11 13:57:00;2023-01-12 13:58:00.000000000;15237.999999999998;16678.0;Machine 02
2;2;2023-01-08 13:57:00;2023-01-11 13:58:00.000000000;10917.999999999998;15237.999999999998;Machine 03
2;3;2023-01-06 13:40:00;2023-01-08 13:40:12.217422858;8020.203623714322;10900.203623714322;Machine 01
2;4;2023-01-05 13:24:00;2023-01-06 13:24:33.566758884;6564.5594459814465;8004.5594459814465;Machine 04
3;0;2023-01-13 16:37:00;2023-01-15 16:37:00.000000000;18277.0;21157.0;Machine 00
3;1;2023-01-11 16:36:00;2023-01-13 16:37:00.000000000;15396.999999999998;18277.0;Machine 03
3;2;2023-01-09 04:53:00;2023-01-11 04:53:13.163538096;11813.219392301648;14693.219392301648;Machine 02
3;3;2023-01-07 18:00:00;2023-01-08 18:00:09.248183772;9720.154136396168;11160.154136396168;Machine 04
4;0;2023-01-08 10:58:00;2023-01-09 10:59:00.000000000;10738.999999999996;12178.999999999996;Machine 00
4;1;2023-01-07 10:58:00;2023-01-08 10:59:00.000000000;9298.999999999996;10738.999999999996;Machine 03
4;2;2023-01-06 10:58:00;2023-01-07 10:59:00.000000000;7858.999999999997;9298.999999999996;Machine 00
4;3;2023-01-05 10:59:00;2023-01-06 10:59:00.000000000;6419.0;7859.0;Machine 02
4;4;2023-01-03 10:59:00;2023-01-05 10:59:00.000000000;3539.0;6419.0;Machine 04
