Job;Op;Start;Finish;Start_f;Finish_f;Resource
1;0;2023-01-01;2023-01-02;0.0;1440.0;Machine 1
0;0;2023-01-02;2023-01-03;1440.0;2880.0;Machine 1
3;0;2023-01-03;2023-01-04;2880.0;4320.0;Machine 1
4;0;2023-01-04;2023-01-06;4320.0;7200.0;Machine 1
2;0;2023-01-06;2023-01-07;7200.0;8640.0;Machine 1
0;1;2023-01-03;2023-01-05;2880.0;5760.0;Machine 2
1;4;2023-01-05;2023-01-06;5760.0;7200.0;Machine 2
3;2;2023-01-06;2023-01-08;7200.0;10080.0;Machine 2
4;3;2023-01-08;2023-01-09;10080.0;11520.0;Machine 2
2;2;2023-01-09;2023-01-12;11520.0;15840.0;Machine 2
1;2;2023-01-03;2023-01-04;2880.0;4320.0;Machine 3
3;1;2023-01-04;2023-01-06;4320.0;7200.0;Machine 3
4;1;2023-01-06;2023-01-07;7200.0;8640.0;Machine 3
0;2;2023-01-07;2023-01-09;8640.0;11520.0;Machine 3
2;3;2023-01-12;2023-01-13;15840.0;17280.0;Machine 3
1;1;2023-01-02;2023-01-03;1440.0;2880.0;Machine 4
4;2;2023-01-07;2023-01-08;8640.0;10080.0;Machine 4
0;3;2023-01-09;2023-01-10;11520.0;12960.0;Machine 4
4;4;2023-01-10;2023-01-11;12960.0;14400.0;Machine 4
3;3;2023-01-11;2023-01-13;14400.0;17280.0;Machine 4
2;4;2023-01-13;2023-01-14;17280.0;18720.0;Machine 4
1;3;2023-01-04;2023-01-05;4320.0;5760.0;Machine 5
2;1;2023-01-07;2023-01-09;8640.0;11520.0;Machine 5
0;4;2023-01-10;2023-01-11;12960.0;14400.0;Machine 5
