Job;Op;Start;Finish;Start_f;Finish_f;Resource
0;0;2023-01-01 21:31:00.000000000;2023-01-02 00:01:00.000000000;1290.9999999999966;1440.9999999999966;Machine 03
0;1;2023-01-01 19:03:59.031452586;2023-01-01 21:05:59.031452586;1143.983857543096;1265.983857543096;Machine 06
0;2;2023-01-01 13:38:00.000000000;2023-01-01 17:44:00.000000000;818.0;1064.0;Machine 00
1;0;2023-01-01 16:14:00.000000000;2023-01-01 17:49:00.000000000;973.999999999984;1068.999999999984;Machine 05
1;1;2023-01-01 12:57:00.000000000;2023-01-01 14:24:00.000000000;777.000000000001;864.000000000001;Machine 02
1;2;2023-01-01 08:00:00.000000000;2023-01-01 10:30:00.000000000;480.0000000000017;630.0000000000017;Machine 02
2;0;2023-01-01 13:37:00.000000000;2023-01-01 15:17:00.000000000;816.9999999999542;916.9999999999542;Machine 04
2;1;2023-01-01 11:10:47.374980966;2023-01-01 13:35:47.374980966;670.7895830161442;815.7895830161442;Machine 06
2;2;2023-01-01 10:08:47.374980966;2023-01-01 11:10:47.374980966;608.7895830161442;670.7895830161442;Machine 01
3;0;2023-01-01 14:31:00.000000000;2023-01-01 16:56:00.000000000;871.0000000000006;1016.0000000000006;Machine 03
3;1;2023-01-01 09:05:00.000000000;2023-01-01 11:58:00.000000000;544.9999999999994;717.9999999999994;Machine 04
3;2;2023-01-01 08:00:00.000000000;2023-01-01 09:05:00.000000000;480.000000000001;545.000000000001;Machine 01
4;0;2023-01-01 11:13:00.000000000;2023-01-01 12:38:00.000000000;673.0000000000008;758.0000000000008;Machine 05
4;1;2023-01-01 10:08:00.000000000;2023-01-01 11:13:00.000000000;608.0;673.0;Machine 03
4;2;2023-01-01 08:00:00.000000000;2023-01-01 10:08:00.000000000;480.0;608.0;Machine 00
5;0;2023-01-01 21:17:00.000000000;2023-01-02 01:17:00.000000000;1276.999999999994;1516.999999999994;Machine 05
5;1;2023-01-01 19:15:00.000000000;2023-01-01 21:17:00.000000000;1155.0000000000105;1277.0000000000105;Machine 02
5;2;2023-01-01 15:44:35.729027970;2023-01-01 18:09:35.729027970;944.5954837994648;1089.5954837994648;Machine 01
6;0;2023-01-02 09:42:00.000000000;2023-01-02 12:07:00.000000000;2021.9999999999993;2166.999999999999;Machine 04
6;1;2023-01-02 07:38:00.000000000;2023-01-02 09:42:00.000000000;1898.0000000000052;2022.0000000000052;Machine 02
6;2;2023-01-02 05:01:00.000000000;2023-01-02 07:38:00.000000000;1741.0000000000018;1898.0000000000018;Machine 01
