Job;Op;Start;Finish;Start_f;Finish_f;Resource
0;0;2023-01-02 05:40:00.000000000;2023-01-02 09:10:00.000000000;1779.9999999999818;1989.9999999999818;Machine 06
0;1;2023-01-02 02:25:00.000000000;2023-01-02 05:05:00.000000000;1584.9999999999873;1744.9999999999873;Machine 04
0;2;2023-01-01 20:54:59.999999994;2023-01-01 23:14:59.999999994;1254.9999999999054;1394.9999999999054;Machine 03
0;3;2023-01-01 16:49:00.000000000;2023-01-01 20:55:00.000000000;1008.9999999999964;1254.9999999999964;Machine 00
1;0;2023-01-01 16:27:00.000000000;2023-01-01 18:27:00.000000000;986.9999999999709;1106.999999999971;Machine 04
1;1;2023-01-01 14:51:00.000000000;2023-01-01 16:26:00.000000000;891.0;986.0;Machine 05
1;2;2023-01-01 13:45:00.000000000;2023-01-01 14:51:00.000000000;825.0000000000256;891.0000000000256;Machine 01
1;3;2023-01-01 08:00:00.000000000;2023-01-01 11:34:00.000000000;479.99999999999636;693.9999999999964;Machine 00
2;0;2023-01-01 12:27:00.000000000;2023-01-01 15:12:00.000000000;747.0;912.0;Machine 06
2;1;2023-01-01 10:47:00.000000000;2023-01-01 12:27:00.000000000;647.0;747.0;Machine 04
2;2;2023-01-01 09:02:00.000000000;2023-01-01 10:47:00.000000000;542.0000000000147;647.0000000000147;Machine 03
2;3;2023-01-01 08:00:00.000000000;2023-01-01 09:02:00.000000000;480.00000000002683;542.0000000000268;Machine 01
3;0;2023-01-02 06:29:59.999999988;2023-01-02 09:19:59.999999988;1829.9999999998363;1999.9999999998363;Machine 05
3;1;2023-01-02 01:25:59.999999988;2023-01-02 03:41:59.999999988;1525.9999999998363;1661.9999999998363;Machine 05
3;2;2023-01-01 21:15:59.999999994;2023-01-02 01:25:59.999999994;1275.9999999998563;1525.9999999998563;Machine 02
3;3;2023-01-01 20:01:00.000000000;2023-01-01 21:06:00.000000000;1201.0000000000255;1266.0000000000255;Machine 01
4;0;2023-01-02 19:25:59.999999988;2023-01-02 22:25:59.999999988;2605.9999999998367;2785.9999999998367;Machine 05
4;1;2023-01-02 15:31:00.000000000;2023-01-02 17:11:00.000000000;2370.999999999962;2470.999999999962;Machine 01
4;2;2023-01-02 10:55:00.000000000;2023-01-02 12:00:00.000000000;2094.9999999999873;2159.9999999999873;Machine 03
4;3;2023-01-02 06:30:00.000000000;2023-01-02 08:38:00.000000000;1829.9999999999964;1957.9999999999964;Machine 00
5;0;2023-01-02 13:52:00.000000000;2023-01-02 14:42:00.000000000;2271.999999999982;2321.999999999982;Machine 06
5;1;2023-01-02 08:53:00.000000000;2023-01-02 10:53:00.000000000;1972.9999999999873;2092.9999999999873;Machine 04
5;2;2023-01-02 06:23:00.000000000;2023-01-02 08:53:00.000000000;1822.9999999999873;1972.9999999999873;Machine 03
5;3;2023-01-02 03:58:00.000000000;2023-01-02 06:23:00.000000000;1677.9999999999873;1822.9999999999873;Machine 01
6;0;2023-01-01 20:56:00.000000000;2023-01-02 00:46:00.000000000;1255.9999999999818;1485.9999999999818;Machine 06
6;1;2023-01-01 18:11:00.000000000;2023-01-01 20:56:00.000000000;1091.0;1256.0;Machine 05
6;2;2023-01-01 15:08:59.999999994;2023-01-01 17:12:59.999999994;908.9999999999275;1032.9999999999275;Machine 02
6;3;2023-01-01 08:00:00.000000000;2023-01-01 10:25:00.000000000;479.99999999999636;624.9999999999964;Machine 02
7;0;2023-01-03 00:42:00.000000000;2023-01-03 03:12:00.000000000;2921.9999999999873;3071.9999999999873;Machine 06
7;1;2023-01-02 22:17:00.000000000;2023-01-03 00:42:00.000000000;2776.9999999999873;2921.9999999999873;Machine 04
7;2;2023-01-02 14:11:59.999999988;2023-01-02 17:55:59.999999988;2291.9999999998363;2515.9999999998363;Machine 05
7;3;2023-01-02 04:25:00.000000000;2023-01-02 08:42:00.000000000;1704.999999999951;1961.999999999951;Machine 02
