Job;Op;Start;Finish;Start_f;Finish_f;Resource
0;0;2023-01-08 21:58:00;2023-01-09 05:58:00;11398.0;11878.0;Machine 18
0;1;2023-01-08 01:58:00;2023-01-08 21:58:00;10198.0;11398.0;Machine 14
0;2;2023-01-06 21:58:00;2023-01-08 01:58:00;8518.0;10198.0;Machine 09
0;3;2023-01-05 12:53:00;2023-01-06 08:53:00;6533.0;7733.0;Machine 10
0;4;2023-01-05 00:53:00;2023-01-05 12:53:00;5813.0;6533.0;Machine 08
0;5;2023-01-04 16:53:00;2023-01-05 00:53:00;5333.0;5813.0;Machine 12
0;6;2023-01-04 00:53:00;2023-01-04 16:53:00;4373.0;5333.0;Machine 19
1;0;2023-01-04 15:00:00;2023-01-04 18:00:00;5220.0;5400.0;Machine 18
1;1;2023-01-04 07:00:00;2023-01-04 15:00:00;4740.0;5220.0;Machine 17
1;2;2023-01-04 01:00:00;2023-01-04 07:00:00;4380.0;4740.0;Machine 07
1;3;2023-01-03 23:00:00;2023-01-04 01:00:00;4260.0;4380.0;Machine 12
1;4;2023-01-03 20:00:00;2023-01-03 23:00:00;4080.0;4260.0;Machine 10
1;5;2023-01-03 16:00:00;2023-01-03 20:00:00;3840.0;4080.0;Machine 08
2;0;2023-01-13 15:04:00;2023-01-14 03:04:00;18184.0;18904.0;Machine 18
2;1;2023-01-11 15:04:00;2023-01-13 15:04:00;15304.0;18184.0;Machine 17
2;2;2023-01-08 15:04:00;2023-01-11 15:04:00;10984.0;15304.0;Machine 16
2;3;2023-01-06 21:05:00;2023-01-08 09:05:00;8465.0;10625.0;Machine 11
2;4;2023-01-06 09:05:00;2023-01-06 21:05:00;7745.0;8465.0;Machine 09
2;5;2023-01-05 15:05:00;2023-01-06 09:05:00;6665.0;7745.0;Machine 06
2;6;2023-01-05 09:05:00;2023-01-05 15:05:00;6305.0;6665.0;Machine 12
2;7;2023-01-04 09:05:00;2023-01-05 09:05:00;4865.0;6305.0;Machine 20
2;8;2023-01-04 03:36:00;2023-01-05 15:36:00;4536.0;6696.0;Machine 04
2;9;2023-01-03 09:36:00;2023-01-04 03:36:00;3456.0;4536.0;Machine 03
2;10;2023-01-02 03:36:00;2023-01-03 09:36:00;1656.0;3456.0;Machine 00
2;11;2023-01-01 09:36:00;2023-01-02 03:36:00;576.0;1656.0;Machine 03
3;0;2023-01-06 23:27:00;2023-01-07 03:27:00;8607.0;8847.0;Machine 18
3;1;2023-01-05 20:04:00;2023-01-06 06:04:00;6964.0;7564.0;Machine 14
3;2;2023-01-05 06:04:00;2023-01-05 20:04:00;6124.0;6964.0;Machine 09
3;3;2023-01-04 18:24:00;2023-01-05 04:24:00;5424.0;6024.0;Machine 10
3;4;2023-01-04 12:24:00;2023-01-04 18:24:00;5064.0;5424.0;Machine 05
3;5;2023-01-04 08:24:00;2023-01-04 12:24:00;4824.0;5064.0;Machine 12
3;6;2023-01-04 00:24:00;2023-01-04 08:24:00;4344.0;4824.0;Machine 20
4;0;2023-01-04 10:36:00;2023-01-04 14:36:00;4956.0;5196.0;Machine 18
4;1;2023-01-03 10:00:00;2023-01-03 20:00:00;3480.0;4080.0;Machine 14
4;2;2023-01-02 20:00:00;2023-01-03 10:00:00;2640.0;3480.0;Machine 09
4;3;2023-01-02 10:00:00;2023-01-02 20:00:00;2040.0;2640.0;Machine 11
4;4;2023-01-02 04:00:00;2023-01-02 10:00:00;1680.0;2040.0;Machine 08
4;5;2023-01-02 00:00:00;2023-01-02 04:00:00;1440.0;1680.0;Machine 12
4;6;2023-01-01 16:00:00;2023-01-02 00:00:00;960.0;1440.0;Machine 20
5;0;2023-01-08 08:23:00;2023-01-08 12:23:00;10583.0;10823.0;Machine 18
5;1;2023-01-07 16:23:00;2023-01-08 08:23:00;9623.0;10583.0;Machine 17
5;2;2023-01-06 04:29:00;2023-01-07 04:29:00;7469.0;8909.0;Machine 15
5;3;2023-01-02 00:00:00;2023-01-02 12:00:00;1440.0;2160.0;Machine 10
5;4;2023-01-01 16:00:00;2023-01-02 00:00:00;960.0;1440.0;Machine 09
5;5;2023-01-01 10:00:00;2023-01-01 16:00:00;600.0;960.0;Machine 05
5;6;2023-01-01 08:00:00;2023-01-01 10:00:00;480.0;600.0;Machine 12
5;7;2023-01-01 00:00:00;2023-01-01 08:00:00;0.0;480.0;Machine 20
5;8;2023-01-05 16:29:00;2023-01-06 04:29:00;6749.0;7469.0;Machine 04
5;9;2023-01-05 08:00:00;2023-01-05 14:00:00;6240.0;6600.0;Machine 03
5;10;2023-01-04 22:00:00;2023-01-05 08:00:00;5640.0;6240.0;Machine 00
5;11;2023-01-04 16:00:00;2023-01-04 22:00:00;5280.0;5640.0;Machine 03
6;0;2023-01-06 01:23:00;2023-01-06 04:23:00;7283.0;7463.0;Machine 18
6;1;2023-01-05 17:23:00;2023-01-06 01:23:00;6803.0;7283.0;Machine 17
