Job;Op;Start;Finish;Start_f;Finish_f;Resource
0;0;2023-01-08 10:30:00;2023-01-08 18:30:00;10710.0;11190.0;Machine 18
0;1;2023-01-07 11:06:00;2023-01-08 07:06:00;9306.0;10506.0;Machine 14
0;2;2023-01-06 07:06:00;2023-01-07 11:06:00;7626.0;9306.0;Machine 09
0;3;2023-01-05 11:06:00;2023-01-06 07:06:00;6426.0;7626.0;Machine 11
0;4;2023-01-04 20:06:00;2023-01-05 08:06:00;5526.0;6246.0;Machine 06
0;5;2023-01-04 12:06:00;2023-01-04 20:06:00;5046.0;5526.0;Machine 12
0;6;2023-01-03 20:06:00;2023-01-04 12:06:00;4086.0;5046.0;Machine 19
1;0;2023-01-05 03:37:00;2023-01-05 06:37:00;5977.0;6157.0;Machine 18
1;1;2023-01-04 19:37:00;2023-01-05 03:37:00;5497.0;5977.0;Machine 17
1;2;2023-01-04 09:13:00;2023-01-04 15:13:00;4873.0;5233.0;Machine 06
1;3;2023-01-03 23:07:00;2023-01-04 01:07:00;4267.0;4387.0;Machine 12
1;4;2023-01-03 20:07:00;2023-01-03 23:07:00;4087.0;4267.0;Machine 11
1;5;2023-01-03 16:07:00;2023-01-03 20:07:00;3847.0;4087.0;Machine 05
2;0;2023-01-20 17:58:00;2023-01-21 05:58:00;28438.0;29158.0;Machine 18
2;1;2023-01-18 17:58:00;2023-01-20 17:58:00;25558.0;28438.0;Machine 17
2;2;2023-01-15 17:58:00;2023-01-18 17:58:00;21238.0;25558.0;Machine 15
2;3;2023-01-14 05:58:00;2023-01-15 17:58:00;19078.0;21238.0;Machine 11
2;4;2023-01-13 17:58:00;2023-01-14 05:58:00;18358.0;19078.0;Machine 09
2;5;2023-01-12 23:58:00;2023-01-13 17:58:00;17278.0;18358.0;Machine 05
2;6;2023-01-11 04:26:00;2023-01-11 10:26:00;14666.0;15026.0;Machine 12
2;7;2023-01-10 04:26:00;2023-01-11 04:26:00;13226.0;14666.0;Machine 20
2;8;2023-01-07 12:59:00;2023-01-09 00:59:00;9419.0;11579.0;Machine 04
2;9;2023-01-03 09:36:00;2023-01-04 03:36:00;3456.0;4536.0;Machine 03
2;10;2023-01-02 03:36:00;2023-01-03 09:36:00;1656.0;3456.0;Machine 00
2;11;2023-01-01 09:36:00;2023-01-02 03:36:00;576.0;1656.0;Machine 03
3;0;2023-01-06 07:40:00;2023-01-06 11:40:00;7660.0;7900.0;Machine 18
3;1;2023-01-05 14:18:00;2023-01-06 00:18:00;6618.0;7218.0;Machine 13
3;2;2023-01-05 00:18:00;2023-01-05 14:18:00;5778.0;6618.0;Machine 09
3;3;2023-01-04 14:18:00;2023-01-05 00:18:00;5178.0;5778.0;Machine 11
3;4;2023-01-04 08:18:00;2023-01-04 14:18:00;4818.0;5178.0;Machine 08
3;5;2023-01-04 04:18:00;2023-01-04 08:18:00;4578.0;4818.0;Machine 12
3;6;2023-01-03 20:18:00;2023-01-04 04:18:00;4098.0;4578.0;Machine 20
4;0;2023-01-04 19:43:00;2023-01-04 23:43:00;5503.0;5743.0;Machine 18
4;1;2023-01-03 10:00:00;2023-01-03 20:00:00;3480.0;4080.0;Machine 14
4;2;2023-01-02 20:00:00;2023-01-03 10:00:00;2640.0;3480.0;Machine 09
