Job;Op;Start;Finish;Start_f;Finish_f;Resource
0;0;2023-01-17 05:29:00;2023-01-17 13:29:59.999999526;23369.99999999214;23849.99999999214;Machine 18
0;1;2023-01-16 09:29:00;2023-01-17 05:29:59.999999526;22169.99999999214;23369.99999999214;Machine 13
0;2;2023-01-15 05:29:00;2023-01-16 09:29:59.999999526;20489.999999992073;22169.999999992073;Machine 09
0;3;2023-01-09 17:55:00;2023-01-10 13:55:59.999999760;12595.999999995993;13795.999999995993;Machine 11
0;4;2023-01-09 05:55:00;2023-01-09 17:55:59.999999760;11875.999999995993;12595.999999995993;Machine 06
0;5;2023-01-08 21:55:00;2023-01-09 05:55:59.999999814;11395.999999996859;11875.999999996859;Machine 12
0;6;2023-01-08 05:55:00;2023-01-08 21:55:59.999999814;10435.99999999693;11395.99999999693;Machine 20
1;0;2023-01-05 14:24:00;2023-01-05 17:24:00.000000006;6624.000000000132;6804.000000000132;Machine 18
1;1;2023-01-04 10:58:00;2023-01-04 18:58:59.999999964;4978.999999999434;5458.999999999434;Machine 17
1;2;2023-01-04 04:58:00;2023-01-04 10:58:59.999999964;4618.999999999444;4978.999999999444;Machine 07
1;3;2023-01-04 02:58:00;2023-01-04 04:58:59.999999994;4498.999999999909;4618.999999999909;Machine 12
1;4;2023-01-03 19:59:00;2023-01-03 23:00:00.000000000;4079.999999999982;4259.999999999982;Machine 11
1;5;2023-01-03 16:00:00;2023-01-03 20:00:00.000000006;3840.000000000079;4080.000000000079;Machine 05
2;0;2023-01-13 05:06:00;2023-01-13 17:06:59.999999634;17586.99999999387;18306.99999999387;Machine 18
2;1;2023-01-11 05:02:00;2023-01-13 05:02:59.999999946;14702.999999999141;17582.99999999914;Machine 17
2;2;2023-01-08 05:02:00;2023-01-11 05:02:59.999999952;10382.999999999154;14702.999999999154;Machine 16
2;3;2023-01-06 17:02:00;2023-01-08 05:02:59.999999952;8222.999999999154;10382.999999999154;Machine 11
2;4;2023-01-06 05:02:00;2023-01-06 17:02:59.999999952;7502.999999999167;8222.999999999167;Machine 09
2;5;2023-01-05 07:29:00;2023-01-06 01:29:59.999999988;6209.999999999807;7289.999999999807;Machine 08
2;6;2023-01-05 01:29:00;2023-01-05 07:30:00.000000000;5849.9999999999745;6209.9999999999745;Machine 12
2;7;2023-01-04 01:30:00;2023-01-05 01:30:00.000000030;4410.000000000521;5850.000000000521;Machine 19
2;8;2023-01-04 03:35:00;2023-01-05 15:36:00.000000000;4535.999999999985;6695.999999999985;Machine 04
2;9;2023-01-03 09:35:00;2023-01-04 03:36:00.000000000;3455.999999999998;4535.999999999998;Machine 03
2;10;2023-01-02 03:35:00;2023-01-03 09:36:00.000000000;1655.9999999999932;3455.999999999993;Machine 01
2;11;2023-01-01 09:35:00;2023-01-02 03:36:00.000000000;575.9999999999782;1655.9999999999782;Machine 03
3;0;2023-01-07 09:50:00;2023-01-07 13:50:00.000000000;9230.0;9470.0;Machine 18
3;1;2023-01-06 23:50:00;2023-01-07 09:50:00.000000000;8630.000000000002;9230.000000000002;Machine 13
3;2;2023-01-05 14:21:00;2023-01-06 04:21:59.999999952;6621.999999999187;7461.999999999187;Machine 09
3;3;2023-01-04 15:04:00;2023-01-05 01:04:59.999999988;5224.999999999751;5824.999999999751;Machine 11
3;4;2023-01-04 09:04:00;2023-01-04 15:05:00.000000000;4864.999999999988;5224.999999999988;Machine 05
3;5;2023-01-04 05:04:00;2023-01-04 09:05:00.000000000;4624.999999999988;4864.999999999988;Machine 12
3;6;2023-01-03 16:00:00;2023-01-04 00:00:00.000000000;3840.0;4320.0;Machine 20
4;0;2023-01-05 17:30:00;2023-01-05 21:30:00.000000006;6810.000000000132;7050.000000000132;Machine 18
4;1;2023-01-04 05:18:00;2023-01-04 15:19:00.000000000;4638.999999999976;5238.999999999976;Machine 13
4;2;2023-01-03 15:19:00;2023-01-04 05:19:00.000000000;3799.0;4639.0;Machine 09
4;3;2023-01-02 10:00:00;2023-01-02 20:00:00.000000000;2040.0;2640.0;Machine 10
4;4;2023-01-02 04:00:00;2023-01-02 10:00:00.000000000;1680.0;2040.0;Machine 06
4;5;2023-01-02 00:00:00;2023-01-02 04:00:00.000000000;1440.0;1680.0;Machine 12
4;6;2023-01-01 15:59:00;2023-01-02 00:00:00.000000000;959.9999999999854;1439.9999999999854;Machine 20
5;0;2023-01-08 07:12:00;2023-01-08 11:12:00.000003683;10512.000000061373;10752.000000061373;Machine 18
5;1;2023-01-07 15:11:00;2023-01-08 07:11:59.999999994;9551.99999999994;10511.99999999994;Machine 17
5;2;2023-01-06 04:28:00;2023-01-07 04:28:59.999999988;7468.999999999827;8908.999999999827;Machine 15
5;3;2023-01-03 12:01:00;2023-01-04 00:01:00.000000000;3601.0;4321.0;Machine 10
5;4;2023-01-01 16:00:00;2023-01-02 00:00:00.000000000;960.0;1440.0;Machine 09
5;5;2023-01-01 10:00:00;2023-01-01 16:00:00.000000000;600.0;960.0;Machine 08
5;6;2023-01-01 08:00:00;2023-01-01 10:00:00.000000000;480.0;600.0;Machine 12
5;7;2023-01-01 00:00:00;2023-01-01 08:00:00.000000000;0.0;480.0;Machine 20
5;8;2023-01-05 16:28:00;2023-01-06 04:28:59.999999994;6748.999999999916;7468.999999999916;Machine 04
5;9;2023-01-05 08:00:00;2023-01-05 14:00:00.000000000;6240.0;6600.0;Machine 03
5;10;2023-01-04 22:00:00;2023-01-05 08:00:00.000000000;5640.00000000001;6240.00000000001;Machine 02
5;11;2023-01-04 16:00:00;2023-01-04 22:00:00.000000000;5280.0;5640.0;Machine 03
6;0;2023-01-06 00:28:00;2023-01-06 03:29:00.000000000;7228.999999999985;7408.999999999985;Machine 18
6;1;2023-01-05 16:29:00;2023-01-06 00:29:00.000000000;6749.0;7229.0;Machine 17
6;2;2023-01-05 10:29:00;2023-01-05 16:29:00.000000000;6389.000000000002;6749.000000000002;Machine 07
6;3;2023-01-05 08:29:00;2023-01-05 10:29:00.000000000;6269.0;6389.0;Machine 12
6;4;2023-01-05 01:10:00;2023-01-05 04:11:00.000000000;5830.999999999988;6010.999999999988;Machine 11
6;5;2023-01-04 16:00:00;2023-01-04 20:00:00.000000000;5280.0;5520.0;Machine 05
7;0;2023-01-06 06:28:00;2023-01-06 09:28:00.000000042;7588.000000000667;7768.000000000667;Machine 18
7;1;2023-01-05 07:00:00;2023-01-05 15:00:00.000000000;6180.0;6660.0;Machine 17
7;2;2023-01-05 01:00:00;2023-01-05 07:00:00.000000000;5820.000000000008;6180.000000000008;Machine 05
7;3;2023-01-04 23:00:00;2023-01-05 01:00:00.000000000;5700.0;5820.0;Machine 12
7;4;2023-01-04 20:00:00;2023-01-04 23:00:00.000000000;5520.0;5700.0;Machine 10
7;5;2023-01-04 16:00:00;2023-01-04 20:00:00.000000000;5280.0;5520.0;Machine 06
8;0;2023-01-06 04:10:00;2023-01-06 06:10:00.000000048;7450.000000000793;7570.000000000793;Machine 18
8;1;2023-01-05 23:10:00;2023-01-06 04:10:00.000000048;7150.000000000817;7450.000000000817;Machine 14
8;2;2023-01-04 06:00:00;2023-01-04 13:00:00.000000000;4680.0;5100.0;Machine 09
8;3;2023-01-04 01:00:00;2023-01-04 06:00:00.000000000;4380.000000000025;4680.000000000025;Machine 10
