Job;Op;Start;Finish;Start_f;Finish_f;Resource
0;0;2023-01-17 09:24:00;2023-01-17 17:24:00;23604.0;24084.0;Machine 18
0;1;2023-01-16 13:24:00;2023-01-17 09:24:00;22404.0;23604.0;Machine 13
0;2;2023-01-15 09:24:00;2023-01-16 13:24:00;20724.0;22404.0;Machine 09
0;3;2023-01-12 06:29:00;2023-01-13 02:29:00;16229.0;17429.0;Machine 10
0;4;2023-01-05 10:11:00;2023-01-05 22:11:00;6371.0;7091.0;Machine 06
0;5;2023-01-04 12:12:00;2023-01-04 20:12:00;5052.0;5532.0;Machine 12
0;6;2023-01-03 20:12:00;2023-01-04 12:12:00;4092.0;5052.0;Machine 19
1;0;2023-01-04 15:00:00;2023-01-04 18:00:00;5220.0;5400.0;Machine 18
1;1;2023-01-04 07:00:00;2023-01-04 15:00:00;4740.0;5220.0;Machine 17
1;2;2023-01-04 01:00:00;2023-01-04 07:00:00;4380.0;4740.0;Machine 07
1;3;2023-01-03 23:00:00;2023-01-04 01:00:00;4260.0;4380.0;Machine 12
1;4;2023-01-03 20:00:00;2023-01-03 23:00:00;4080.0;4260.0;Machine 10
1;5;2023-01-03 16:00:00;2023-01-03 20:00:00;3840.0;4080.0;Machine 08
2;0;2023-01-19 16:30:00;2023-01-20 04:30:00;26910.0;27630.0;Machine 18
2;1;2023-01-17 16:30:00;2023-01-19 16:30:00;24030.0;26910.0;Machine 17
2;2;2023-01-14 16:30:00;2023-01-17 16:30:00;19710.0;24030.0;Machine 15
2;3;2023-01-13 04:30:00;2023-01-14 16:30:00;17550.0;19710.0;Machine 10
2;4;2023-01-12 16:30:00;2023-01-13 04:30:00;16830.0;17550.0;Machine 09
2;5;2023-01-06 17:29:00;2023-01-07 11:29:00;8249.0;9329.0;Machine 08
2;6;2023-01-06 03:47:00;2023-01-06 09:47:00;7427.0;7787.0;Machine 12
2;7;2023-01-04 05:05:00;2023-01-05 05:05:00;4625.0;6065.0;Machine 20
2;8;2023-01-04 01:07:00;2023-01-05 13:07:00;4387.0;6547.0;Machine 04
