Job;Op;Start;Finish;Start_f;Finish_f;Resource
0;0;2023-01-16 03:51:00;2023-01-16 11:51:00;21831.0;22311.0;Machine 18
0;1;2023-01-15 07:51:00;2023-01-16 03:51:00;20631.0;21831.0;Machine 14
0;2;2023-01-14 03:51:00;2023-01-15 07:51:00;18951.0;20631.0;Machine 09
0;3;2023-01-12 21:35:00;2023-01-13 17:35:00;17135.0;18335.0;Machine 11
0;4;2023-01-08 00:47:00;2023-01-08 12:47:00;10127.0;10847.0;Machine 08
0;5;2023-01-05 14:30:00;2023-01-05 22:30:00;6630.0;7110.0;Machine 12
0;6;2023-01-04 04:54:00;2023-01-04 20:54:00;4614.0;5574.0;Machine 20
1;0;2023-01-04 15:00:00;2023-01-04 18:00:00;5220.0;5400.0;Machine 18
1;1;2023-01-04 07:00:00;2023-01-04 15:00:00;4740.0;5220.0;Machine 17
1;2;2023-01-04 01:00:00;2023-01-04 07:00:00;4380.0;4740.0;Machine 06
1;3;2023-01-03 23:00:00;2023-01-04 01:00:00;4260.0;4380.0;Machine 12
1;4;2023-01-03 20:00:00;2023-01-03 23:00:00;4080.0;4260.0;Machine 11
1;5;2023-01-03 16:00:00;2023-01-03 20:00:00;3840.0;4080.0;Machine 06
2;0;2023-01-17 21:11:00;2023-01-18 09:11:00;24311.0;25031.0;Machine 18
2;1;2023-01-15 21:11:00;2023-01-17 21:11:00;21431.0;24311.0;Machine 17
2;2;2023-01-12 21:11:00;2023-01-15 21:11:00;17111.0;21431.0;Machine 16
2;3;2023-01-11 09:11:00;2023-01-12 21:11:00;14951.0;17111.0;Machine 11
2;4;2023-01-10 21:11:00;2023-01-11 09:11:00;14231.0;14951.0;Machine 09
2;5;2023-01-08 13:11:00;2023-01-09 07:11:00;10871.0;11951.0;Machine 08
2;6;2023-01-07 06:12:00;2023-01-07 12:12:00;9012.0;9372.0;Machine 12
2;7;2023-01-04 07:48:00;2023-01-05 07:48:00;4788.0;6228.0;Machine 19
2;8;2023-01-03 21:48:00;2023-01-05 09:48:00;4188.0;6348.0;Machine 04
2;9;2023-01-03 03:48:00;2023-01-03 21:48:00;3108.0;4188.0;Machine 03
2;10;2023-01-01 18:00:00;2023-01-03 00:00:00;1080.0;2880.0;Machine 01
2;11;2023-01-01 00:00:00;2023-01-01 18:00:00;0.0;1080.0;Machine 03
3;0;2023-01-06 02:12:00;2023-01-06 06:12:00;7332.0;7572.0;Machine 18
3;1;2023-01-05 14:18:00;2023-01-06 00:18:00;6618.0;7218.0;Machine 13
3;2;2023-01-05 00:18:00;2023-01-05 14:18:00;5778.0;6618.0;Machine 09
3;3;2023-01-04 14:18:00;2023-01-05 00:18:00;5178.0;5778.0;Machine 10
3;4;2023-01-04 08:18:00;2023-01-04 14:18:00;4818.0;5178.0;Machine 08
3;5;2023-01-04 04:18:00;2023-01-04 08:18:00;4578.0;4818.0;Machine 12
3;6;2023-01-03 20:18:00;2023-01-04 04:18:00;4098.0;4578.0;Machine 20
4;0;2023-01-03 20:00:00;2023-01-04 00:00:00;4080.0;4320.0;Machine 18
4;1;2023-01-03 10:00:00;2023-01-03 20:00:00;3480.0;4080.0;Machine 14
4;2;2023-01-02 20:00:00;2023-01-03 10:00:00;2640.0;3480.0;Machine 09
4;3;2023-01-02 10:00:00;2023-01-02 20:00:00;2040.0;2640.0;Machine 11
4;4;2023-01-02 04:00:00;2023-01-02 10:00:00;1680.0;2040.0;Machine 06
4;5;2023-01-02 00:00:00;2023-01-02 04:00:00;1440.0;1680.0;Machine 12
4;6;2023-01-01 16:00:00;2023-01-02 00:00:00;960.0;1440.0;Machine 20
5;0;2023-01-08 10:46:00;2023-01-08 14:46:00;10726.0;10966.0;Machine 18
5;1;2023-01-07 15:12:00;2023-01-08 07:12:00;9552.0;10512.0;Machine 17
5;2;2023-01-06 14:25:00;2023-01-07 14:25:00;8065.0;9505.0;Machine 15
5;3;2023-01-03 12:19:00;2023-01-04 00:19:00;3619.0;4339.0;Machine 10
5;4;2023-01-02 11:19:00;2023-01-02 19:19:00;2119.0;2599.0;Machine 09
5;5;2023-01-01 10:00:00;2023-01-01 16:00:00;600.0;960.0;Machine 05
5;6;2023-01-01 08:00:00;2023-01-01 10:00:00;480.0;600.0;Machine 12
5;7;2023-01-01 00:00:00;2023-01-01 08:00:00;0.0;480.0;Machine 19
5;8;2023-01-06 02:25:00;2023-01-06 14:25:00;7345.0;8065.0;Machine 04
5;9;2023-01-05 08:00:00;2023-01-05 14:00:00;6240.0;6600.0;Machine 03
5;10;2023-01-04 22:00:00;2023-01-05 08:00:00;5640.0;6240.0;Machine 01
5;11;2023-01-04 16:00:00;2023-01-04 22:00:00;5280.0;5640.0;Machine 03
6;0;2023-01-06 07:12:00;2023-01-06 10:12:00;7632.0;7812.0;Machine 18
6;1;2023-01-05 23:12:00;2023-01-06 07:12:00;7152.0;7632.0;Machine 17
6;2;2023-01-05 17:12:00;2023-01-05 23:12:00;6792.0;7152.0;Machine 05
6;3;2023-01-05 09:36:00;2023-01-05 11:36:00;6336.0;6456.0;Machine 12
6;4;2023-01-05 02:42:00;2023-01-05 05:42:00;5922.0;6102.0;Machine 11
6;5;2023-01-04 16:00:00;2023-01-04 20:00:00;5280.0;5520.0;Machine 08
7;0;2023-01-05 23:06:00;2023-01-06 02:06:00;7146.0;7326.0;Machine 18
7;1;2023-01-05 15:06:00;2023-01-05 23:06:00;6666.0;7146.0;Machine 17
7;2;2023-01-05 04:36:00;2023-01-05 10:36:00;6036.0;6396.0;Machine 06
7;3;2023-01-05 02:36:00;2023-01-05 04:36:00;5916.0;6036.0;Machine 12
7;4;2023-01-04 23:36:00;2023-01-05 02:36:00;5736.0;5916.0;Machine 11
7;5;2023-01-04 16:00:00;2023-01-04 20:00:00;5280.0;5520.0;Machine 06
8;0;2023-01-05 01:47:00;2023-01-05 03:47:00;5867.0;5987.0;Machine 18
8;1;2023-01-04 20:47:00;2023-01-05 01:47:00;5567.0;5867.0;Machine 14
8;2;2023-01-04 13:47:00;2023-01-04 20:47:00;5147.0;5567.0;Machine 09
8;3;2023-01-04 06:12:00;2023-01-04 11:12:00;4692.0;4992.0;Machine 10
8;4;2023-01-04 03:12:00;2023-01-04 06:12:00;4512.0;4692.0;Machine 08
8;5;2023-01-04 01:12:00;2023-01-04 03:12:00;4392.0;4512.0;Machine 12
8;6;2023-01-03 16:00:00;2023-01-03 20:00:00;3840.0;4080.0;Machine 20
9;0;2023-01-18 12:44:00;2023-01-18 20:44:00;25244.0;25724.0;Machine 18
9;1;2023-01-17 16:44:00;2023-01-18 12:44:00;24044.0;25244.0;Machine 13
9;2;2023-01-16 12:44:00;2023-01-17 16:44:00;22364.0;24044.0;Machine 09
9;3;2023-01-15 16:44:00;2023-01-16 12:44:00;21164.0;22364.0;Machine 11
9;4;2023-01-10 21:19:00;2023-01-11 09:19:00;14239.0;14959.0;Machine 08
9;5;2023-01-10 13:19:00;2023-01-10 21:19:00;13759.0;14239.0;Machine 12
