Job;Op;Start;Finish;Start_f;Finish_f;Resource
0;0;2023-01-17 05:20:00;2023-01-17 13:20:59.999999988;23360.999999999833;23840.999999999833;Machine 18
0;1;2023-01-16 09:20:00;2023-01-17 05:20:59.999999988;22160.999999999833;23360.999999999833;Machine 14
0;2;2023-01-15 05:20:00;2023-01-16 09:20:59.999999988;20480.999999999833;22160.999999999833;Machine 09
0;3;2023-01-06 08:58:00;2023-01-07 04:58:59.999999862;7738.999999997737;8938.999999997737;Machine 11
0;4;2023-01-05 19:07:00;2023-01-06 07:07:00.000000000;6907.0;7627.0;Machine 05
0;5;2023-01-05 05:59:00;2023-01-05 13:59:59.999999904;6119.999999998403;6599.999999998403;Machine 12
0;6;2023-01-04 04:53:00;2023-01-04 20:53:59.999999988;4613.999999999778;5573.999999999778;Machine 20
1;0;2023-01-04 15:00:00;2023-01-04 18:00:00.000000000;5220.0;5400.0;Machine 18
1;1;2023-01-04 06:59:00;2023-01-04 15:00:00.000000000;4739.999999999985;5219.999999999985;Machine 17
1;2;2023-01-04 00:59:00;2023-01-04 06:59:59.999999934;4379.999999998865;4739.999999998865;Machine 06
1;3;2023-01-03 22:59:00;2023-01-04 01:00:00.000000000;4259.999999999985;4379.999999999985;Machine 12
1;4;2023-01-03 20:00:00;2023-01-03 23:00:00.000000000;4080.0;4260.0;Machine 10
1;5;2023-01-03 16:00:00;2023-01-03 20:00:00.000000000;3840.0;4080.0;Machine 05
2;0;2023-01-18 21:44:00;2023-01-19 09:44:59.999999988;25784.999999999833;26504.999999999833;Machine 18
2;1;2023-01-16 21:44:00;2023-01-18 21:44:59.999999988;22904.999999999833;25784.999999999833;Machine 17
2;2;2023-01-13 21:44:00;2023-01-16 21:44:59.999999988;18584.999999999833;22904.999999999833;Machine 15
2;3;2023-01-12 09:44:00;2023-01-13 21:44:59.999999988;16424.999999999833;18584.999999999833;Machine 11
2;4;2023-01-11 21:44:00;2023-01-12 09:44:59.999999988;15704.999999999833;16424.999999999833;Machine 09
2;5;2023-01-10 13:24:00;2023-01-11 07:25:00.000000000;13764.999999999958;14844.999999999958;Machine 05
2;6;2023-01-10 07:24:00;2023-01-10 13:25:00.000000000;13404.999999999958;13764.999999999958;Machine 12
2;7;2023-01-09 07:24:00;2023-01-10 07:25:00.000000000;11964.999999999958;13404.999999999958;Machine 19
2;8;2023-01-04 03:35:00;2023-01-05 15:35:59.999999946;4535.9999999990905;6695.9999999990905;Machine 04
2;9;2023-01-03 09:35:00;2023-01-04 03:35:59.999999952;3455.9999999991705;4535.9999999991705;Machine 03
2;10;2023-01-02 03:35:00;2023-01-03 09:36:00.000000000;1655.9999999999782;3455.999999999978;Machine 02
2;11;2023-01-01 09:35:00;2023-01-02 03:36:00.000000000;575.9999999999782;1655.9999999999782;Machine 03
3;0;2023-01-06 14:39:00;2023-01-06 18:39:59.999999994;8079.9999999999345;8319.999999999935;Machine 18
3;1;2023-01-06 04:39:00;2023-01-06 14:39:59.999999994;7479.9999999999345;8079.9999999999345;Machine 14
3;2;2023-01-05 14:39:00;2023-01-06 04:39:59.999999994;6639.9999999999345;7479.9999999999345;Machine 09
3;3;2023-01-04 14:40:00;2023-01-05 00:40:59.999999868;5200.999999997814;5800.999999997814;Machine 10
3;4;2023-01-04 08:17:00;2023-01-04 14:17:59.999999988;4817.999999999785;5177.999999999785;Machine 08
3;5;2023-01-04 04:17:00;2023-01-04 08:17:59.999999988;4577.999999999785;4817.999999999785;Machine 12
3;6;2023-01-03 20:17:00;2023-01-04 04:17:59.999999994;4097.999999999898;4577.999999999898;Machine 20
4;0;2023-01-03 20:00:00;2023-01-04 00:00:00.000000000;4080.0;4320.0;Machine 18
4;1;2023-01-03 09:59:00;2023-01-03 20:00:00.000000000;3479.999999999971;4079.999999999971;Machine 14
4;2;2023-01-02 20:00:00;2023-01-03 10:00:00.000000000;2640.0;3480.0;Machine 09
4;3;2023-01-02 09:59:00;2023-01-02 19:59:59.999999934;2039.9999999989232;2639.999999998923;Machine 11
4;4;2023-01-02 04:00:00;2023-01-02 10:00:00.000000000;1680.0;2040.0;Machine 07
4;5;2023-01-02 00:00:00;2023-01-02 04:00:00.000000000;1440.0;1680.0;Machine 12
4;6;2023-01-01 16:00:00;2023-01-02 00:00:00.000000000;960.0;1440.0;Machine 20
