Job;Op;Start;Finish;Start_f;Finish_f;Resource
0;0;2023-01-01 00:00:00;2024-08-23 00:00:00.000000000;0.0;864000.0;Machine 10
1;0;2023-01-01 00:00:00;2025-01-16 16:00:00.000000000;0.0;1075200.0;Machine 06
2;0;2023-01-01 00:00:00;2025-01-27 12:00:00.000000000;0.0;1090800.0;Machine 21
3;0;2024-05-22 00:15:00;2027-06-14 18:15:00.000000000;730095.0;2341095.0;Machine 27
4;0;2027-11-14 10:44:00;2030-12-07 04:44:59.999989272;2560964.999999821;4171964.999999821;Machine 27
5;0;2026-10-13 10:49:00;2032-07-10 12:54:00.000000114;1989289.000000002;5009094.000000002;Machine 04
6;0;2023-01-01 00:00:00;2024-03-26 00:00:00.000000000;0.0;648000.0;Machine 03
7;0;2025-02-07 20:15:00;2033-11-12 20:15:00.000000000;1107135.0;5715135.0;Machine 15
8;0;2024-11-03 10:03:00;2025-12-25 02:03:59.999999928;968283.9999999988;1568283.9999999988;Machine 00
9;0;2025-12-07 02:25:00;2048-08-28 02:25:59.999996424;1542385.9999999404;13494385.99999994;Machine 01
10;0;2023-01-01 00:00:00;2025-03-27 16:00:00.000000000;0.0;1176000.0;Machine 08
11;0;2036-11-04 15:00:00;2044-03-25 13:00:59.999989272;7281540.999999821;11166540.999999821;Machine 09
12;0;2025-10-22 18:23:00;2029-05-21 10:23:00.000000000;1477103.0000000002;3358703.0;Machine 05
13;0;2025-08-27 08:29:00;2029-03-26 00:29:59.999997096;1395869.9999999516;3277469.9999999516;Machine 08
14;0;2023-01-01 00:00:00;2024-10-15 08:00:00.000000000;0.0;940800.0;Machine 00
15;0;2038-06-20 13:13:00;2052-02-27 13:13:59.999997318;8135353.999999955;15335353.999999955;Machine 00
16;0;2031-03-10 18:23:00;2036-04-27 18:23:59.999995530;4306703.9999999255;7006703.9999999255;Machine 09
17;0;2023-01-01 00:00:00;2026-11-07 06:00:00.000000000;0.0;2025000.0;Machine 09
18;0;2023-01-01 00:00:00;2025-05-25 00:00:00.000000000;0.0;1260000.0;Machine 22
19;0;2023-01-01 00:00:00;2025-06-28 04:00:00.000000000;0.0;1309200.0;Machine 11
20;0;2023-01-01 00:00:00;2026-01-20 15:00:00.000000000;0.0;1606500.0;Machine 16
21;0;2024-09-15 22:11:00;2026-04-05 14:11:59.999999550;898451.9999999925;1714451.9999999925;Machine 04
22;0;2023-01-01 00:00:00;2024-07-20 16:00:00.000000000;0.0;816000.0;Machine 04
23;0;2026-01-13 04:07:00;2029-04-14 14:31:59.999999886;1595767.9999999981;3305671.999999998;Machine 00
24;0;2025-10-24 16:30:00;2032-10-23 20:30:00.000000000;1479870.0;5160750.0;Machine 22
25;0;2026-05-15 03:22:00;2029-08-27 03:22:59.999994636;1771402.9999999106;3499402.9999999106;Machine 16
26;0;2030-03-05 23:59:00;2033-10-05 23:59:59.999997318;3774239.9999999553;5660639.999999955;Machine 16
27;0;2023-01-01 08:00:00;2025-09-27 20:00:00.000000000;480.0;1441200.0;Machine 18
28;0;2026-02-08 10:25:00;2028-12-05 16:25:59.999993742;1633585.9999998957;3118585.9999998957;Machine 18
29;0;2023-01-01 00:00:00;2028-07-09 00:00:00.000000923;1.533347947458824e-08;2903040.0000000154;Machine 07
30;0;2035-07-12 00:37:00;2054-08-21 10:37:59.999997318;6588037.999999955;16639837.999999955;Machine 20
31;0;2025-07-07 10:33:00;2029-01-30 23:39:59.999997318;1322553.9999999553;3199659.9999999553;Machine 06
32;0;2023-01-01 00:00:00;2025-01-20 00:00:00.000000000;0.0;1080000.0;Machine 25
33;0;2025-03-18 06:11:00;2027-04-07 06:11:59.999996424;1162451.9999999404;2242451.9999999404;Machine 25
34;0;2023-01-01 00:00:00;2025-01-01 06:00:00.000000000;0.0;1053000.0;Machine 05
35;0;2025-07-17 06:04:00;2030-04-22 06:04:00.000000000;1336684.0;3842284.0;Machine 11
36;0;2023-01-01 00:00:00;2034-06-27 20:00:00.000000000;0.0;6042000.0;Machine 28
37;0;2025-11-22 08:14:00;2035-03-19 12:14:59.999993742;1521134.9999998957;6423134.999999896;Machine 20
38;0;2023-01-01 00:00:00;2032-01-01 12:00:00.000000000;0.0;4734000.0;Machine 34
39;0;2027-01-03 12:12:00;2031-01-12 12:12:00.000000000;2107452.0;4224252.0;Machine 09
40;0;2023-01-01 00:00:00;2024-12-03 05:45:00.000000000;0.0;1011225.0;Machine 02
41;0;2024-08-25 16:30:00;2027-04-12 16:30:00.000000000;867870.0;2250270.0;Machine 03
42;0;2028-06-28 20:12:00;2041-05-11 20:12:00.000000780;2888412.0000000126;9656412.000000013;Machine 13
43;0;2023-01-01 07:59:00;2026-09-12 07:59:59.999998212;479.9999999701977;1944479.9999999702;Machine 13
44;0;2023-01-01 00:00:00;2027-09-30 08:00:00.000000000;0.0;2496000.0;Machine 29
45;0;2023-01-01 00:00:00;2030-07-04 23:00:00.000000000;0.0;3948420.0;Machine 30
46;0;2029-07-02 16:09:00;2036-05-26 16:09:59.999998656;3419529.9999999776;7048329.999999978;Machine 06
47;0;2033-06-02 20:55:00;2037-06-29 08:55:59.999982564;5480455.999999709;7622455.999999709;Machine 18
48;0;2029-04-18 06:51:00;2033-05-14 18:51:59.999986140;3310971.999999769;5452971.999999769;Machine 18
49;0;2023-01-01 00:00:00;2025-07-26 12:00:00.000000000;0.0;1350000.0;Machine 01
50;0;2028-11-19 14:25:00;2045-04-24 14:26:00.000000000;3095425.999999999;11735426.0;Machine 07
51;0;2023-01-01 00:00:00;2041-03-09 10:48:00.000000000;0.0;9565128.0;Machine 19
52;0;2025-01-09 18:12:00;2028-10-20 18:11:00.000000000;1065252.0;3052451.0;Machine 12
53;0;2023-01-01 00:00:00;2028-11-16 03:41:00.000000000;0.0;3090461.0;Machine 14
54;0;2023-01-01 00:00:00;2033-05-03 00:00:00.000000000;0.0;5436000.0;Machine 17
55;0;2038-04-05 04:58:00;2046-06-22 04:58:59.999997318;8025418.999999955;12345418.999999955;Machine 17
55;1;2030-08-14 18:27:00;2038-01-04 18:27:00.000000000;4007187.0;7895187.0;Machine 11
55;2;2034-04-26 04:58:00;2038-04-05 04:58:59.999997318;5951818.999999955;8025418.999999955;Machine 00
55;3;2029-08-07 02:54:00;2034-04-07 02:54:59.999997318;3470574.9999999553;5924334.999999955;Machine 00
56;0;2023-01-01 00:00:00;2023-07-24 04:00:00.000000000;0.0;294000.0;Machine 24
57;0;2023-01-01 00:00:00;2025-09-07 00:00:00.000000000;0.0;1411200.0;Machine 20
58;0;2023-01-01 00:00:00;2031-01-19 00:00:00.000000000;0.0;4233600.0;Machine 33
59;0;2023-01-01 00:00:00;2030-02-28 15:00:00.000000000;0.0;3766500.0;Machine 32
60;0;2023-01-01 00:00:00;2030-12-25 12:00:00.000000000;0.0;4198320.0;Machine 31
61;0;2023-01-01 00:00:00;2024-11-23 12:00:00.000000000;0.0;997200.0;Machine 15
62;0;2026-11-16 20:37:00;2029-01-24 20:37:59.999999550;2038837.9999999925;3190837.9999999925;Machine 10
63;0;2024-09-30 04:07:00;2026-06-17 04:07:59.999999550;918967.9999999925;1818967.9999999925;Machine 10
64;0;2023-01-01 00:00:00;2024-11-13 12:00:00.000000000;0.0;982800.0;Machine 12
65;0;2033-02-15 08:53:00;2039-08-03 18:53:00.000000000;5325653.0;8724653.0;Machine 22
65;1;2027-12-16 00:53:00;2033-02-15 08:53:00.000000000;2606453.0;5325653.0;Machine 03
65;2;2029-08-05 18:38:00;2032-03-06 22:38:00.000000000;3468638.0;4828238.0;Machine 05
65;3;2027-12-16 00:53:00;2033-02-15 08:53:00.000000000;2606453.0;5325653.0;Machine 02
66;0;2035-10-15 12:52:00;2043-08-04 12:52:59.999995974;6725572.999999932;10829572.999999933;Machine 15
66;1;2029-07-18 12:52:00;2035-10-15 12:52:59.999997318;3442372.9999999553;6725572.999999955;Machine 08
