Job;Op;Start;Finish;Start_f;Finish_f;Resource
0;0;2023-01-01 00:00:00;2024-08-23 00:00:00;0.0;864000.0;Machine 10
1;0;2023-01-01 00:00:00;2025-01-16 16:00:00;0.0;1075200.0;Machine 06
2;0;2023-01-01 00:00:00;2025-01-27 12:00:00;0.0;1090800.0;Machine 21
3;0;2024-05-22 00:15:00;2027-06-14 18:15:00;730095.0;2341095.0;Machine 27
4;0;2027-11-14 10:45:00;2030-12-07 04:45:00;2560965.0;4171965.0;Machine 27
5;0;2027-09-12 09:00:00;2033-06-09 11:05:00;2470140.0;5489945.0;Machine 03
6;0;2023-01-01 00:00:00;2024-03-26 00:00:00;0.0;648000.0;Machine 03
7;0;2025-02-07 20:15:00;2033-11-12 20:15:00;1107135.0;5715135.0;Machine 15
8;0;2024-11-03 10:04:00;2025-12-25 02:04:00;968284.0;1568284.0;Machine 00
9;0;2025-12-07 02:26:00;2048-08-28 02:26:00;1542386.0;13494386.0;Machine 01
10;0;2025-11-29 22:31:00;2028-02-24 14:31:00;1532071.0;2708071.0;Machine 05
11;0;2036-11-04 15:01:00;2044-03-25 13:01:00;7281541.0;11166541.0;Machine 09
12;0;2023-01-01 00:00:00;2026-07-30 16:00:00;0.0;1881600.0;Machine 07
13;0;2023-01-01 00:00:00;2026-07-30 16:00:00;0.0;1881600.0;Machine 08
14;0;2023-01-01 00:00:00;2024-10-15 08:00:00;0.0;940800.0;Machine 00
15;0;2038-06-20 13:14:00;2052-02-27 13:14:00;8135354.0;15335354.0;Machine 00
16;0;2031-03-10 18:24:00;2036-04-27 18:24:00;4306704.0;7006704.0;Machine 09
17;0;2023-01-01 00:00:00;2026-11-07 06:00:00;0.0;2025000.0;Machine 09
18;0;2023-01-01 00:00:00;2025-05-25 00:00:00;0.0;1260000.0;Machine 11
19;0;2023-01-01 00:00:00;2025-06-28 04:00:00;0.0;1309200.0;Machine 14
20;0;2023-01-01 00:00:00;2026-01-20 15:00:00;0.0;1606500.0;Machine 16
21;0;2024-09-15 22:12:00;2026-04-05 14:12:00;898452.0;1714452.0;Machine 04
22;0;2023-01-01 00:00:00;2024-07-20 16:00:00;0.0;816000.0;Machine 04
23;0;2026-01-13 04:08:00;2029-04-14 14:32:00;1595768.0;3305672.0;Machine 00
24;0;2023-01-01 00:00:00;2029-12-31 04:00:00;0.0;3680880.0;Machine 22
25;0;2026-05-15 03:23:00;2029-08-27 03:23:00;1771403.0;3499403.0;Machine 16
26;0;2030-03-06 00:00:00;2033-10-06 00:00:00;3774240.0;5660640.0;Machine 16
27;0;2023-01-01 08:00:00;2025-09-27 20:00:00;480.0;1441200.0;Machine 18
28;0;2026-02-08 10:26:00;2028-12-05 16:26:00;1633586.0;3118586.0;Machine 18
29;0;2029-03-04 00:46:00;2034-09-10 00:46:00;3245806.0;6148846.0;Machine 10
30;0;2035-07-12 00:38:00;2054-08-21 10:38:00;6588038.0;16639838.0;Machine 20
31;0;2025-07-07 10:34:00;2029-01-30 23:40:00;1322554.0;3199660.0;Machine 06
32;0;2023-01-01 00:00:00;2025-01-20 00:00:00;0.0;1080000.0;Machine 25
33;0;2025-03-18 06:12:00;2027-04-07 06:12:00;1162452.0;2242452.0;Machine 25
34;0;2023-01-01 00:00:00;2025-01-01 06:00:00;0.0;1053000.0;Machine 05
35;0;2025-09-16 12:23:00;2030-06-22 12:23:00;1424903.0;3930503.0;Machine 11
36;0;2023-01-01 00:00:00;2034-06-27 20:00:00;0.0;6042000.0;Machine 26
37;0;2025-11-22 08:15:00;2035-03-19 12:15:00;1521135.0;6423135.0;Machine 20
38;0;2023-01-01 00:00:00;2032-01-01 12:00:00;0.0;4734000.0;Machine 34
39;0;2027-01-03 12:12:00;2031-01-12 12:12:00;2107452.0;4224252.0;Machine 09
40;0;2023-01-01 00:00:00;2024-12-03 05:45:00;0.0;1011225.0;Machine 02
41;0;2024-08-25 16:30:00;2027-04-12 16:30:00;867870.0;2250270.0;Machine 03
42;0;2028-10-07 21:08:00;2041-08-20 21:08:00;3033908.0;9801908.0;Machine 13
43;0;2023-01-01 08:00:00;2026-09-12 08:00:00;480.0;1944480.0;Machine 13
44;0;2023-01-01 00:00:00;2027-09-30 08:00:00;0.0;2496000.0;Machine 29
45;0;2023-01-01 00:00:00;2030-07-04 23:00:00;0.0;3948420.0;Machine 23
46;0;2029-07-02 16:10:00;2036-05-26 16:10:00;3419530.0;7048330.0;Machine 06
47;0;2033-06-02 20:56:00;2037-06-29 08:56:00;5480456.0;7622456.0;Machine 18
48;0;2029-04-18 06:52:00;2033-05-14 18:52:00;3310972.0;5452972.0;Machine 18
49;0;2023-01-01 00:00:00;2025-07-26 12:00:00;0.0;1350000.0;Machine 01
50;0;2026-11-22 04:23:00;2043-04-27 04:23:00;2046503.0;10686503.0;Machine 07
51;0;2023-01-01 00:00:00;2041-03-09 10:48:00;0.0;9565128.0;Machine 19
52;0;2025-01-09 18:12:00;2028-10-20 18:11:00;1065252.0;3052451.0;Machine 12
53;0;2025-11-27 20:30:00;2031-10-14 00:11:00;1529070.0;4619531.0;Machine 14
54;0;2023-01-01 00:00:00;2033-05-03 00:00:00;0.0;5436000.0;Machine 17
55;0;2038-04-05 04:59:00;2046-06-22 04:59:00;8025419.0;12345419.0;Machine 17
55;1;2030-10-15 00:46:00;2038-03-07 00:46:00;4095406.0;7983406.0;Machine 11
55;2;2034-04-26 04:59:00;2038-04-05 04:59:00;5951819.0;8025419.0;Machine 00
55;3;2029-08-07 02:55:00;2034-04-07 02:55:00;3470575.0;5924335.0;Machine 00
56;0;2023-01-01 00:00:00;2023-07-24 04:00:00;0.0;294000.0;Machine 24
57;0;2023-01-01 00:00:00;2025-09-07 00:00:00;0.0;1411200.0;Machine 20
58;0;2023-01-01 00:00:00;2031-01-19 00:00:00;0.0;4233600.0;Machine 33
59;0;2023-01-01 00:00:00;2030-02-28 15:00:00;0.0;3766500.0;Machine 32
60;0;2023-01-01 00:00:00;2030-12-25 12:00:00;0.0;4198320.0;Machine 31
61;0;2023-01-01 00:00:00;2024-11-23 12:00:00;0.0;997200.0;Machine 15
62;0;2026-11-16 20:38:00;2029-01-24 20:38:00;2038838.0;3190838.0;Machine 10
63;0;2024-09-30 04:08:00;2026-06-17 04:08:00;918968.0;1818968.0;Machine 10
64;0;2023-01-01 00:00:00;2024-11-13 12:00:00;0.0;982800.0;Machine 12
65;0;2031-05-24 02:08:00;2037-11-08 12:08:00;4413728.0;7812728.0;Machine 22
65;1;2026-03-22 18:08:00;2031-05-24 02:08:00;1694528.0;4413728.0;Machine 02
65;2;2028-05-15 00:29:00;2030-12-15 04:29:00;2823869.0;4183469.0;Machine 05
65;3;2027-06-26 19:04:00;2030-01-25 23:04:00;2358424.0;3718024.0;Machine 04
66;0;2034-05-22 16:52:00;2042-03-11 16:52:00;5989972.0;10093972.0;Machine 15
66;1;2028-02-23 16:52:00;2034-05-22 16:52:00;2706772.0;5989972.0;Machine 08
66;2;2031-04-08 16:52:00;2034-05-22 16:52:00;4348372.0;5989972.0;Machine 05
66;3;2030-07-16 17:38:00;2033-08-29 17:38:00;3965378.0;5606978.0;Machine 04
67;0;2027-04-11 10:49:00;2028-07-04 10:49:00;2248489.0;2896489.0;Machine 13
67;1;2024-12-22 07:49:00;2025-12-17 07:49:00;1038709.0;1557109.0;Machine 02
67;2;2025-02-08 10:08:00;2025-08-07 10:08:00;1107968.0;1367168.0;Machine 05
67;3;2026-10-13 10:49:00;2027-04-11 10:49:00;1989289.0;2248489.0;Machine 04
68;0;2023-01-01 00:00:00;2024-03-06 16:00:00;0.0;620160.0;Machine 27
