Job;Op;Start;Finish;Start_f;Finish_f;Resource
0;0;2023-01-01 00:00:00;2024-08-23 00:00:00.000000000;0.0;864000.0;Machine 10
1;0;2023-01-01 00:00:00;2025-01-16 16:00:00.000000000;0.0;1075200.0;Machine 06
2;0;2023-01-01 00:00:00;2025-01-27 12:00:00.000000000;0.0;1090800.0;Machine 21
3;0;2024-05-22 00:14:00;2027-06-14 18:14:59.999997318;730094.9999999553;2341094.9999999553;Machine 27
4;0;2027-11-14 10:44:00;2030-12-07 04:44:59.999993742;2560964.9999998957;4171964.9999998957;Machine 27
5;0;2024-08-27 20:07:00;2030-05-25 22:12:59.999999106;870967.9999999851;3890772.999999985;Machine 04
6;0;2024-09-15 22:11:00;2025-12-09 22:11:59.999999220;898451.9999999871;1546451.999999987;Machine 03
7;0;2025-02-07 20:15:00;2033-11-12 20:15:00.000000000;1107135.0;5715135.0;Machine 15
8;0;2024-11-03 10:03:00;2025-12-25 02:03:59.999997318;968283.9999999553;1568283.9999999553;Machine 00
9;0;2025-12-07 02:26:00;2048-08-28 02:26:00.000000000;1542386.0;13494386.0;Machine 01
10;0;2023-01-01 00:00:00;2025-03-27 16:00:00.000000000;0.0;1176000.0;Machine 08
11;0;2036-11-04 15:00:00;2044-03-25 13:00:59.999993292;7281540.999999889;11166540.999999888;Machine 09
12;0;2025-10-22 18:23:00;2029-05-21 10:23:00.000000000;1477103.0;3358703.0;Machine 05
13;0;2025-08-27 08:30:00;2029-03-26 00:30:00.000000000;1395870.0;3277470.0;Machine 08
14;0;2023-01-01 00:00:00;2024-10-15 08:00:00.000000000;0.0;940800.0;Machine 00
15;0;2038-06-20 13:13:00;2052-02-27 13:13:59.999996538;8135353.999999942;15335353.999999942;Machine 00
16;0;2031-03-10 18:23:00;2036-04-27 18:23:59.999994018;4306703.9999999;7006703.9999999;Machine 09
17;0;2023-01-01 00:00:00;2026-11-07 06:00:00.000096756;1.6125400208230235e-06;2025000.0000016126;Machine 09
18;0;2023-01-01 00:00:00;2025-05-25 00:00:00.000000000;0.0;1260000.0;Machine 22
19;0;2023-01-01 00:00:00;2025-06-28 04:00:00.000000000;0.0;1309200.0;Machine 11
20;0;2023-01-01 00:00:00;2026-01-20 15:00:00.000000000;0.0;1606500.0;Machine 16
21;0;2023-01-01 00:00:00;2024-07-20 16:00:00.000000678;1.1301156809271603e-08;816000.0000000113;Machine 03
22;0;2023-01-01 00:00:00;2024-07-20 16:00:00.000000000;0.0;816000.0;Machine 04
23;0;2026-01-13 04:08:00;2029-04-14 14:32:00.000000000;1595768.0;3305672.0;Machine 00
24;0;2025-10-24 16:29:00;2032-10-23 20:29:59.999998770;1479869.9999999797;5160749.9999999795;Machine 22
25;0;2026-05-15 03:22:00;2029-08-27 03:22:59.999998212;1771402.9999999702;3499402.99999997;Machine 16
26;0;2030-03-05 23:59:00;2033-10-05 23:59:59.999994636;3774239.9999999106;5660639.999999911;Machine 16
27;0;2023-01-01 08:00:00;2025-09-27 20:00:00.000000000;480.0;1441200.0;Machine 18
28;0;2026-02-08 10:25:00;2028-12-05 16:25:59.999996394;1633585.99999994;3118585.99999994;Machine 18
29;0;2023-01-01 00:00:00;2028-07-09 00:00:00.000000000;0.0;2903040.0;Machine 07
30;0;2035-07-12 00:38:00;2054-08-21 10:38:00.000000000;6588038.0;16639838.0;Machine 20
31;0;2025-07-07 10:33:00;2029-01-30 23:40:00.000000000;1322553.9999999998;3199660.0;Machine 06
32;0;2023-01-01 00:00:00;2025-01-20 00:00:00.000000000;0.0;1080000.0;Machine 25
33;0;2025-03-18 06:11:00;2027-04-07 06:11:59.999996424;1162451.9999999404;2242451.9999999404;Machine 25
34;0;2023-01-01 00:00:00;2025-01-01 06:00:00.000000000;0.0;1053000.0;Machine 05
35;0;2025-07-17 06:04:00;2030-04-22 06:04:00.000000000;1336684.0;3842284.0;Machine 11
36;0;2023-01-01 00:00:00;2034-06-27 20:00:00.000000000;0.0;6042000.0;Machine 26
37;0;2025-11-22 08:14:00;2035-03-19 12:14:59.999999106;1521134.999999985;6423134.999999985;Machine 20
38;0;2023-01-01 00:00:00;2032-01-01 12:00:00.000000000;0.0;4734000.0;Machine 23
39;0;2027-01-03 12:11:00;2031-01-12 12:11:59.999908470;2107451.999998474;4224251.9999984745;Machine 09
40;0;2023-01-01 00:00:00;2024-12-03 05:45:00.000000000;0.0;1011225.0;Machine 02
41;0;2026-05-11 14:41:00;2028-12-26 14:41:59.999999388;1766321.9999999895;3148721.9999999898;Machine 03
42;0;2028-06-28 20:11:00;2041-05-11 20:11:59.999999328;2888411.999999989;9656411.999999989;Machine 13
43;0;2023-01-01 08:00:00;2026-09-12 08:00:00.000000000;480.0;1944480.0;Machine 13
44;0;2023-01-01 00:00:00;2027-09-30 08:00:00.000000000;0.0;2496000.0;Machine 29
45;0;2023-01-01 00:00:00;2030-07-04 23:00:00.000000000;0.0;3948420.0;Machine 34
46;0;2029-07-02 16:10:00;2036-05-26 16:10:00.000000000;3419530.0;7048330.0;Machine 06
47;0;2033-06-02 20:55:00;2037-06-29 08:55:59.999996034;5480455.999999934;7622455.999999934;Machine 18
48;0;2029-04-18 06:51:00;2033-05-14 18:51:59.999996928;3310971.999999949;5452971.999999949;Machine 18
49;0;2023-01-01 00:00:00;2025-07-26 11:59:59.999999652;-5.714780612766211e-09;1349999.9999999942;Machine 01
50;0;2028-11-19 14:26:00;2045-04-24 14:26:00.000000000;3095426.0;11735426.0;Machine 07
51;0;2023-01-01 00:00:00;2041-03-09 10:48:00.000000000;0.0;9565128.0;Machine 19
52;0;2025-01-09 18:12:00;2028-10-20 18:11:00.000000222;1065252.0000000035;3052451.0000000037;Machine 12
53;0;2023-01-01 00:00:00;2028-11-16 03:41:00.000000000;0.0;3090461.0;Machine 14
54;0;2023-01-01 00:00:00;2033-05-03 00:00:00.000000000;0.0;5436000.0;Machine 17
55;0;2038-04-05 04:59:00;2046-06-22 04:59:00.000000000;8025419.0;12345419.0;Machine 27
55;1;2030-11-13 04:58:00;2038-04-05 04:58:59.999991060;4137418.999999851;8025418.999999851;Machine 11
55;2;2034-04-26 04:58:00;2038-04-05 04:58:59.999996538;5951818.999999942;8025418.999999942;Machine 00
55;3;2029-08-07 02:55:00;2034-04-07 02:55:00.000002964;3470575.0000000494;5924335.000000049;Machine 00
56;0;2023-01-01 00:00:00;2023-07-24 04:00:00.000000000;0.0;294000.0;Machine 24
57;0;2023-01-01 00:00:00;2025-09-07 00:00:00.000000000;0.0;1411200.0;Machine 20
58;0;2023-01-01 00:00:00;2031-01-19 00:00:00.000000000;0.0;4233600.0;Machine 33
59;0;2023-01-01 00:00:00;2030-02-28 15:00:00.000000000;0.0;3766500.0;Machine 32
60;0;2023-01-01 00:00:00;2030-12-25 12:00:00.000000000;0.0;4198320.0;Machine 31
61;0;2023-01-01 00:00:00;2024-11-23 12:00:00.000000000;0.0;997200.0;Machine 15
62;0;2026-11-16 20:38:00;2029-01-24 20:38:00.000000000;2038838.0;3190838.0;Machine 10
63;0;2024-09-30 04:08:00;2026-06-17 04:08:00.000000000;918968.0000000001;1818968.0;Machine 10
64;0;2023-01-01 00:00:00;2024-11-13 12:00:00.000000210;3.4867442105023065e-09;982800.0000000035;Machine 12
65;0;2033-02-15 08:52:00;2039-08-03 18:52:59.999998770;5325652.9999999795;8724652.99999998;Machine 22
65;1;2027-12-16 00:52:00;2033-02-15 08:52:59.999998770;2606452.9999999795;5325652.9999999795;Machine 02
65;2;2030-07-17 04:52:00;2033-02-15 08:52:59.999998770;3966052.9999999795;5325652.9999999795;Machine 05
65;3;2030-07-03 02:20:00;2033-02-01 06:20:59.999999106;3945740.999999985;5305340.999999985;Machine 04
66;0;2036-09-05 00:54:00;2044-06-25 00:54:59.999999106;7194294.999999985;11298294.999999985;Machine 15
