Job;Op;Start;Finish;Start_f;Finish_f;Resource
0;0;2023-01-01 00:22:00;2023-01-01 00:26:00;22.0;26.0;Machine 02
0;1;2023-01-01 00:13:00;2023-01-01 00:15:00;13.0;15.0;Machine 04
0;2;2023-01-01 00:03:00;2023-01-01 00:05:00;3.0;5.0;Machine 03
0;3;2023-01-01 00:06:00;2023-01-01 00:08:00;6.0;8.0;Machine 03
0;4;2023-01-01 00:03:00;2023-01-01 00:07:00;3.0;7.0;Machine 04
0;5;2023-01-01 00:03:00;2023-01-01 00:05:00;3.0;5.0;Machine 01
0;6;2023-01-01 00:08:00;2023-01-01 00:11:00;8.0;11.0;Machine 01
0;7;2023-01-01 00:15:00;2023-01-01 00:18:00;15.0;18.0;Machine 00
0;8;2023-01-01 00:18:00;2023-01-01 00:20:00;18.0;20.0;Machine 01
0;9;2023-01-01 00:03:00;2023-01-01 00:07:00;3.0;7.0;Machine 00
0;10;2023-01-01 00:03:00;2023-01-01 00:05:00;3.0;5.0;Machine 02
0;11;2023-01-01 00:09:00;2023-01-01 00:13:00;9.0;13.0;Machine 03
0;12;2023-01-01 00:11:00;2023-01-01 00:13:00;11.0;13.0;Machine 02
0;13;2023-01-01 00:06:00;2023-01-01 00:09:00;6.0;9.0;Machine 02
0;14;2023-01-01 00:20:00;2023-01-01 00:22:00;20.0;22.0;Machine 03
