Job;Op;Start;Finish;Start_f;Finish_f;Resource
0;0;2023-01-01 00:00:00;2023-01-01 00:01:00;0.0;1.0;Machine 1
8;0;2023-01-01 00:07:00;2023-01-01 00:21:00;7.0;21.0;Machine 1
11;0;2023-01-01 00:00:00;2023-01-01 00:07:00;0.0;7.0;Machine 10
17;0;2023-01-01 00:10:00;2023-01-01 00:16:00;10.0;16.0;Machine 10
5;0;2023-01-01 00:00:00;2023-01-01 00:03:00;0.0;3.0;Machine 2
12;0;2023-01-01 00:05:00;2023-01-01 00:07:00;5.0;7.0;Machine 2
18;0;2023-01-01 00:00:00;2023-01-01 00:03:00;0.0;3.0;Machine 3
2;0;2023-01-01 00:07:00;2023-01-01 00:08:00;7.0;8.0;Machine 3
3;0;2023-01-01 00:00:00;2023-01-01 00:02:00;0.0;2.0;Machine 4
1;0;2023-01-01 00:06:00;2023-01-01 00:14:00;6.0;14.0;Machine 4
15;0;2023-01-01 00:00:00;2023-01-01 00:04:00;0.0;4.0;Machine 5
19;0;2023-01-01 00:05:00;2023-01-01 00:08:00;5.0;8.0;Machine 5
14;0;2023-01-01 00:00:00;2023-01-01 00:01:00;0.0;1.0;Machine 6
10;0;2023-01-01 00:01:00;2023-01-01 00:06:00;1.0;6.0;Machine 6
13;0;2023-01-01 00:00:00;2023-01-01 00:08:00;0.0;8.0;Machine 7
9;0;2023-01-01 00:11:00;2023-01-01 00:19:00;11.0;19.0;Machine 7
6;0;2023-01-01 00:00:00;2023-01-01 00:01:00;0.0;1.0;Machine 8
16;0;2023-01-01 00:09:00;2023-01-01 00:18:00;9.0;18.0;Machine 8
7;0;2023-01-01 00:00:00;2023-01-01 00:11:00;0.0;11.0;Machine 9
4;0;2023-01-01 00:11:00;2023-01-01 00:19:00;11.0;19.0;Machine 9
