Job;Op;Start;Finish;Start_f;Finish_f;Resource
0;0;2023-01-01 00:05:00;2023-01-01 00:07:00;5.0;7.0;Machine 05
0;1;2023-01-01 00:03:00;2023-01-01 00:05:00;3.0;5.0;Machine 02
0;2;2023-01-01 00:00:00;2023-01-01 00:03:00;0.0;3.0;Machine 06
1;0;2023-01-01 00:09:00;2023-01-01 00:12:00;9.0;12.0;Machine 02
1;1;2023-01-01 00:02:00;2023-01-01 00:05:00;2.0;5.0;Machine 01
1;2;2023-01-01 00:05:00;2023-01-01 00:09:00;5.0;9.0;Machine 00
2;0;2023-01-01 00:22:00;2023-01-01 00:24:00;22.0;24.0;Machine 02
2;1;2023-01-01 00:20:00;2023-01-01 00:22:00;20.0;22.0;Machine 04
2;2;2023-01-01 00:11:00;2023-01-01 00:16:00;11.0;16.0;Machine 05
3;0;2023-01-01 00:13:00;2023-01-01 00:15:00;13.0;15.0;Machine 06
3;1;2023-01-01 00:10:00;2023-01-01 00:13:00;10.0;13.0;Machine 03
3;2;2023-01-01 00:03:00;2023-01-01 00:06:00;3.0;6.0;Machine 03
4;0;2023-01-01 00:12:00;2023-01-01 00:14:00;12.0;14.0;Machine 01
4;1;2023-01-01 00:10:00;2023-01-01 00:12:00;10.0;12.0;Machine 04
4;2;2023-01-01 00:00:00;2023-01-01 00:02:00;0.0;2.0;Machine 04
