Job;Op;Start;Finish;Start_f;Finish_f;Resource
0;0;2023-01-01 00:08:00;2023-01-01 00:10:00;8.0;10.0;Machine 03
0;1;2023-01-01 00:03:00;2023-01-01 00:05:00;3.0;5.0;Machine 04
0;2;2023-01-01 00:05:00;2023-01-01 00:08:00;5.0;8.0;Machine 01
1;0;2023-01-01 00:09:00;2023-01-01 00:11:00;9.0;11.0;Machine 00
1;1;2023-01-01 00:05:00;2023-01-01 00:09:00;5.0;9.0;Machine 02
1;2;2023-01-01 00:03:00;2023-01-01 00:05:00;3.0;5.0;Machine 05
2;0;2023-01-01 00:14:00;2023-01-01 00:18:00;14.0;18.0;Machine 00
2;1;2023-01-01 00:12:00;2023-01-01 00:14:00;12.0;14.0;Machine 02
2;2;2023-01-01 00:03:00;2023-01-01 00:06:00;3.0;6.0;Machine 00
3;0;2023-01-01 00:09:00;2023-01-01 00:12:00;9.0;12.0;Machine 06
3;1;2023-01-01 00:07:00;2023-01-01 00:09:00;7.0;9.0;Machine 05
3;2;2023-01-01 00:03:00;2023-01-01 00:05:00;3.0;5.0;Machine 03
4;0;2023-01-01 00:23:00;2023-01-01 00:26:00;23.0;26.0;Machine 04
4;1;2023-01-01 00:19:00;2023-01-01 00:23:00;19.0;23.0;Machine 06
4;2;2023-01-01 00:14:00;2023-01-01 00:19:00;14.0;19.0;Machine 03
