Job;Op;Start;Finish;Start_f;Finish_f;Resource
0;0;2023-01-01 00:22:00;2023-01-01 00:25:00;22.00000000000032;25.00000000000032;Machine 03
0;1;2023-01-01 00:20:00;2023-01-01 00:22:00;20.00000000000032;22.00000000000032;Machine 04
0;2;2023-01-01 00:06:00;2023-01-01 00:09:00;6.999999999999972;8.999999999999972;Machine 02
1;0;2023-01-01 00:12:00;2023-01-01 00:17:00;12.999999999999972;16.99999999999997;Machine 02
1;1;2023-01-01 00:00:00;2023-01-01 00:03:00;0.0;3.0;Machine 04
1;2;2023-01-01 00:10:00;2023-01-01 00:12:00;10.0;12.0;Machine 01
2;0;2023-01-01 00:06:00;2023-01-01 00:10:00;6.0;10.0;Machine 04
2;1;2023-01-01 00:03:00;2023-01-01 00:06:00;3.0;6.0;Machine 01
2;2;2023-01-01 00:01:00;2023-01-01 00:03:00;1.0;3.0;Machine 02
3;0;2023-01-01 00:15:00;2023-01-01 00:17:00;15.000000000000234;17.000000000000234;Machine 06
3;1;2023-01-01 00:06:00;2023-01-01 00:08:00;6.0;8.0;Machine 00
3;2;2023-01-01 00:02:00;2023-01-01 00:06:00;2.0;6.0;Machine 03
4;0;2023-01-01 00:26:00;2023-01-01 00:30:00;26.99999999999997;29.99999999999997;Machine 04
4;1;2023-01-01 00:22:00;2023-01-01 00:27:00;22.99999999999997;26.99999999999997;Machine 05
4;2;2023-01-01 00:20:00;2023-01-01 00:23:00;20.99999999999997;22.99999999999997;Machine 02
5;0;2023-01-01 00:10:00;2023-01-01 00:13:00;10.0;13.0;Machine 06
5;1;2023-01-01 00:06:00;2023-01-01 00:08:00;6.0;8.0;Machine 05
5;2;2023-01-01 00:03:00;2023-01-01 00:06:00;3.0;6.0;Machine 06
6;0;2023-01-01 00:14:00;2023-01-01 00:18:00;14.000000000000028;18.00000000000003;Machine 03
6;1;2023-01-01 00:12:00;2023-01-01 00:14:00;12.000000000000007;14.000000000000007;Machine 05
6;2;2023-01-01 00:10:00;2023-01-01 00:12:00;10.000000000000028;12.000000000000028;Machine 00
