Job;Op;Start;Finish;Start_f;Finish_f;Resource
0;0;2023-01-01 00:08:00;2023-01-01 00:13:00;8.0;13.0;Machine 03
0;1;2023-01-01 00:00:00;2023-01-01 00:02:00;0.0;2.0;Machine 04
0;2;2023-01-01 00:05:00;2023-01-01 00:08:00;5.0;8.0;Machine 06
1;0;2023-01-01 00:10:00;2023-01-01 00:12:00;10.0;12.0;Machine 02
1;1;2023-01-01 00:05:00;2023-01-01 00:09:00;5.0;9.0;Machine 01
1;2;2023-01-01 00:01:00;2023-01-01 00:04:00;1.0;4.0;Machine 00
2;0;2023-01-01 00:30:00;2023-01-01 00:32:00;30.0;32.0;Machine 04
2;1;2023-01-01 00:22:00;2023-01-01 00:24:00;22.0;24.0;Machine 04
2;2;2023-01-01 00:20:00;2023-01-01 00:22:00;20.0;22.0;Machine 00
3;0;2023-01-01 00:21:00;2023-01-01 00:24:00;21.0;24.0;Machine 02
3;1;2023-01-01 00:17:00;2023-01-01 00:20:00;17.0;20.0;Machine 03
3;2;2023-01-01 00:01:00;2023-01-01 00:06:00;1.0;6.0;Machine 03
4;0;2023-01-01 00:24:00;2023-01-01 00:26:00;24.0;26.0;Machine 01
4;1;2023-01-01 00:21:00;2023-01-01 00:24:00;21.0;24.0;Machine 05
4;2;2023-01-01 00:04:00;2023-01-01 00:06:00;4.0;6.0;Machine 04
5;0;2023-01-01 00:12:00;2023-01-01 00:16:00;12.0;16.0;Machine 06
5;1;2023-01-01 00:08:00;2023-01-01 00:11:00;8.0;11.0;Machine 00
5;2;2023-01-01 00:00:00;2023-01-01 00:02:00;0.0;2.0;Machine 06
6;0;2023-01-01 00:10:00;2023-01-01 00:13:00;10.0;13.0;Machine 04
6;1;2023-01-01 00:02:00;2023-01-01 00:05:00;2.0;5.0;Machine 02
6;2;2023-01-01 00:08:00;2023-01-01 00:10:00;8.0;10.0;Machine 05
7;0;2023-01-01 00:15:00;2023-01-01 00:17:00;15.0;17.0;Machine 05
7;1;2023-01-01 00:12:00;2023-01-01 00:15:00;12.0;15.0;Machine 01
7;2;2023-01-01 00:02:00;2023-01-01 00:05:00;2.0;5.0;Machine 05
