Job;Op;Start;Finish;Start_f;Finish_f;Resource
0;0;2023-01-01 00:30:00;2023-01-01 00:35:00;30.0;35.0;Machine 06
0;1;2023-01-01 00:27:00;2023-01-01 00:30:00;27.0;30.0;Machine 00
0;2;2023-01-01 00:22:00;2023-01-01 00:27:00;22.0;27.0;Machine 03
0;3;2023-01-01 00:21:00;2023-01-01 00:23:00;21.0;23.0;Machine 07
1;0;2023-01-01 00:41:00;2023-01-01 00:45:00;41.0;45.0;Machine 04
1;1;2023-01-01 00:35:00;2023-01-01 00:37:00;35.0;37.0;Machine 01
1;2;2023-01-01 00:38:00;2023-01-01 00:41:00;38.0;41.0;Machine 07
1;3;2023-01-01 00:26:00;2023-01-01 00:29:00;26.0;29.0;Machine 02
2;0;2023-01-01 00:18:00;2023-01-01 00:20:00;18.0;20.0;Machine 01
2;1;2023-01-01 00:10:00;2023-01-01 00:12:00;10.0;12.0;Machine 03
2;2;2023-01-01 00:12:00;2023-01-01 00:14:00;12.0;14.0;Machine 01
2;3;2023-01-01 00:12:00;2023-01-01 00:17:00;12.0;17.0;Machine 04
3;0;2023-01-01 00:09:00;2023-01-01 00:11:00;9.0;11.0;Machine 07
3;1;2023-01-01 00:05:00;2023-01-01 00:07:00;5.0;7.0;Machine 07
3;2;2023-01-01 00:04:00;2023-01-01 00:09:00;4.0;9.0;Machine 00
3;3;2023-01-01 00:00:00;2023-01-01 00:02:00;0.0;2.0;Machine 00
4;0;2023-01-01 00:07:00;2023-01-01 00:09:00;7.0;9.0;Machine 06
4;1;2023-01-01 00:00:00;2023-01-01 00:04:00;0.0;4.0;Machine 03
4;2;2023-01-01 00:01:00;2023-01-01 00:06:00;1.0;6.0;Machine 01
4;3;2023-01-01 00:04:00;2023-01-01 00:06:00;4.0;6.0;Machine 05
5;0;2023-01-01 00:39:00;2023-01-01 00:41:00;39.0;41.0;Machine 03
5;1;2023-01-01 00:26:00;2023-01-01 00:31:00;26.0;31.0;Machine 01
5;2;2023-01-01 00:36:00;2023-01-01 00:39:00;36.0;39.0;Machine 00
5;3;2023-01-01 00:33:00;2023-01-01 00:36:00;33.0;36.0;Machine 05
6;0;2023-01-01 00:32:00;2023-01-01 00:34:00;32.0;34.0;Machine 02
6;1;2023-01-01 00:22:00;2023-01-01 00:24:00;22.0;24.0;Machine 05
6;2;2023-01-01 00:28:00;2023-01-01 00:32:00;28.0;32.0;Machine 04
6;3;2023-01-01 00:18:00;2023-01-01 00:22:00;18.0;22.0;Machine 06
7;0;2023-01-01 00:20:00;2023-01-01 00:22:00;20.0;22.0;Machine 04
7;1;2023-01-01 00:01:00;2023-01-01 00:05:00;1.0;5.0;Machine 06
7;2;2023-01-01 00:00:00;2023-01-01 00:03:00;0.0;3.0;Machine 02
7;3;2023-01-01 00:16:00;2023-01-01 00:20:00;16.0;20.0;Machine 03
8;0;2023-01-01 00:18:00;2023-01-01 00:21:00;18.0;21.0;Machine 00
8;1;2023-01-01 00:03:00;2023-01-01 00:08:00;3.0;8.0;Machine 04
8;2;2023-01-01 00:14:00;2023-01-01 00:18:00;14.0;18.0;Machine 05
8;3;2023-01-01 00:13:00;2023-01-01 00:16:00;13.0;16.0;Machine 02
