Job;Op;Start;Finish;Start_f;Finish_f;Resource
0;0;2023-01-01 00:20:00;2023-01-01 00:22:00;20.0;22.0;Machine 07
0;1;2023-01-01 00:08:00;2023-01-01 00:11:00;8.0;11.0;Machine 02
0;2;2023-01-01 00:05:00;2023-01-01 00:08:00;5.0;8.0;Machine 07
0;3;2023-01-01 00:03:00;2023-01-01 00:05:00;3.0;5.0;Machine 02
1;0;2023-01-01 00:24:00;2023-01-01 00:27:00;24.0;27.0;Machine 03
1;1;2023-01-01 00:19:00;2023-01-01 00:22:00;19.0;22.0;Machine 00
1;2;2023-01-01 00:22:00;2023-01-01 00:24:00;22.0;24.0;Machine 05
1;3;2023-01-01 00:00:00;2023-01-01 00:02:00;0.0;2.0;Machine 07
2;0;2023-01-01 00:28:00;2023-01-01 00:31:00;28.0;31.0;Machine 06
2;1;2023-01-01 00:03:00;2023-01-01 00:05:00;3.0;5.0;Machine 05
2;2;2023-01-01 00:26:00;2023-01-01 00:28:00;26.0;28.0;Machine 01
2;3;2023-01-01 00:13:00;2023-01-01 00:17:00;13.0;17.0;Machine 04
3;0;2023-01-01 00:30:00;2023-01-01 00:32:00;30.0;32.0;Machine 04
3;1;2023-01-01 00:23:00;2023-01-01 00:26:00;23.0;26.0;Machine 04
3;2;2023-01-01 00:28:00;2023-01-01 00:30:00;28.0;30.0;Machine 07
3;3;2023-01-01 00:14:00;2023-01-01 00:16:00;14.0;16.0;Machine 00
4;0;2023-01-01 00:48:00;2023-01-01 00:52:00;48.0;52.0;Machine 05
4;1;2023-01-01 00:36:00;2023-01-01 00:39:00;36.0;39.0;Machine 00
4;2;2023-01-01 00:45:00;2023-01-01 00:48:00;45.0;48.0;Machine 01
4;3;2023-01-01 00:40:00;2023-01-01 00:44:00;40.0;44.0;Machine 05
5;0;2023-01-01 00:38:00;2023-01-01 00:40:00;38.0;40.0;Machine 04
5;1;2023-01-01 00:08:00;2023-01-01 00:12:00;8.0;12.0;Machine 06
5;2;2023-01-01 00:35:00;2023-01-01 00:38:00;35.0;38.0;Machine 06
5;3;2023-01-01 00:31:00;2023-01-01 00:33:00;31.0;33.0;Machine 03
6;0;2023-01-01 00:19:00;2023-01-01 00:21:00;19.0;21.0;Machine 02
6;1;2023-01-01 00:06:00;2023-01-01 00:11:00;6.0;11.0;Machine 00
6;2;2023-01-01 00:14:00;2023-01-01 00:18:00;14.0;18.0;Machine 06
6;3;2023-01-01 00:01:00;2023-01-01 00:04:00;1.0;4.0;Machine 03
7;0;2023-01-01 00:43:00;2023-01-01 00:45:00;43.0;45.0;Machine 00
7;1;2023-01-01 00:37:00;2023-01-01 00:41:00;37.0;41.0;Machine 02
7;2;2023-01-01 00:30:00;2023-01-01 00:33:00;30.0;33.0;Machine 02
7;3;2023-01-01 00:41:00;2023-01-01 00:43:00;41.0;43.0;Machine 01
8;0;2023-01-01 00:17:00;2023-01-01 00:19:00;17.0;19.0;Machine 05
8;1;2023-01-01 00:00:00;2023-01-01 00:03:00;0.0;3.0;Machine 04
8;2;2023-01-01 00:11:00;2023-01-01 00:15:00;11.0;15.0;Machine 01
8;3;2023-01-01 00:00:00;2023-01-01 00:02:00;0.0;2.0;Machine 06
9;0;2023-01-01 00:42:00;2023-01-01 00:47:00;42.0;47.0;Machine 06
9;1;2023-01-01 00:40:00;2023-01-01 00:42:00;40.0;42.0;Machine 07
9;2;2023-01-01 00:34:00;2023-01-01 00:36:00;34.0;36.0;Machine 05
9;3;2023-01-01 00:20:00;2023-01-01 00:22:00;20.0;22.0;Machine 06
10;0;2023-01-01 00:12:00;2023-01-01 00:14:00;12.0;14.0;Machine 03
10;1;2023-01-01 00:02:00;2023-01-01 00:04:00;2.0;4.0;Machine 00
10;2;2023-01-01 00:06:00;2023-01-01 00:09:00;6.0;9.0;Machine 04
10;3;2023-01-01 00:04:00;2023-01-01 00:07:00;4.0;7.0;Machine 01
