name;value
Z_FO;286.0
s[0,0,1];33.0
s[0,1,1];20.0
s[0,2,0];1.0
s[0,3,1];0.0
s[0,4,2];3.0
s[1,0,1];100.0
s[1,1,1];87.0
s[1,2,1];39.0
s[1,3,1];76.0
s[1,4,1];67.0
s[2,0,2];41.0
s[2,1,0];39.0
s[2,2,2];28.0
s[2,3,0];12.0
s[2,4,1];10.0
s[3,0,0];29.0
s[3,1,0];18.0
s[3,2,2];21.0
s[3,3,1];4.0
s[3,4,2];13.0
s[4,0,2];68.0
s[4,1,2];59.0
s[4,2,0];56.0
s[4,3,1];52.0
s[4,4,0];49.0
x[0,0,0,0];0.0
x[0,0,0,1];1.0
x[0,0,0,2];0.0
x[0,0,0,3];1.0
x[0,0,0,4];0.0
x[0,0,1,0];0.0
x[0,0,1,1];0.0
x[0,0,1,2];0.0
x[0,0,1,3];0.0
x[0,0,1,4];0.0
x[0,0,2,0];0.0
x[0,0,2,1];0.0
x[0,0,2,2];0.0
x[0,0,2,3];0.0
x[0,0,2,4];1.0
x[0,0,3,0];0.0
x[0,0,3,1];0.0
x[0,0,3,2];0.0
x[0,0,3,3];1.0
x[0,0,3,4];0.0
x[0,0,4,0];0.0
x[0,0,4,1];0.0
x[0,0,4,2];0.0
x[0,0,4,3];0.0
x[0,0,4,4];0.0
x[0,1,0,0];0.0
x[0,1,0,1];0.0
x[0,1,0,2];0.0
x[0,1,0,3];1.0
x[0,1,0,4];0.0
x[0,1,1,0];0.0
x[0,1,1,1];0.0
x[0,1,1,2];0.0
x[0,1,1,3];0.0
x[0,1,1,4];0.0
x[0,1,2,0];0.0
x[0,1,2,1];0.0
x[0,1,2,2];0.0
x[0,1,2,3];0.0
x[0,1,2,4];1.0
x[0,1,3,0];0.0
x[0,1,3,1];0.0
x[0,1,3,2];0.0
x[0,1,3,3];1.0
x[0,1,3,4];0.0
x[0,1,4,0];0.0
x[0,1,4,1];0.0
x[0,1,4,2];0.0
x[0,1,4,3];0.0
x[0,1,4,4];0.0
x[0,2,0,0];0.0
x[0,2,0,1];0.0
x[0,2,0,2];0.0
x[0,2,0,3];0.0
x[0,2,0,4];0.0
x[0,2,1,0];0.0
x[0,2,1,1];0.0
x[0,2,1,2];0.0
x[0,2,1,3];0.0
x[0,2,1,4];0.0
x[0,2,2,0];0.0
x[0,2,2,1];0.0
x[0,2,2,2];0.0
x[0,2,2,3];0.0
x[0,2,2,4];0.0
x[0,2,3,0];0.0
x[0,2,3,1];0.0
x[0,2,3,2];0.0
x[0,2,3,3];0.0
x[0,2,3,4];0.0
x[0,2,4,0];0.0
x[0,2,4,1];0.0
x[0,2,4,2];0.0
x[0,2,4,3];0.0
x[0,2,4,4];0.0
x[0,3,0,0];0.0
x[0,3,0,1];0.0
x[0,3,0,2];0.0
x[0,3,0,3];0.0
x[0,3,0,4];0.0
x[0,3,1,0];0.0
x[0,3,1,1];0.0
x[0,3,1,2];0.0
x[0,3,1,3];0.0
x[0,3,1,4];0.0
x[0,3,2,0];0.0
x[0,3,2,1];0.0
x[0,3,2,2];0.0
x[0,3,2,3];0.0
x[0,3,2,4];0.0
x[0,3,3,0];0.0
x[0,3,3,1];0.0
x[0,3,3,2];0.0
x[0,3,3,3];0.0
x[0,3,3,4];0.0
x[0,3,4,0];0.0
x[0,3,4,1];0.0
x[0,3,4,2];0.0
x[0,3,4,3];0.0
x[0,3,4,4];0.0
x[0,4,0,0];0.0
x[0,4,0,1];0.0
x[0,4,0,2];0.0
x[0,4,0,3];0.0
x[0,4,0,4];0.0
x[0,4,1,0];0.0
x[0,4,1,1];0.0
x[0,4,1,2];0.0
x[0,4,1,3];0.0
x[0,4,1,4];0.0
x[0,4,2,0];0.0
x[0,4,2,1];0.0
x[0,4,2,2];0.0
x[0,4,2,3];0.0
x[0,4,2,4];0.0
x[0,4,3,0];0.0
x[0,4,3,1];0.0
x[0,4,3,2];0.0
x[0,4,3,3];0.0
x[0,4,3,4];0.0
x[0,4,4,0];0.0
x[0,4,4,1];0.0
x[0,4,4,2];0.0
x[0,4,4,3];0.0
x[0,4,4,4];0.0
x[1,0,0,0];0.0
x[1,0,0,1];0.0
x[1,0,0,2];0.0
x[1,0,0,3];0.0
x[1,0,0,4];0.0
x[1,0,1,0];0.0
x[1,0,1,1];1.0
x[1,0,1,2];1.0
x[1,0,1,3];1.0
x[1,0,1,4];1.0
x[1,0,2,0];0.0
x[1,0,2,1];0.0
x[1,0,2,2];0.0
x[1,0,2,3];0.0
x[1,0,2,4];1.0
x[1,0,3,0];0.0
x[1,0,3,1];0.0
x[1,0,3,2];0.0
x[1,0,3,3];1.0
x[1,0,3,4];0.0
x[1,0,4,0];0.0
x[1,0,4,1];0.0
x[1,0,4,2];0.0
x[1,0,4,3];1.0
x[1,0,4,4];0.0
x[1,1,0,0];0.0
x[1,1,0,1];0.0
x[1,1,0,2];0.0
x[1,1,0,3];0.0
x[1,1,0,4];0.0
x[1,1,1,0];0.0
x[1,1,1,1];0.0
x[1,1,1,2];1.0
x[1,1,1,3];1.0
x[1,1,1,4];1.0
x[1,1,2,0];0.0
x[1,1,2,1];0.0
x[1,1,2,2];0.0
x[1,1,2,3];0.0
x[1,1,2,4];1.0
x[1,1,3,0];0.0
x[1,1,3,1];0.0
x[1,1,3,2];0.0
x[1,1,3,3];1.0
x[1,1,3,4];0.0
x[1,1,4,0];0.0
x[1,1,4,1];0.0
x[1,1,4,2];0.0
x[1,1,4,3];1.0
x[1,1,4,4];0.0
x[1,2,0,0];0.0
x[1,2,0,1];0.0
x[1,2,0,2];0.0
x[1,2,0,3];0.0
x[1,2,0,4];0.0
x[1,2,1,0];0.0
x[1,2,1,1];0.0
x[1,2,1,2];0.0
x[1,2,1,3];0.0
x[1,2,1,4];0.0
x[1,2,2,0];0.0
x[1,2,2,1];0.0
x[1,2,2,2];0.0
x[1,2,2,3];0.0
x[1,2,2,4];1.0
x[1,2,3,0];0.0
x[1,2,3,1];0.0
x[1,2,3,2];0.0
x[1,2,3,3];1.0
x[1,2,3,4];0.0
x[1,2,4,0];0.0
x[1,2,4,1];0.0
x[1,2,4,2];0.0
x[1,2,4,3];0.0
x[1,2,4,4];0.0
x[1,3,0,0];0.0
x[1,3,0,1];0.0
x[1,3,0,2];0.0
x[1,3,0,3];0.0
x[1,3,0,4];0.0
x[1,3,1,0];0.0
x[1,3,1,1];0.0
x[1,3,1,2];1.0
x[1,3,1,3];0.0
x[1,3,1,4];1.0
x[1,3,2,0];0.0
x[1,3,2,1];0.0
x[1,3,2,2];0.0
x[1,3,2,3];0.0
x[1,3,2,4];1.0
x[1,3,3,0];0.0
x[1,3,3,1];0.0
x[1,3,3,2];0.0
x[1,3,3,3];1.0
x[1,3,3,4];0.0
x[1,3,4,0];0.0
x[1,3,4,1];0.0
x[1,3,4,2];0.0
x[1,3,4,3];1.0
x[1,3,4,4];0.0
x[1,4,0,0];0.0
x[1,4,0,1];0.0
x[1,4,0,2];0.0
x[1,4,0,3];0.0
x[1,4,0,4];0.0
x[1,4,1,0];0.0
x[1,4,1,1];0.0
x[1,4,1,2];1.0
x[1,4,1,3];0.0
x[1,4,1,4];0.0
x[1,4,2,0];0.0
x[1,4,2,1];0.0
x[1,4,2,2];0.0
x[1,4,2,3];0.0
x[1,4,2,4];1.0
x[1,4,3,0];0.0
x[1,4,3,1];0.0
x[1,4,3,2];0.0
x[1,4,3,3];1.0
x[1,4,3,4];0.0
x[1,4,4,0];0.0
x[1,4,4,1];0.0
x[1,4,4,2];0.0
x[1,4,4,3];1.0
x[1,4,4,4];0.0
x[2,0,0,0];0.0
x[2,0,0,1];0.0
x[2,0,0,2];0.0
x[2,0,0,3];0.0
x[2,0,0,4];0.0
x[2,0,1,0];0.0
x[2,0,1,1];0.0
x[2,0,1,2];0.0
x[2,0,1,3];0.0
x[2,0,1,4];0.0
x[2,0,2,0];0.0
x[2,0,2,1];0.0
x[2,0,2,2];1.0
x[2,0,2,3];0.0
x[2,0,2,4];0.0
x[2,0,3,0];0.0
x[2,0,3,1];0.0
x[2,0,3,2];1.0
x[2,0,3,3];0.0
x[2,0,3,4];1.0
x[2,0,4,0];0.0
x[2,0,4,1];0.0
x[2,0,4,2];0.0
x[2,0,4,3];0.0
x[2,0,4,4];0.0
x[2,1,0,0];0.0
x[2,1,0,1];0.0
x[2,1,0,2];0.0
x[2,1,0,3];0.0
x[2,1,0,4];0.0
x[2,1,1,0];0.0
x[2,1,1,1];0.0
x[2,1,1,2];0.0
x[2,1,1,3];0.0
x[2,1,1,4];0.0
x[2,1,2,0];0.0
x[2,1,2,1];0.0
x[2,1,2,2];0.0
x[2,1,2,3];1.0
x[2,1,2,4];0.0
x[2,1,3,0];1.0
x[2,1,3,1];1.0
x[2,1,3,2];0.0
x[2,1,3,3];0.0
x[2,1,3,4];0.0
x[2,1,4,0];0.0
